	gene
2	nspc-20
4	nspc-7
134	F45E1.2
69	sre-39
265	acc-3
73	C24A3.9
38	T07D4.2
5	C31B8.7
282	str-106
283	F11C3.1
284	srbc-38
285	ZK380.2
160	F55D1.1
496	srd-44
290	irld-65
509	Y59E1A.4
300	flp-26
303	srg-33
304	F49E12.7
827	C03B1.1
87	sre-12
307	sri-77
11	D1081.4
44	srt-41
89	Y87G2A.25
173	W07G4.7
90	C55A1.6
174	F59B10.4
534	C18B10.6
535	C13A2.6
314	dhc-3
315	F47B8.14
316	nlp-43
317	nhr-174
319	W09H1.3
842	C03B1.2
181	F48E8.4
94	F48E8.8
560	W02H5.16
852	F25E5.9
853	srx-47
562	Y51H7C.41
855	srt-11
564	srg-4
860	sri-15
866	C29E4.9
3	C01G6.5
6	F44E5.4
12	Y73F4A.1
24	E01G4.3
186	srbc-11
338	Y51F10.3
576	srab-17
577	F31E9.3
578	nhr-209
579	R06B9.5
99	F42G4.5
188	vps-33.1
340	Y39B6A.69
884	clec-221
1185	srm-4
885	xbx-1
1189	dhs-23
583	cutl-7
1191	frpr-1
1501	Y11D7A.3
889	AH10.4
584	ZK686.6
585	lipl-8
894	R07H5.16
1198	fbxa-26
1199	W04G5.4
1200	C39F7.5
1201	Y38C1AA.12
1510	fbxa-128
1511	flp-17
896	srt-5
1203	ZC443.7
1512	Y70C5B.1
1513	npr-28
897	ins-9
1864	F42D1.4
1865	srh-41
1866	F10E9.10
1867	R148.8
25	T22F7.4
588	clec-203
899	C02B4.3
589	F47B8.1
191	sru-31
347	Y73B6BL.14
591	T07H3.7
348	sru-18
349	pgp-9
193	unc-119
350	tre-2
351	F19B6.10
102	hsp-4
194	sinh-1
195	let-858
103	gst-24
1210	B0511.17
907	W04G5.9
1524	K09F6.7
1874	str-252
909	Y74C10AR.2
1217	C33C12.1
197	eat-4
606	srd-28
1218	sri-2
1531	srh-204
1532	otpl-7
1884	glb-34
1885	srx-92
608	gst-17
609	K02F6.6
1534	gcy-13
1535	srbc-8
1888	srh-44
1889	srg-40
1891	K09C4.9
13	hsp-16.48
26	hsp-16.41
104	spp-28
198	F59B2.13
199	F41E6.17
362	srsx-19
363	dpy-20
614	F54B8.4
615	F59C12.4
105	srh-179
201	gst-1
364	ZK971.1
923	gst-12
618	T13C5.6
619	abf-6
53	pdf-1
106	nlp-64
620	nlp-12
1230	C09G5.13
1231	C25G6.1
931	Y39A3A.2
1233	K10H10.9
932	F54B3.4
1236	F26G1.15
1237	F31B12.4
623	exp-1
935	cho-1
368	srt-12
936	Y51H4A.23
1243	T01C1.4
627	srg-65
939	srd-61
370	C54C6.5
630	bath-44
940	set-11
941	lgc-52
372	scp-1
633	col-61
634	ZC132.11
946	ins-30
947	K04D7.6
635	R02D5.6
948	col-151
949	his-11
1563	Y60C6A.1
27	unc-54
54	flp-1
55	xbx-6
111	rab-3
206	pgal-1
374	nlp-17
637	Y45F10D.15
950	C06C3.3
951	Y6E2A.7
375	glb-18
638	T19D7.5
639	F27B10.1
954	ndfl-4
1266	C23F12.9
1896	F23D12.3
1897	degl-1
1898	srx-17
2303	ZK742.7
1899	oct-1
955	nlp-57
2306	srx-68
2307	lgc-40
2308	ins-28
2309	nlp-78
1573	cex-1
1903	nlp-80
1269	flp-8
1904	cgp-1
2314	cal-8
2776	nlp-70
2777	C18F10.2
2315	ZC334.13
207	crh-1
376	fbxa-37
640	R102.2
956	F08H9.4
957	gst-5
1272	Y38H6C.24
1273	F38B6.2
958	F01F1.14
1276	W04G5.8
1277	fis-2
1584	C12D5.4
2316	F10B5.3
2317	nhr-264
1585	cebp-1
1912	fipr-24
1913	ilys-4
2320	glb-32
2321	F45B8.5
2789	flp-18
3332	lin-15A
3333	Y119C1B.3
377	ubh-1
642	mec-17
962	flp-24
1281	flp-12
963	rgef-1
7	arx-3
14	D1054.10
28	ZC373.2
56	clc-9
112	ZK596.3
208	R02E4.1
209	irk-2
113	rbf-1
647	scl-9
383	snt-2
384	T10B10.9
385	Y62H9A.2
653	F17E9.3
387	egas-2
656	F59A1.16
657	dot-1.2
115	F35D11.3
661	str-16
215	srw-16
391	R10E8.5
664	F42A9.11
981	R02D5.9
29	ule-5
58	ttr-15
116	F55B11.5
667	klo-2
217	W02D9.7
668	F29D10.2
1590	R02D5.4
396	fbxa-179
995	F46B3.15
219	C05B5.1
996	srx-22
59	clc-4
118	F38A5.22
401	srh-71
402	C25D7.9
684	B0554.5
685	alh-2
119	clec-223
223	K11D12.13
15	atp-4
30	dod-6
60	T20G5.8
120	phat-8
225	msrp-7
409	C55A1.7
121	Y57G11A.5
226	tag-293
411	scl-6
227	C32H11.11
61	C46H11.7
122	phy-4
228	lmd-5
699	scl-3
1021	srd-53
1022	C17B7.9
1024	srg-17
1025	srlf-5
1339	jmjd-4
229	Y62F5A.9
416	C04E6.12
702	ZK265.7
1340	D1086.21
1623	F40H6.5
1341	F20A1.4
1932	gst-29
1933	glt-5
1343	T24D5.3
703	comt-1
1028	twk-9
1346	nmur-3
1634	T04C4.3
1938	F41E7.9
1939	T06C12.14
3951	T12A2.21
1941	K05G3.1
417	F40E10.5
704	C25F6.6
2807	F16H6.3
1943	smf-2
1638	irld-62
1945	irld-52
1639	Y25C1A.2
1947	F32D8.2
2355	sre-2
1031	Y71F9AL.4
1640	C07C7.3
1949	C45H4.21
1950	oac-13
1952	F22B3.7
1955	str-143
2368	srx-95
2822	Y39A3B.7
2823	srxa-18
705	srb-16
1353	T26E4.10
1033	F22E12.3
1958	F20A1.8
1959	F09C6.11
1961	T26A8.3
1962	aat-6
2378	clec-206
2379	ZK218.11
1963	irld-55
1964	K07D4.5
2384	T25B6.1
123	phat-2
230	phat-5
418	glb-5
1653	srv-25
1358	clec-132
1359	irld-17
1036	F49C5.16
419	idpp-7
708	idpb-4
1038	T26E4.9
1039	idpb-5
1367	F56H6.13
1663	srh-73
709	ZC334.7
1977	T05B4.9
2401	srw-82
2402	Y38C1AA.19
2403	stdh-4
3359	srh-304
2404	F35E8.9
2405	str-48
231	phat-7
421	phat-4
710	oac-52
1671	T05B4.12
1373	idpp-9
1045	F18E3.10
1375	srlf-30
31	tbb-1
62	ttr-50
124	C53C11.2
712	R160.6
1990	dach-1
1991	F48G7.13
1679	Y32B12B.1
1680	ceh-7
1682	srh-74
2416	srv-8
2417	C34C12.1
1683	ZK218.1
1688	F19F10.14
1689	F11C7.6
715	scl-27
1053	Y113G7B.27
1386	fmo-2
1387	arrd-11
233	C26F1.1
425	srlf-1
1055	D1053.2
1390	F16G10.14
1700	C17H12.8
2428	srh-269
2429	C03E10.3
2430	C41H7.2
1702	T09E11.8
1703	fbxa-163
2026	srbc-44
2027	ugt-35
2435	F52G3.8
125	C17C3.3
718	R07C12.3
1058	cyp-13A6
1704	T26C12.2
2030	C06E4.6
2438	srj-54
2033	catp-2
2440	C02E7.10
2441	srbc-84
1707	Y57G11C.30
1060	T24E12.3
1401	ZK228.1
1713	C26E1.2
1064	srj-45
1405	grl-28
1406	F40D4.12
2044	srw-15
428	Y79H2A.4
429	clec-101
1068	R08E5.1
1726	T04G9.6
2055	K12H6.8
63	nuo-3
126	ant-1.1
236	pat-10
430	tag-18
727	cpg-9
1072	cox-6C
1414	T14G8.6
1731	clec-139
1415	W08A12.2
1732	ZC518.8
2058	tni-3
2059	sbsp-1
1733	C25E10.10
1073	lbp-2
1417	nlp-23
431	ttn-1
728	ttr-16
1074	ttr-17
1418	inx-18
1736	F13G3.12
1737	F30H5.5
2068	srlf-23
