	gene
2	nspc-20
4	nspc-7
134	F45E1.2
69	sre-39
266	acc-3
73	C24A3.9
148	hpo-39
38	T07D4.2
5	C31B8.7
284	T24C2.3
285	F11C3.1
286	srbc-38
287	ZK380.2
160	srg-33
289	F55D1.1
504	srd-44
292	irld-65
517	Y59E1A.4
302	flp-26
168	F49E12.7
533	C03B1.1
87	sre-12
309	sri-77
11	D1081.4
44	srt-41
89	Y87G2A.25
173	W07G4.7
90	C55A1.6
174	F59B10.4
540	C18B10.6
541	C13A2.6
316	dhc-3
317	F47B8.14
318	F37D6.3
319	nhr-174
321	W09H1.3
854	C03B1.2
181	F48E8.4
566	W02H5.16
864	F25E5.9
865	srx-47
866	srt-11
867	Y51H7C.41
872	srg-4
878	C29E4.9
578	F49E8.8
3	sec-12
6	F44E5.4
12	Y73F4A.1
24	E01G4.3
186	F17H10.1
338	srh-24
339	srab-17
340	R08C7.12
587	R06B9.5
97	Y73B6BL.22
189	srbc-11
99	scl-18
344	ZK686.6
892	W04G5.4
893	cpr-2
346	Y57G11C.28
894	srt-5
1195	ZC443.7
1502	Y70C5B.1
1503	npr-28
895	ins-9
1197	Y39B6A.69
1505	T22B7.7
896	fbxa-26
1199	rfs-1
1507	srm-4
1508	F10E9.10
1509	R148.8
1510	C39F7.5
1511	Y38C1AA.12
1846	fbxa-128
1847	flp-17
1202	dhs-23
1514	F42D1.4
1515	sly-1
597	cutl-7
900	AH10.4
901	str-44
1206	srd-25
1521	Y11D7A.3
25	T22F7.4
598	clec-203
903	C02B4.3
599	F47B8.1
193	sru-31
351	Y73B6BL.14
601	T07H3.7
352	sru-18
195	unc-119
354	tre-2
355	F19B6.10
102	hsp-4
196	sinh-1
197	let-858
103	gst-24
360	srd-28
1212	glb-34
1213	srx-92
911	sri-2
1215	srh-204
199	klu-2
362	K02F6.6
1216	Y51A2B.8
1534	srh-44
1535	srg-40
1537	srh-52
363	C07G3.10
914	otpl-7
915	Y74C10AR.2
1223	C33C12.1
1539	K10G6.9
1872	B0511.17
1541	W04G5.9
1876	K09F6.7
2228	str-252
13	hsp-16.48
26	hsp-16.41
52	srz-25
104	spp-28
200	F59B2.13
201	tag-180
366	srsx-19
367	dpy-20
626	F54B8.4
627	F59C12.4
105	srh-179
203	gst-1
628	T13C5.6
629	abf-6
369	ZK971.1
927	gst-12
53	pdf-1
106	nlp-64
632	Y51H4A.23
931	T01C1.4
371	srg-65
635	srd-61
372	srt-12
934	nlp-12
1548	lgc-56
1549	C25G6.1
1241	Y39A3A.2
1551	K10H10.9
1242	F54B3.4
1554	F26G1.15
1555	F31B12.4
937	exp-1
1245	cho-1
374	C54C6.5
642	bath-44
938	set-11
939	lgc-52
376	scp-1
645	col-61
646	ZC132.11
944	ins-30
945	K04D7.6
647	flp-8
947	R02D5.6
1258	col-151
1259	his-11
1895	Y60C6A.1
27	unc-54
54	flp-1
55	xbx-6
111	rab-3
208	snet-1
378	nlp-17
648	B0228.1
649	Y77E11A.16
950	C06C3.3
951	shw-3
379	glb-18
650	T19D7.5
651	T20F5.8
954	ctc-1
1266	C23F12.9
1896	F23D12.3
1897	degl-1
1898	srx-17
2239	ZK742.7
1899	oct-1
955	nlp-57
1572	cgp-1
1902	cal-8
2242	nlp-70
2243	gcy-33
1903	ZC334.13
1269	gcy-19
1574	nlp-78
1904	ins-28
1905	W05E10.2
2604	srx-68
2605	lgc-40
1575	cex-1
1907	nlp-80
380	zip-2
652	R102.2
956	F08H9.4
957	gst-5
1272	Y38H6C.24
1273	F38B6.2
958	B0303.7
959	F41B4.3
1276	W04G5.8
1277	vha-1
1584	F11C1.4
1912	hlh-17
1913	fipr-24
1914	F45B8.5
2257	ilys-4
2610	lin-15A
2611	Y119C1B.3
2258	F10B5.3
2259	nhr-264
381	ubh-1
654	mec-17
962	flp-24
1281	flp-12
963	rgef-1
7	sac-1
14	D1054.10
28	ZC373.2
56	clc-9
112	ZK596.3
210	sre-6
211	irk-2
113	rbf-1
659	scl-9
387	snt-2
661	glb-24
388	T10B10.9
389	Y62H9A.2
665	C45B2.6
391	egas-2
668	F59A1.16
669	dot-1.2
115	F35D11.3
673	str-16
217	srw-16
395	R10E8.5
676	F42A9.11
981	R02D5.9
29	ule-5
58	ttr-15
116	F55B11.5
218	egas-1
679	klo-2
219	W02D9.7
1304	F29D10.2
1306	R02D5.4
400	fbxa-179
995	F46B3.15
221	C05B5.1
996	srx-22
59	clc-4
118	F38A5.22
405	srh-71
696	B0554.5
697	alh-2
119	clec-223
698	Y116A8A.150
225	K11D12.13
15	nduo-4
30	dod-6
60	phat-5
120	F40E10.5
412	srr-10
704	aat-6
1014	clec-206
1015	ZK218.11
705	irld-55
706	T25B6.1
1020	C07C7.3
1339	C45H4.21
1022	str-143
1626	Y39A3B.7
1627	srg-37
1346	F22B3.7
1349	srv-25
415	srw-91
1026	clec-132
1027	irld-17
1637	srab-10
1028	F49C5.16
121	F41G3.21
228	idpb-4
416	T26E4.9
417	idpb-5
715	F56H6.13
1033	srh-73
229	grl-11
1642	T05C1.5
1361	T05B4.9
1653	srw-82
1654	Y38C1AA.19
1655	stdh-4
2275	srh-304
1657	str-48
61	phat-7
122	nlp-18
231	phat-3
420	oac-52
722	T05B4.12
1041	idpp-9
723	F18E3.10
1043	lys-8
123	T20G5.8
232	phat-8
423	msrp-7
725	C55A1.7
233	M05D6.8
424	tag-293
727	scl-6
425	C32H11.11
31	cts-1
62	ttr-50
730	arrd-11
1667	Y113G7B.27
731	scl-27
1670	F08G12.11
1671	Y51B9A.14
1674	F19F10.14
1675	F11C7.6
1056	R160.6
1678	ceh-7
1977	fbxa-10
2285	F26F2.1
1978	K08D8.1
2288	ZK218.1
2289	srh-74
235	C26F1.1
429	srlf-1
734	ugt-14
1058	srw-14
1396	T09E11.8
1686	epac-1
1687	C07G1.15
1982	F49D11.11
3002	T26C11.4
3003	srw-62
1983	pnk-4
1398	F16G10.14
1692	C17H12.8
2294	C03E10.3
2297	srh-269
125	C17C3.3
430	R07C12.3
1403	C02E7.10
1695	srh-217
1404	ZK228.1
1405	Y57G11C.30
1406	T26C12.2
1702	C06E4.6
2000	srj-54
1065	cyp-13A6
738	srj-45
1067	grl-28
1412	T24E12.3
1708	C26E1.2
1414	Y94A7B.11
1712	nspg-7.2
2008	srw-15
432	Y79H2A.4
742	clec-101
1074	R08E5.1
1718	T04G9.6
2017	K12H6.8
63	bpnt-1
126	sqt-3
238	dpy-14
744	W07G4.1
1078	C35A5.11
1422	nstp-3
2019	C01G5.7
1721	srx-42
2021	spig-6
1423	F40H3.3
1723	F46E10.3
1424	far-5
1724	spe-27
2025	D1046.16
2027	H40L08.2
2328	cyp-13B2
2329	F32F2.4
2663	C03D6.1
1425	nhr-201
1726	daf-11
2330	mltn-7
2331	D2023.1
2332	cyp-29A4
2333	npr-31
3017	C47F8.6
435	nhr-163
746	sym-1
1080	F58H10.1
1426	aass-1
2338	sru-19
2339	K02E7.7
2034	Y105C5B.15
2342	mdt-21
2343	spp-12
1427	ced-1
1730	F55C9.5
2036	arl-5
2037	F49C5.12
2347	srx-80
1731	K08E3.2
2038	F44A6.3
3022	nhr-5
3023	tag-138
2689	K11H12.7
3024	str-101
3025	C07A4.2
2690	Y43F8B.22
3028	dmsr-13
2350	T05E12.8
2694	her-1
3399	str-225
3035	srab-25
2040	gpdh-1
3039	sre-26
1733	jac-1
2042	otpl-6
3040	M01B2.12
2702	Y53H1B.4
2703	sre-27
2043	nhr-165
2358	M03A1.3
