	cluster_node	PCC	gene_color	cluster_node_color
nspc-20	2	0.9651623947602224	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-14	2	0.9574215925617982	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-12	2	0.9570880687441156	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
F19H6.6	2	0.9565053713714474	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-19	2	0.9537475042605824	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-9	2	0.9536148397897644	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-15	2	0.9501035921557794	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-16	2	0.9500564481413604	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-18	2	0.9189649464967388	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-13	2	0.9045487691233648	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-17	2	0.894735342565007	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-10	2	0.8932655515030017	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
spex-1	2	0.8391627930737843	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
F38C2.4	2	0.8121005374973693	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
F59B2.14	2	0.770452208944244	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
srlf-2	2	0.6886329975071913	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nep-25	2	0.6628973276369344	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
spex-2	2	0.6503341182398437	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
F30A10.4	2	0.6244262701824539	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
W06H8.2	2	0.6002758262122428	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
C34C12.4	2	0.5724914498713433	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
smex-1	2	0.569279457844321	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
ostf-4	2	0.5346845280258734	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
mtig-1	2	0.5322663397775689	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
W07G4.2	2	0.5235571303415283	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
pdi-3	2	0.5041922293092729	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
sid-2	2	0.4420502064901732	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
srbc-39	2	0.4315134419183621	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
clec-164	2	0.405975444462707	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
spcs-2	2	0.3837764204855006	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
Y55F3AM.11	2	0.3763580675653927	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
Y76B12C.3	2	0.3167958380256048	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
Y70C5A.3	2	0.3035974452286695	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
F47E1.4	2	0.2926223667592794	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
T04F8.3	2	0.21325291301916	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-2	4	0.8980881560569516	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-6	4	0.898037918054411	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-7	4	0.8956840442969153	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-5	4	0.89227582050516	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-1	4	0.8893318123469668	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-3	4	0.887518773621686	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
nspc-4	4	0.8860072395326266	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
K08F4.12	4	0.4380124947882167	(0.0, 0.0, 0.0, 1.0)	(0.0, 0.0, 0.0, 1.0)
