node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1076	[1076] cluster act-3	WBGene00006819	unc-87	3670.99	0.769	True	striated muscle WBbt:0005779	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1076	[1076] cluster act-3	WBGene00015954	C18B2.3	777.37	0.756	True	striated muscle WBbt:0005779	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; AVK WBbt:0006823; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1076	[1076] cluster act-3	WBGene00006764	unc-27	5867.59	0.753	True	striated muscle WBbt:0005779	gonad arm WBbt:0008629; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; rectal muscle WBbt:0005803
1076	[1076] cluster act-3	WBGene00006587	tnt-2	3443.12	0.729	True	striated muscle WBbt:0005779	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; intestine WBbt:0005772; AS2 WBbt:0003924; somatic nervous system WBbt:0005760; AS3 WBbt:0003923; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1076	[1076] cluster act-3	WBGene00016266	idhg-2	343.24	0.722	True	striated muscle WBbt:0005779	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PLM WBbt:0005490; head muscle WBbt:0006761; nervous system WBbt:0005735; ALM WBbt:0005406; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1076	[1076] cluster act-3	WBGene00012252	W04E12.7	212.3	0.707	True	striated muscle WBbt:0005779	GLR WBbt:0005176; PLM WBbt:0005490; striated muscle WBbt:0005779; muscular system WBbt:0005737
1076	[1076] cluster act-3	WBGene00018221	F40A3.6	400.51	0.688	True	striated muscle WBbt:0005779	RME WBbt:0005399; vm1 WBbt:0006917; AVL WBbt:0003843; hermaphrodite WBbt:0007849; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; somatic nervous system WBbt:0005760; PLM WBbt:0005490; head muscle WBbt:0006761; RMF WBbt:0006841; RIP WBbt:0006838; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; RIG WBbt:0006836; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1076	[1076] cluster act-3	WBGene00008897	F16H6.7	111.63	0.668	True	striated muscle WBbt:0005779	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; head muscle WBbt:0006761; striated muscle WBbt:0005779; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1076	[1076] cluster act-3	WBGene00000065	act-3	15410.52	0.659	True	striated muscle WBbt:0005779	gonad arm WBbt:0008629; VC5 WBbt:0004613; body wall WBbt:0005742; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1076	[1076] cluster act-3	WBGene00013181	Y53H1B.2	868.97	0.641	True	striated muscle WBbt:0005779	K' cell WBbt:0004497; hyp1 WBbt:0004694; hyp2 WBbt:0004692; PLM WBbt:0005490; epithelial system WBbt:0005730; head muscle WBbt:0006761; K cell WBbt:0004499; striated muscle WBbt:0005779; male WBbt:0007850; muscular system WBbt:0005737
