node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1081	[1081] cluster iff-2	WBGene00002065	iff-2	4084.39	0.61	True	gonad arm WBbt:0008629	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; CAN WBbt:0006827; gonadal primordium WBbt:0008366; PLM WBbt:0005490; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; rectal muscle WBbt:0005803
1081	[1081] cluster iff-2	WBGene00001169	eef-1A.2	3194.71	0.511	False	gonad arm WBbt:0008629	hook sensillum WBbt:0006930; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; VC5 WBbt:0004613; GLR WBbt:0005176; SIA WBbt:0005361; VB2 WBbt:0004641; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; VB9 WBbt:0004627; pm7 WBbt:0003721; intestine WBbt:0005772; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; ray WBbt:0006941; nervous system WBbt:0005735; VB3 WBbt:0004639; VB8 WBbt:0004629; MI neuron WBbt:0003664; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; VB6 WBbt:0004633; VC4 WBbt:0004617; sex organ WBbt:0008422; germ line WBbt:0005784; VB1 WBbt:0004643; NSM WBbt:0003666; VB11 WBbt:0004623; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747
1081	[1081] cluster iff-2	WBGene00006530	tba-4	177.49	0.511	True	gonad arm WBbt:0008629	gonad arm WBbt:0008629; dorsal uterine cell WBbt:0006782; VC5 WBbt:0004613; I5 neuron WBbt:0004740; vulD WBbt:0006766; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; intestine WBbt:0005772; somatic nervous system WBbt:0005760; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; sex organ WBbt:0008422; SAB WBbt:0005396; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1081	[1081] cluster iff-2	WBGene00009367	F33H2.3	448.63	0.468	True	gonad arm WBbt:0008629	ABalpppappp WBbt:0006623; ABplaapaap WBbt:0006518; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; OLQ WBbt:0006848; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; excretory system WBbt:0005736; ABalppappp WBbt:0006694; ASJ WBbt:0005667; ABplpaaapp WBbt:0005877; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; ABalaapppp WBbt:0006461; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; ABalpappaa WBbt:0006051; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABprpaaapa WBbt:0006149; AWA WBbt:0005670; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; ABplpappaa WBbt:0006551; FLP WBbt:0006828; somatic gonad WBbt:0005785; ABarpapaaa WBbt:0006207; PDE WBbt:0006747; pharynx WBbt:0003681; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; ABpraapappp WBbt:0005862; ABarapapaa WBbt:0006001; excretory secretory system WBbt:0006850; ABalapppap WBbt:0006015; anal sphincter muscle WBbt:0005798; ABplapaaaa WBbt:0006221; excretory gland cell WBbt:0005776; ADL WBbt:0005661; pharyngeal-intestinal valve WBbt:0005767; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABplaaaaaa WBbt:0006330; intestinal muscle WBbt:0005796; ABprapappp WBbt:0006587; uterine muscle WBbt:0005342; ASE WBbt:0005663; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraapaap WBbt:0006373; ABpraaappp WBbt:0006194
1081	[1081] cluster iff-2	WBGene00018522	F46H5.7	246.04	0.345	True	gonad arm WBbt:0008629	ABarpaappp WBbt:0006070; gonad arm WBbt:0008629; ABarpaappa WBbt:0005939; ABarpaapap WBbt:0006375; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; intestine WBbt:0005772; ABarppaapa WBbt:0006180; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; ABpraapppa WBbt:0006244; germ line WBbt:0005784; ABarpppapa WBbt:0006433; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1081	[1081] cluster iff-2	WBGene00012648	Y39A1A.9	84.64	0.326	True	gonad arm WBbt:0008629	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; IL2L WBbt:0004541; pm8 WBbt:0004302; I5 neuron WBbt:0004740; GLR WBbt:0005176; K' cell WBbt:0004497; IL2VL WBbt:0004538; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Y cell WBbt:0004578; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; IL2DL WBbt:0004545; CEPsoVL WBbt:0004918; AWA WBbt:0005670; oocyte WBbt:0006797; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; SAB WBbt:0005396; ASG WBbt:0005664; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; IL2DR WBbt:0004543; ABprapapppp WBbt:0006021; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803; DVC WBbt:0004821
1081	[1081] cluster iff-2	WBGene00015885	fbxa-65	42.33	0.272	False	gonad arm WBbt:0008629	GLR WBbt:0005176; intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; coelomic system WBbt:0005749; muscular system WBbt:0005737
1081	[1081] cluster iff-2	WBGene00020901	T28F2.2	42.02	0.196	False	gonad arm WBbt:0008629	ABplapaaaap WBbt:0006592; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; ABprapaaaap WBbt:0006184; gonadal primordium WBbt:0008366; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1081	[1081] cluster iff-2	WBGene00019522	K08B12.3	20.99	0.171	False	gonad arm WBbt:0008629	ABalppppapa WBbt:0006705; GLR WBbt:0005176; ABplpapppa WBbt:0006225; MSpppaaa WBbt:0005951; ABpraaapapa WBbt:0006404; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1081	[1081] cluster iff-2	WBGene00012906	Y46G5A.15	17.67	0.143	False	gonad arm WBbt:0008629	corpus WBbt:0003733; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; pharynx WBbt:0003681; MSpppaaa WBbt:0005951; RIH WBbt:0003928; NSM WBbt:0003666; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
