node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1082	[1082] cluster mdt-22	WBGene00016652	got-2.1	447.05	0.563	True	germ line WBbt:0005784	intestine WBbt:0005772; germ line WBbt:0005784
1082	[1082] cluster mdt-22	WBGene00020422	T10F2.2	213.79	0.531	True	germ line WBbt:0005784	K' cell WBbt:0004497; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; MSpapaapa WBbt:0006627; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalpppppa WBbt:0006638; MSaapaapa WBbt:0006494; ABpraaappa WBbt:0006483; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; F cell WBbt:0004799; ABarpapaaa WBbt:0006207; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; PVR WBbt:0004072; ABalpppppp WBbt:0006396; germ line WBbt:0005784; striated muscle WBbt:0005779; ABplaaaaaa WBbt:0006330; germline precursor cell WBbt:0006849; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABpraaappp WBbt:0006194
1082	[1082] cluster mdt-22	WBGene00022783	tomm-7	608.9	0.523	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PLM WBbt:0005490; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00019630	emb-1	225.34	0.519	True	germ line WBbt:0005784	ABalppppapa WBbt:0006705; Q cell WBbt:0008598; germ line WBbt:0005784; ABpraaapapa WBbt:0006404; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00013435	psme-3	435.96	0.496	True	germ line WBbt:0005784	intestine WBbt:0005772; M cell WBbt:0004489; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00008169	C48B4.6	246.23	0.484	True	germ line WBbt:0005784	Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1082	[1082] cluster mdt-22	WBGene00011456	T05A1.5	92.16	0.481	False	germ line WBbt:0005784	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; CAN WBbt:0006827; excretory cell WBbt:0005812; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; cephalic sheath cell WBbt:0008406
1082	[1082] cluster mdt-22	WBGene00003922	pas-1	471.61	0.47	True	germ line WBbt:0005784	Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00015450	C04F5.8	231.49	0.46	True	germ line WBbt:0005784	Q cell WBbt:0008598; intestine WBbt:0005772; epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737
1082	[1082] cluster mdt-22	WBGene00012344	ola-1	730.01	0.456	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABarppaapp WBbt:0006393; CAN WBbt:0006827; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; epithelial system WBbt:0005730; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; pharynx WBbt:0003681; coelomic system WBbt:0005749; ABpraapappp WBbt:0005862; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00007022	mdt-22	740.75	0.44	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
1082	[1082] cluster mdt-22	WBGene00022172	cosa-1	140.62	0.438	True	germ line WBbt:0005784	Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; oocyte WBbt:0006797; FLP WBbt:0006828; PVR WBbt:0004072; coelomic system WBbt:0005749; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1082	[1082] cluster mdt-22	WBGene00044987	K07A1.17	210.78	0.42	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; g1AL WBbt:0004532; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; PVR WBbt:0004072; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1082	[1082] cluster mdt-22	WBGene00001034	dnj-16	293.76	0.402	True	germ line WBbt:0005784	MC neuron WBbt:0003638; ABprapaaapa WBbt:0006633; DD1 WBbt:0004839; RIA WBbt:0006833; corpus WBbt:0003733; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; AIZ WBbt:0005836; DD5 WBbt:0004825; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; PVP WBbt:0006832; germ line WBbt:0005784; NSM WBbt:0003666; DD4 WBbt:0004826; ABplapaaapa WBbt:0006061; preanal ganglion WBbt:0005448
