node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1094	[1094] cluster sym-1	WBGene00021525	cpg-24	3004.73	0.738	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; Z1.p WBbt:0007023; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; male distal tip cell WBbt:0006864; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; Z4.a WBbt:0007025; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; pharynx WBbt:0003681; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ALN WBbt:0006851; ABplpppapa WBbt:0006488; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1094	[1094] cluster sym-1	WBGene00013145	cutl-2	2473.63	0.716	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
1094	[1094] cluster sym-1	WBGene00020104	R148.5	1490.14	0.705	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; PVC WBbt:0005840; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; dorsal uterine cell WBbt:0006782; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; AVE WBbt:0006819; AVA WBbt:0005842; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; AVG WBbt:0003850; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; AVD WBbt:0006818; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; oocyte WBbt:0006797; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; retrovesicular ganglion WBbt:0005656; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; RIM WBbt:0005835; sex organ WBbt:0008422; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1094	[1094] cluster sym-1	WBGene00007402	ugt-60	556.91	0.696	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
1094	[1094] cluster sym-1	WBGene00009342	fasn-1	3163.52	0.696	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; gonad arm WBbt:0008629; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; excretory system WBbt:0005736; K' cell WBbt:0004497; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; G cell WBbt:0008599; spermatheca WBbt:0005319; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; midbody WBbt:0005740; ABplaapppp WBbt:0006477; muscle of the reproductive system WBbt:0005786; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; male WBbt:0007850; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1094	[1094] cluster sym-1	WBGene00018743	F53B3.5	2714.5	0.696	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; RME WBbt:0005399; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; dorsal uterine cell WBbt:0006782; ABpraapaaa WBbt:0005888; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; ABplpppppp WBbt:0005960; K' cell WBbt:0004497; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABplaapaaa WBbt:0006069; ABprappppa WBbt:0006226; hyp2 WBbt:0004692; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; somatic nervous system WBbt:0005760; ABarppaapa WBbt:0006180; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; midbody WBbt:0005740; ABplaapppp WBbt:0006477; oocyte WBbt:0006797; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; F cell WBbt:0004799; ABprpppapa WBbt:0006044; OL sheath cell WBbt:0008413; ABprpaaaap WBbt:0006721; K cell WBbt:0004499; B cell WBbt:0003825; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABplpaaaap WBbt:0006528; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; germ line WBbt:0005784; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1094	[1094] cluster sym-1	WBGene00007479	C09F9.2	560.31	0.677	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; ABarpaapap WBbt:0006375; ABplpppppp WBbt:0005960; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABprpppppp WBbt:0006430; ABplappppa WBbt:0004671; G cell WBbt:0008599; hyp4 WBbt:0004687; PVD WBbt:0006831; ABarppaapa WBbt:0006180; epithelial system WBbt:0005730; OLL WBbt:0006847; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; ABpraapppa WBbt:0006244; ABplpppapa WBbt:0006488; W cell WBbt:0004583; ABarpppapa WBbt:0006433
1094	[1094] cluster sym-1	WBGene00006366	sym-1	5922.84	0.676	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABpraapaaa WBbt:0005888; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; excretory system WBbt:0005736; K' cell WBbt:0004497; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABplaapaaa WBbt:0006069; ABprappppa WBbt:0006226; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; vulF WBbt:0006768; vulB2 WBbt:0006764; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; midbody WBbt:0005740; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; K cell WBbt:0004499; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; hyp3 WBbt:0004690; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; male WBbt:0007850
1094	[1094] cluster sym-1	WBGene00022104	acsd-1	883.75	0.666	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; XXX cell WBbt:0007855; SIB WBbt:0005359; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; AVE WBbt:0006819; AVA WBbt:0005842; Cpappd WBbt:0006100; DD1 WBbt:0004839; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; AIA WBbt:0006812; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; retrovesicular ganglion WBbt:0005656; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; lateral ganglion left WBbt:0005103; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; AIY WBbt:0005413; male WBbt:0007850
1094	[1094] cluster sym-1	WBGene00019514	cpg-20	2470.38	0.662	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; Caappd WBbt:0005991; ABpraapaaa WBbt:0005888; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABplaapaaa WBbt:0006069; ABprappppa WBbt:0006226; ADE sheath cell WBbt:0008411; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; ABarppaapa WBbt:0006180; amphid socket cell WBbt:0008379; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; OL sheath cell WBbt:0008413; B cell WBbt:0003825; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABarpaaa WBbt:0006398; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
