node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1098	[1098] cluster col-124	WBGene00000751	col-178	30517.1	0.89	False	hyp2 WBbt:0004692	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
1098	[1098] cluster col-124	WBGene00000752	col-179	21405.46	0.886	False	hyp2 WBbt:0004692	corpus WBbt:0003733; pm1 WBbt:0003744; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; muscular system WBbt:0005737
1098	[1098] cluster col-124	WBGene00000698	col-124	49028.26	0.882	False	hyp2 WBbt:0004692	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1098	[1098] cluster col-124	WBGene00000713	col-140	44685.83	0.87	False	hyp2 WBbt:0004692	corpus WBbt:0003733; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666; cephalic sheath cell WBbt:0008406
1098	[1098] cluster col-124	WBGene00000712	col-139	36554.96	0.867	False	hyp2 WBbt:0004692	epithelial system WBbt:0005730
1098	[1098] cluster col-124	WBGene00000703	col-129	20034.03	0.859	False	hyp2 WBbt:0004692	AVJ WBbt:0006822; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1098	[1098] cluster col-124	WBGene00000657	col-81	28853.87	0.842	False	hyp2 WBbt:0004692	ABprpaapap WBbt:0006105; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; ABplpaapap WBbt:0006556; somatic gonad WBbt:0005785; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1098	[1098] cluster col-124	WBGene00000732	col-159	16237.72	0.756	True	hyp2 WBbt:0004692	hyp1 WBbt:0004694; hyp2 WBbt:0004692; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; dorso-rectal ganglion WBbt:0005212; hyp3 WBbt:0004690
1098	[1098] cluster col-124	WBGene00000693	col-119	23908.84	0.716	False	hyp2 WBbt:0004692	epithelial system WBbt:0005730; germ line WBbt:0005784; reproductive system WBbt:0005747
1098	[1098] cluster col-124	WBGene00000601	col-12	9355.75	0.681	False	hyp2 WBbt:0004692	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; vulF WBbt:0006768; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; striated muscle WBbt:0005779; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747
