node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1101	[1101] cluster nduo-6	WBGene00020931	cytb-5.2	401.96	0.548	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PHB WBbt:0007808; PVD WBbt:0006831; CAN WBbt:0006827; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; AWA WBbt:0005670; nervous system WBbt:0005735; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00018151	ndab-2	409.01	0.541	True	germ line WBbt:0005784	corpus WBbt:0003733; intestine WBbt:0005772; gonadal primordium WBbt:0008366; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00022169	nduc-2	316.45	0.537	True	germ line WBbt:0005784	I5 neuron WBbt:0004740; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; NSM WBbt:0003666; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00022380	ndua-12	302.11	0.535	True	germ line WBbt:0005784	intestine WBbt:0005772; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00015810	C16A3.5	414.96	0.534	True	germ line WBbt:0005784	corpus WBbt:0003733; intestine WBbt:0005772; epithelial system WBbt:0005730; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; NSM WBbt:0003666
1101	[1101] cluster nduo-6	WBGene00010326	ndub-10	485.03	0.53	True	germ line WBbt:0005784	PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; germ line WBbt:0005784; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00022347	Y82E9BR.14	165.03	0.523	False	germ line WBbt:0005784	MSaapapa WBbt:0006323; Psub1 WBbt:0006874; Q cell WBbt:0008598; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; PLM WBbt:0005490; MSpapapa WBbt:0006308; rectal gland cell WBbt:0005799; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; NSM WBbt:0003666; ASE WBbt:0005663; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00013378	emc-3	200.18	0.516	True	germ line WBbt:0005784	excretory system WBbt:0005736; AVL WBbt:0003843; Q cell WBbt:0008598; AVG WBbt:0003850; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; excretory secretory system WBbt:0006850; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1101	[1101] cluster nduo-6	WBGene00019607	K10B2.4	434.8	0.514	False	germ line WBbt:0005784	I5 neuron WBbt:0004740; excretory system WBbt:0005736; AUA WBbt:0006817; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; CAN WBbt:0006827; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; OLL WBbt:0006847; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; SAB WBbt:0005396; NSM WBbt:0003666; RIR WBbt:0005047; ASE WBbt:0005663
1101	[1101] cluster nduo-6	WBGene00000829	ctb-1	2190.49	0.514	False	germ line WBbt:0005784	PHC WBbt:0008446; gonad arm WBbt:0008629; URY WBbt:0005346; RIA WBbt:0006833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; RMDDR WBbt:0005038; BAG WBbt:0006825; CAN WBbt:0006827; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; muscle of the reproductive system WBbt:0005786; RMDVR WBbt:0005029; somatic gonad WBbt:0005785; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821; RMDDL WBbt:0005039
1101	[1101] cluster nduo-6	WBGene00009045	F22B5.10	229.55	0.511	True	germ line WBbt:0005784	Q cell WBbt:0008598; intestine WBbt:0005772; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00009712	ndub-2	325.73	0.507	True	germ line WBbt:0005784	corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; somatic gonad WBbt:0005785; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00021973	emc-2	153.62	0.507	True	germ line WBbt:0005784	Q cell WBbt:0008598; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; rectal gland cell WBbt:0005799; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00016020	sptl-1	126.64	0.501	False	germ line WBbt:0005784	ABplpapppa WBbt:0006225; ABprppppaa WBbt:0006642; intestine WBbt:0005772; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; posterior arcade cell WBbt:0005795; ABplppppaa WBbt:0006109
1101	[1101] cluster nduo-6	WBGene00019401	nuo-4	318.86	0.5	False	germ line WBbt:0005784	corpus WBbt:0003733; PVD WBbt:0006831; PLM WBbt:0005490; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666
1101	[1101] cluster nduo-6	WBGene00016439	C35D10.1	145.02	0.49	True	germ line WBbt:0005784	excretory system WBbt:0005736; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; oocyte WBbt:0006797; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; germ line WBbt:0005784; NSM WBbt:0003666; EMS WBbt:0006876; muscular system WBbt:0005737; Psub3 WBbt:0006875; cephalic sheath cell WBbt:0008406
1101	[1101] cluster nduo-6	WBGene00021839	nduf-5	253.49	0.487	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00021960	tmem-258	330.44	0.48	True	germ line WBbt:0005784	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; PLM WBbt:0005490; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; male WBbt:0007850; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00019127	cgt-3	117.05	0.47	True	germ line WBbt:0005784	MSpaaapa WBbt:0006241; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; oocyte WBbt:0006797; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; germ line WBbt:0005784; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1101	[1101] cluster nduo-6	WBGene00021133	tomm-22	191.69	0.468	True	germ line WBbt:0005784	PLM WBbt:0005490; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00006573	tin-10	175.55	0.466	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; reproductive system WBbt:0005747
1101	[1101] cluster nduo-6	WBGene00022580	iglr-2	134.33	0.466	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
