node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
111	[111] cluster rab-3	WBGene00017255	F08D12.12	68.23	0.488	False	AIB WBbt:0006813	AS7 WBbt:0003909; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; I5 neuron WBbt:0004740; DA8 WBbt:0004858; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; VA2 WBbt:0004870; VB9 WBbt:0004627; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; DVA WBbt:0004823; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; VA5 WBbt:0004864; AS5 WBbt:0003911; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; pharyngeal-intestinal valve WBbt:0005767; SAB WBbt:0005396; PDA WBbt:0004386; VA7 WBbt:0004860; VB1 WBbt:0004643; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; male WBbt:0007850; PVT WBbt:0004070; preanal ganglion WBbt:0005448
111	[111] cluster rab-3	WBGene00011251	glb-22	126.71	0.442	False	AIB WBbt:0006813	PVC WBbt:0005840; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; DA8 WBbt:0004858; AVA WBbt:0005842; DD1 WBbt:0004839; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AS3 WBbt:0003923; DA3 WBbt:0004867; VA5 WBbt:0004864; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; RIM WBbt:0005835; DB3 WBbt:0004844; VA4 WBbt:0004866; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
111	[111] cluster rab-3	WBGene00004267	rab-3	394.25	0.426	False	AIB WBbt:0006813	SMD WBbt:0005353; AS7 WBbt:0003909; MC neuron WBbt:0003638; hook sensillum WBbt:0006930; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; SIA WBbt:0005361; DA8 WBbt:0004858; IL1VR WBbt:0004547; URX WBbt:0006846; AUA WBbt:0006817; DD1 WBbt:0004839; IL1R WBbt:0004551; AS4 WBbt:0003912; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; VB2 WBbt:0004641; CEP WBbt:0005244; VA8 WBbt:0004653; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AS9 WBbt:0003907; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; BAG WBbt:0006825; PVD WBbt:0006831; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; VA5 WBbt:0004864; AVK WBbt:0006823; M1 neuron WBbt:0004488; RMDL WBbt:0005037; AS5 WBbt:0003911; DB7 WBbt:0004840; AIZ WBbt:0005836; ray WBbt:0006941; VA11 WBbt:0004647; DA2 WBbt:0004869; I1 neuron WBbt:0003649; ABplpaaaaa WBbt:0005893; M5 neuron WBbt:0004465; VA3 WBbt:0004868; RMDVR WBbt:0005029; DD5 WBbt:0004825; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; ABprpaaaaa WBbt:0006027; VB4 WBbt:0004638; PDE WBbt:0006747; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; VB6 WBbt:0004633; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; NSM WBbt:0003666; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; AS6 WBbt:0003910; VB11 WBbt:0004623; I3 neuron WBbt:0004742; uv1 WBbt:0006791; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; AS10 WBbt:0003906; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
111	[111] cluster rab-3	WBGene00012440	nlp-53	158.18	0.424	True	AIB WBbt:0006813	PHC WBbt:0008446; SIB WBbt:0005359; DA6 WBbt:0004861; OLQ WBbt:0006848; DA1 WBbt:0004871; VC5 WBbt:0004613; HSN WBbt:0006830; PVM WBbt:0004086; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; RIA WBbt:0006833; DA5 WBbt:0004863; RIB WBbt:0005834; AIA WBbt:0006812; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; RIC WBbt:0006834; ADA WBbt:0006811; DA9 WBbt:0004857; RIV WBbt:0006839; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; OLL WBbt:0006847; AIB WBbt:0006813; RMDL WBbt:0005037; AVM WBbt:0003832; AIZ WBbt:0005836; DA2 WBbt:0004869; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; AVB WBbt:0005841; PVW WBbt:0008438; DA7 WBbt:0004859; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; male WBbt:0007850; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
111	[111] cluster rab-3	WBGene00016428	dmsr-7	56.05	0.404	False	AIB WBbt:0006813	SMD WBbt:0005353; RME WBbt:0005399; DA1 WBbt:0004871; HSN WBbt:0006830; PVM WBbt:0004086; I5 neuron WBbt:0004740; AVF WBbt:0003851; AVA WBbt:0005842; URX WBbt:0006846; RMH WBbt:0006843; AVJ WBbt:0006822; RIA WBbt:0006833; DB2 WBbt:0004845; RIB WBbt:0005834; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; RIC WBbt:0006834; DB6 WBbt:0004841; VA12 WBbt:0004645; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; AVK WBbt:0006823; AVM WBbt:0003832; DB7 WBbt:0004840; VA3 WBbt:0004868; AS1 WBbt:0003925; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; RIM WBbt:0005835; DB3 WBbt:0004844; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; AVB WBbt:0005841; RIH WBbt:0003928; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
111	[111] cluster rab-3	WBGene00001518	gar-2	76.31	0.311	True	AIB WBbt:0006813	SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; HSN WBbt:0006830; I5 neuron WBbt:0004740; GLR WBbt:0005176; AVF WBbt:0003851; DA8 WBbt:0004858; URY WBbt:0005346; AVA WBbt:0005842; IL1VR WBbt:0004547; DD1 WBbt:0004839; AVJ WBbt:0006822; IL1R WBbt:0004551; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; VA5 WBbt:0004864; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; DD5 WBbt:0004825; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; RIM WBbt:0005835; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; MSpppaaa WBbt:0005951; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; VB11 WBbt:0004623; uv1 WBbt:0006791; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
111	[111] cluster rab-3	WBGene00015735	pdfr-1	77.2	0.309	False	AIB WBbt:0006813	PVC WBbt:0005840; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; AVE WBbt:0006819; PVM WBbt:0004086; GLR WBbt:0005176; AVF WBbt:0003851; URY WBbt:0005346; URX WBbt:0006846; AUA WBbt:0006817; AVJ WBbt:0006822; ASJ WBbt:0005667; RIA WBbt:0006833; RIB WBbt:0005834; AIA WBbt:0006812; vulD WBbt:0006766; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; ADF WBbt:0005660; RIF WBbt:0006835; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; PHB WBbt:0007808; RIV WBbt:0006839; PHA WBbt:0007807; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; AVK WBbt:0006823; RMDL WBbt:0005037; AVM WBbt:0003832; I1 neuron WBbt:0003649; midbody WBbt:0005740; RMDVR WBbt:0005029; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; VB8 WBbt:0004629; OL sheath cell WBbt:0008413; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; RIM WBbt:0005835; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; RIG WBbt:0006836; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; RIH WBbt:0003928; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; OL socket cell WBbt:0008419; DVC WBbt:0004821; RMDDL WBbt:0005039
111	[111] cluster rab-3	WBGene00001052	dop-1	45.66	0.302	True	AIB WBbt:0006813	PHC WBbt:0008446; SMD WBbt:0005353; DA6 WBbt:0004861; VC6 WBbt:0004611; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; GLR WBbt:0005176; excretory system WBbt:0005736; AVF WBbt:0003851; DA8 WBbt:0004858; AUA WBbt:0006817; DD1 WBbt:0004839; AVJ WBbt:0006822; postdeirid sensillum WBbt:0005471; VB2 WBbt:0004641; AIA WBbt:0006812; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; intestine WBbt:0005772; DA9 WBbt:0004857; PDB WBbt:0004385; VA12 WBbt:0004645; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; head muscle WBbt:0006761; AVK WBbt:0006823; RMDL WBbt:0005037; AVM WBbt:0003832; AIZ WBbt:0005836; AS1 WBbt:0003925; FLP WBbt:0006828; VC1 WBbt:0004621; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; RIM WBbt:0005835; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; PVP WBbt:0006832; PVW WBbt:0008438; DA7 WBbt:0004859; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
111	[111] cluster rab-3	WBGene00001586	lgc-57	36.21	0.294	True	AIB WBbt:0006813	SMD WBbt:0005353; VC6 WBbt:0004611; VB5 WBbt:0004637; URB WBbt:0006845; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; URY WBbt:0005346; URA WBbt:0005225; IL1VR WBbt:0004547; RMH WBbt:0006843; IL1R WBbt:0004551; DB2 WBbt:0004845; IL1DR WBbt:0004737; VA1 WBbt:0004872; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ADA WBbt:0006811; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; AIB WBbt:0006813; AVK WBbt:0006823; DB7 WBbt:0004840; SMB WBbt:0005355; AS1 WBbt:0003925; RIP WBbt:0006838; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; PVR WBbt:0004072; VB6 WBbt:0004633; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; PDA WBbt:0004386; PVP WBbt:0006832; PVW WBbt:0008438; RIH WBbt:0003928; NSM WBbt:0003666; IL1DL WBbt:0004738; DB5 WBbt:0004842; IL1L WBbt:0004553; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
111	[111] cluster rab-3	WBGene00013415	ilcr-1	60.69	0.292	False	AIB WBbt:0006813	ABalppppapa WBbt:0006705; DA6 WBbt:0004861; VC6 WBbt:0004611; DA1 WBbt:0004871; AVE WBbt:0006819; DA8 WBbt:0004858; ASJ WBbt:0005667; DA5 WBbt:0004863; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; BDU WBbt:0006826; BAG WBbt:0006825; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMG WBbt:0006842; DA3 WBbt:0004867; AVK WBbt:0006823; DA2 WBbt:0004869; nervous system WBbt:0005735; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; PVW WBbt:0008438; pm6 WBbt:0003724; SDQ WBbt:0006844; NSM WBbt:0003666; DA7 WBbt:0004859; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ABpraaapapa WBbt:0006404; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
