node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
126	[126] cluster ant-1.1	WBGene00000879	cyn-3	707.22	0.647	True	germ line WBbt:0005784	IL2L WBbt:0004541; VC5 WBbt:0004613; I5 neuron WBbt:0004740; excretory system WBbt:0005736; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; VA12 WBbt:0004645; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; SAB WBbt:0005396; germ line WBbt:0005784; VB1 WBbt:0004643; NSM WBbt:0003666; male WBbt:0007850; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
126	[126] cluster ant-1.1	WBGene00000380	cct-5	535.05	0.645	True	germ line WBbt:0005784	Q cell WBbt:0008598; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; nervous system WBbt:0005735; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00021248	Y22D7AL.10	589.69	0.637	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; germ line WBbt:0005784; ASE WBbt:0005663; muscular system WBbt:0005737
126	[126] cluster ant-1.1	WBGene00000378	cct-2	291.77	0.623	True	germ line WBbt:0005784	PVM WBbt:0004086; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; head muscle WBbt:0006761; AVM WBbt:0003832; nervous system WBbt:0005735; PDE WBbt:0006747; pharynx WBbt:0003681; ALM WBbt:0005406; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00004014	phb-1	460.54	0.612	True	germ line WBbt:0005784	excretory system WBbt:0005736; corpus WBbt:0003733; intestine WBbt:0005772; gonadal primordium WBbt:0008366; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00017984	gmpr-1	481.77	0.604	True	germ line WBbt:0005784	gonad arm WBbt:0008629; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; intestine WBbt:0005772; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; germ line WBbt:0005784; VB1 WBbt:0004643; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00006439	ant-1.1	8992.72	0.597	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hook sensillum WBbt:0006930; VC6 WBbt:0004611; hermaphrodite distal tip cell WBbt:0006863; RIA WBbt:0006833; VC3 WBbt:0004618; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; CAN WBbt:0006827; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; ray WBbt:0006941; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; coelomic system WBbt:0005749; sex organ WBbt:0008422; germ line WBbt:0005784; VB1 WBbt:0004643; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744
126	[126] cluster ant-1.1	WBGene00022336	Y82E9BR.3	2696.85	0.591	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; sex organ WBbt:0008422; germ line WBbt:0005784; VB1 WBbt:0004643; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00000381	cct-6	267.4	0.587	True	germ line WBbt:0005784	PVM WBbt:0004086; Q cell WBbt:0008598; intestine WBbt:0005772; BDU WBbt:0006826; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; PLM WBbt:0005490; nervous system WBbt:0005735; PDE WBbt:0006747; ALM WBbt:0005406; germ line WBbt:0005784; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737; reproductive system WBbt:0005747
126	[126] cluster ant-1.1	WBGene00000379	cct-4	393.61	0.584	True	germ line WBbt:0005784	DA6 WBbt:0004861; PVM WBbt:0004086; DA8 WBbt:0004858; Q cell WBbt:0008598; intestine WBbt:0005772; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; AVM WBbt:0003832; nervous system WBbt:0005735; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; germ line WBbt:0005784; DA7 WBbt:0004859; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
