node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1272	[1272] cluster Y38H6C.24	WBGene00008208	nhr-167	418.46	0.751	False	ADL WBbt:0005661	AWC-OFF WBbt:0005833; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; gonadal primordium WBbt:0008366; PLM WBbt:0005490; AWA WBbt:0005670; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663
1272	[1272] cluster Y38H6C.24	WBGene00007540	C12D8.13	446.66	0.74	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
1272	[1272] cluster Y38H6C.24	WBGene00005889	srw-142	30.83	0.707	False	ADL WBbt:0005661	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1272	[1272] cluster Y38H6C.24	WBGene00005028	sra-2	30.83	0.707	False	ADL WBbt:0005661	intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; muscular system WBbt:0005737
1272	[1272] cluster Y38H6C.24	WBGene00006716	ubc-21	56.4	0.707	False	ADL WBbt:0005661	somatic nervous system WBbt:0005760; nervous system WBbt:0005735
1272	[1272] cluster Y38H6C.24	WBGene00005437	srh-229	84.6	0.707	False	ADL WBbt:0005661	RME WBbt:0005399; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760
1272	[1272] cluster Y38H6C.24	WBGene00019996	R10F2.5	171.83	0.7	False	ADL WBbt:0005661	intestine WBbt:0005772
1272	[1272] cluster Y38H6C.24	WBGene00013645	Y105C5B.1	84.6	0.662	False	ADL WBbt:0005661	nervous system WBbt:0005735
1272	[1272] cluster Y38H6C.24	WBGene00021490	Y40B10A.5	30.83	0.661	False	ADL WBbt:0005661	nociceptor neuron WBbt:0008434; osmosensory neuron WBbt:0008433; lateral ganglion left WBbt:0005103; AWB WBbt:0005671
1272	[1272] cluster Y38H6C.24	WBGene00019995	R10F2.4	661.75	0.652	True	ADL WBbt:0005661	ADE WBbt:0005415; nociceptor neuron WBbt:0008434; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; VD12 WBbt:0004587; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; AVD WBbt:0006818; PHB WBbt:0007808; PHA WBbt:0007807; ASI WBbt:0005666; somatic nervous system WBbt:0005760; AVK WBbt:0006823; AWA WBbt:0005670; RMF WBbt:0006841; somatic gonad WBbt:0005785; PDE WBbt:0006747; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; preanal ganglion WBbt:0005448
1272	[1272] cluster Y38H6C.24	WBGene00005558	sri-46	112.8	0.641	False	ADL WBbt:0005661	ADE WBbt:0005415; CEP WBbt:0005244; anterior ganglion WBbt:0005375
