node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
13	[13] cluster hsp-16.48	WBGene00002020	hsp-16.49	108363.24	0.835	False	RMF WBbt:0006841	intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; OLL WBbt:0006847
13	[13] cluster hsp-16.48	WBGene00002019	hsp-16.48	108366.73	0.835	False	RMF WBbt:0006841	MC neuron WBbt:0003638; OLQ WBbt:0006848; AVE WBbt:0006819; K' cell WBbt:0004497; IL1VR WBbt:0004547; URX WBbt:0006846; AUA WBbt:0006817; IL1R WBbt:0004551; IL1DR WBbt:0004737; CEP WBbt:0005244; VA8 WBbt:0004653; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; Y cell WBbt:0004578; BAG WBbt:0006825; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; ABplaaaaapp WBbt:0006428; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; VA5 WBbt:0004864; AWA WBbt:0005670; VA3 WBbt:0004868; ABplaapappp WBbt:0006387; F cell WBbt:0004799; AWCR WBbt:0003826; pharynx WBbt:0003681; K cell WBbt:0004499; VA6 WBbt:0004862; B cell WBbt:0003825; IL1VL WBbt:0004549; coelomic system WBbt:0005749; RIS WBbt:0005045; VA4 WBbt:0004866; ABpraapappp WBbt:0005862; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; ABalpppppp WBbt:0006396; anal depressor muscle WBbt:0004292; ASG WBbt:0005664; VA7 WBbt:0004860; germ line WBbt:0005784; AWB WBbt:0005671; intestinal muscle WBbt:0005796; IL1DL WBbt:0004738; IL1L WBbt:0004553; ABarpapaapp WBbt:0006075; U cell WBbt:0004942; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABpraaappp WBbt:0006194
13	[13] cluster hsp-16.48	WBGene00002015	hsp-16.1	68508.51	0.833	False	RMF WBbt:0006841	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; anal sphincter muscle WBbt:0005798; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
13	[13] cluster hsp-16.48	WBGene00002017	hsp-16.11	69890.0	0.833	True	RMF WBbt:0006841	PVC WBbt:0005840; MC neuron WBbt:0003638; SIB WBbt:0005359; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; AVE WBbt:0006819; I5 neuron WBbt:0004740; AVF WBbt:0003851; AVA WBbt:0005842; RMH WBbt:0006843; AVJ WBbt:0006822; I6 neuron WBbt:0004739; VA10 WBbt:0004649; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; RIF WBbt:0006835; RMDDR WBbt:0005038; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; VA12 WBbt:0004645; AS2 WBbt:0003924; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; PLM WBbt:0005490; AS3 WBbt:0003923; epithelial system WBbt:0005730; VA5 WBbt:0004864; CEPsoVL WBbt:0004918; VA11 WBbt:0004647; RMF WBbt:0006841; M5 neuron WBbt:0004465; VA3 WBbt:0004868; RMDVR WBbt:0005029; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; MI neuron WBbt:0003664; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; RIM WBbt:0005835; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; VB11 WBbt:0004623; ASE WBbt:0005663; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
13	[13] cluster hsp-16.48	WBGene00002026	hsp-70	6925.45	0.705	True	RMF WBbt:0006841	PHC WBbt:0008446; DA6 WBbt:0004861; VB10 WBbt:0004625; ABpraaapppp WBbt:0005931; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; PVM WBbt:0004086; VD8 WBbt:0004597; AVF WBbt:0003851; DA8 WBbt:0004858; AVA WBbt:0005842; RMH WBbt:0006843; DD1 WBbt:0004839; AVJ WBbt:0006822; RIA WBbt:0006833; VA10 WBbt:0004649; ABplpaaapp WBbt:0005877; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VD5 WBbt:0004601; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; AWC-OFF WBbt:0005833; corpus WBbt:0003733; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; VD12 WBbt:0004587; VD13 WBbt:0004585; RMDDR WBbt:0005038; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; VD1 WBbt:0004609; VD4 WBbt:0004603; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; AIB WBbt:0006813; VA5 WBbt:0004864; VD7 WBbt:0004598; ABalppppppp WBbt:0006599; DB7 WBbt:0004840; ABalapapap WBbt:0005910; VA11 WBbt:0004647; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; DD5 WBbt:0004825; VD11 WBbt:0004589; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; SAA WBbt:0005397; PDE WBbt:0006747; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; ABprpaaapp WBbt:0005868; ALM WBbt:0005406; VB6 WBbt:0004633; VD3 WBbt:0004605; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; ABalapppap WBbt:0006015; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; intestinal muscle WBbt:0005796; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; DD4 WBbt:0004826; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
13	[13] cluster hsp-16.48	WBGene00235164	K09F6.13	3267.25	0.692	False	RMF WBbt:0006841	SMD WBbt:0005353; AS7 WBbt:0003909; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; dorsal uterine cell WBbt:0006782; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; VC5 WBbt:0004613; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; K' cell WBbt:0004497; DA8 WBbt:0004858; AUA WBbt:0006817; DD1 WBbt:0004839; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; RIB WBbt:0005834; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VC3 WBbt:0004618; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AS9 WBbt:0003907; Y cell WBbt:0004578; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AS2 WBbt:0003924; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; AS3 WBbt:0003923; DA3 WBbt:0004867; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; VA5 WBbt:0004864; AVK WBbt:0006823; RMDL WBbt:0005037; AS5 WBbt:0003911; DB7 WBbt:0004840; CEPsoVL WBbt:0004918; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; DD5 WBbt:0004825; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; F cell WBbt:0004799; VB4 WBbt:0004638; pharynx WBbt:0003681; K cell WBbt:0004499; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; B cell WBbt:0003825; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; VC4 WBbt:0004617; DB3 WBbt:0004844; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; male WBbt:0007850; DD4 WBbt:0004826; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
13	[13] cluster hsp-16.48	WBGene00004131	tent-5	1999.5	0.676	True	RMF WBbt:0006841	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; VC5 WBbt:0004613; AVE WBbt:0006819; AS11 WBbt:0003905; PVM WBbt:0004086; SIA WBbt:0005361; VD8 WBbt:0004597; AVF WBbt:0003851; DA8 WBbt:0004858; AVA WBbt:0005842; IL1VR WBbt:0004547; RMH WBbt:0006843; DD1 WBbt:0004839; AVJ WBbt:0006822; IL1R WBbt:0004551; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; IL1DR WBbt:0004737; VD5 WBbt:0004601; VB2 WBbt:0004641; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VC3 WBbt:0004618; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; VD12 WBbt:0004587; RIF WBbt:0006835; VD13 WBbt:0004585; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; VD1 WBbt:0004609; ADA WBbt:0006811; VD4 WBbt:0004603; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; PHA WBbt:0007807; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; VA5 WBbt:0004864; VD7 WBbt:0004598; AVK WBbt:0006823; RMDL WBbt:0005037; AVM WBbt:0003832; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; midbody WBbt:0005740; RMF WBbt:0006841; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; DD5 WBbt:0004825; VD11 WBbt:0004589; outer labial lateral sensillum WBbt:0005503; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; VB6 WBbt:0004633; VD3 WBbt:0004605; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; VA7 WBbt:0004860; PVW WBbt:0008438; VB1 WBbt:0004643; intestinal muscle WBbt:0005796; SDQ WBbt:0006844; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; VB11 WBbt:0004623; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
13	[13] cluster hsp-16.48	WBGene00001452	flp-9	6691.46	0.638	False	RMF WBbt:0006841	PVN WBbt:0008275; SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; IL2L WBbt:0004541; VB7 WBbt:0004631; VC5 WBbt:0004613; ADE WBbt:0005415; AS11 WBbt:0003905; GLR WBbt:0005176; SIA WBbt:0005361; URA WBbt:0005225; AWC-ON WBbt:0005832; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VD5 WBbt:0004601; VB2 WBbt:0004641; RIB WBbt:0005834; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; VC3 WBbt:0004618; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; anchor cell WBbt:0004522; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; VD4 WBbt:0004603; DB6 WBbt:0004841; RIV WBbt:0006839; PHA WBbt:0007807; BDU WBbt:0006826; PVD WBbt:0006831; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; OLL WBbt:0006847; VA5 WBbt:0004864; VD7 WBbt:0004598; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; VA3 WBbt:0004868; RMDVR WBbt:0005029; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; VB6 WBbt:0004633; VD3 WBbt:0004605; VC4 WBbt:0004617; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; RIH WBbt:0003928; SDQ WBbt:0006844; NSM WBbt:0003666; DB5 WBbt:0004842; IL1L WBbt:0004553; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; male WBbt:0007850; PVT WBbt:0004070; RIR WBbt:0005047; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
13	[13] cluster hsp-16.48	WBGene00003753	nlp-15	1034.33	0.529	True	RMF WBbt:0006841	PVN WBbt:0008275; PVC WBbt:0005840; XXX cell WBbt:0007855; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; VC5 WBbt:0004613; AVE WBbt:0006819; AS11 WBbt:0003905; HSN WBbt:0006830; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; nociceptor neuron WBbt:0008434; VD8 WBbt:0004597; DA8 WBbt:0004858; AVA WBbt:0005842; DD1 WBbt:0004839; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VD5 WBbt:0004601; VB2 WBbt:0004641; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; VD12 WBbt:0004587; RIF WBbt:0006835; VD13 WBbt:0004585; osmosensory neuron WBbt:0008433; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; VD1 WBbt:0004609; VD4 WBbt:0004603; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; BDU WBbt:0006826; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; VA5 WBbt:0004864; PQR WBbt:0004096; VD7 WBbt:0004598; RMDL WBbt:0005037; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; midbody WBbt:0005740; RMF WBbt:0006841; VA3 WBbt:0004868; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; AS1 WBbt:0003925; VD11 WBbt:0004589; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; VD3 WBbt:0004605; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; RIG WBbt:0006836; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VB11 WBbt:0004623; VD9 WBbt:0004593; uv1 WBbt:0006791; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
13	[13] cluster hsp-16.48	WBGene00001189	egl-21	1740.21	0.527	True	RMF WBbt:0006841	PHC WBbt:0008446; SMD WBbt:0005353; hook sensillum WBbt:0006930; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; VC6 WBbt:0004611; IL2L WBbt:0004541; URB WBbt:0006845; OLQ WBbt:0006848; M4 neuron WBbt:0004467; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; HSN WBbt:0006830; PVM WBbt:0004086; I5 neuron WBbt:0004740; AVF WBbt:0003851; DA8 WBbt:0004858; AVA WBbt:0005842; URA WBbt:0005225; IL1VR WBbt:0004547; Psub1 WBbt:0006874; URX WBbt:0006846; AUA WBbt:0006817; RMH WBbt:0006843; DD1 WBbt:0004839; AVJ WBbt:0006822; IL1R WBbt:0004551; I6 neuron WBbt:0004739; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; VB2 WBbt:0004641; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; AVL WBbt:0003843; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; DD6 WBbt:0004824; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RIF WBbt:0006835; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; LUA WBbt:0008031; RIC WBbt:0006834; AVD WBbt:0006818; DVB WBbt:0004822; ADA WBbt:0006811; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; BAG WBbt:0006825; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; AVM WBbt:0003832; DB7 WBbt:0004840; AIZ WBbt:0005836; AQR WBbt:0003927; ray WBbt:0006941; VA11 WBbt:0004647; DA2 WBbt:0004869; RMF WBbt:0006841; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; MI neuron WBbt:0003664; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ADL WBbt:0005661; ALN WBbt:0006851; RIG WBbt:0006836; sex organ WBbt:0008422; PDA WBbt:0004386; ASG WBbt:0005664; PVP WBbt:0006832; AVB WBbt:0005841; PVW WBbt:0008438; AWB WBbt:0005671; RIH WBbt:0003928; SDQ WBbt:0006844; NSM WBbt:0003666; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; uv1 WBbt:0006791; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; PVT WBbt:0004070; RIR WBbt:0005047; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
