node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1423	[1423] cluster sca-1	WBGene00016722	C46G7.2	1002.69	0.779	True	anal depressor muscle WBbt:0004292	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1423	[1423] cluster sca-1	WBGene00019727	zig-12	1513.63	0.766	True	anal depressor muscle WBbt:0004292	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; PLM WBbt:0005490; head muscle WBbt:0006761; nervous system WBbt:0005735; ALM WBbt:0005406; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
1423	[1423] cluster sca-1	WBGene00000118	alh-12	328.63	0.669	False	anal depressor muscle WBbt:0004292	VC6 WBbt:0004611; body wall WBbt:0005742; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; AS1 WBbt:0003925; VC1 WBbt:0004621; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; sex organ WBbt:0008422; striated muscle WBbt:0005779; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
1423	[1423] cluster sca-1	WBGene00003169	mec-5	274.2	0.649	True	anal depressor muscle WBbt:0004292	body wall WBbt:0005742; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AIB WBbt:0006813; head muscle WBbt:0006761; I4 neuron WBbt:0004741; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; muscular system WBbt:0005737
1423	[1423] cluster sca-1	WBGene00004736	sca-1	1527.96	0.607	True	anal depressor muscle WBbt:0004292	VB5 WBbt:0004637; VB7 WBbt:0004631; excretory system WBbt:0005736; ut1 WBbt:0006785; vulD WBbt:0006766; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; VB9 WBbt:0004627; spermatheca WBbt:0005319; intestine WBbt:0005772; AB WBbt:0004015; PVD WBbt:0006831; somatic nervous system WBbt:0005760; vulF WBbt:0006768; PLM WBbt:0005490; vulB2 WBbt:0006764; ut2 WBbt:0006786; vulC WBbt:0006765; ut3 WBbt:0006787; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; head muscle WBbt:0006761; vulA WBbt:0006762; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; vulB1 WBbt:0006763; VB6 WBbt:0004633; excretory secretory system WBbt:0006850; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; NSM WBbt:0003666; uterine muscle WBbt:0005342; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1423	[1423] cluster sca-1	WBGene00013330	Y57G11C.41	65.98	0.576	True	anal depressor muscle WBbt:0004292	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; I4 neuron WBbt:0004741; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; anal sphincter muscle WBbt:0005798; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1423	[1423] cluster sca-1	WBGene00001149	bcat-1	297.42	0.564	True	anal depressor muscle WBbt:0004292	gonad arm WBbt:0008629; GLR WBbt:0005176; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1423	[1423] cluster sca-1	WBGene00006759	unc-22	755.15	0.552	True	anal depressor muscle WBbt:0004292	vm1 WBbt:0006917; I5 neuron WBbt:0004740; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; intestine WBbt:0005772; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; head muscle WBbt:0006761; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; SAB WBbt:0005396; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; pm6 WBbt:0003724; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1423	[1423] cluster sca-1	WBGene00000245	bca-1	114.66	0.503	False	anal depressor muscle WBbt:0004292	pm8 WBbt:0004302; intestine WBbt:0005772; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; AVK WBbt:0006823; pharynx WBbt:0003681; muscular system WBbt:0005737
1423	[1423] cluster sca-1	WBGene00020185	pgk-1	278.24	0.453	False	anal depressor muscle WBbt:0004292	VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DB2 WBbt:0004845; VB2 WBbt:0004641; corpus WBbt:0003733; VB9 WBbt:0004627; DB6 WBbt:0004841; VA12 WBbt:0004645; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; DB7 WBbt:0004840; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VB6 WBbt:0004633; DB3 WBbt:0004844; VB1 WBbt:0004643; NSM WBbt:0003666; DB5 WBbt:0004842; VB11 WBbt:0004623; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
