node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1424	[1424] cluster sgcb-1	WBGene00019277	sgcb-1	1033.53	0.669	False	SMD WBbt:0005353	vm1 WBbt:0006917; AIA WBbt:0006812; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; epithelial system WBbt:0005730; head muscle WBbt:0006761; M5 neuron WBbt:0004465; nervous system WBbt:0005735; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1424	[1424] cluster sgcb-1	WBGene00013542	lron-12	346.21	0.608	False	SMD WBbt:0005353	M3 neuron WBbt:0003754; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; PVD WBbt:0006831; M2 neuron WBbt:0003634; OLL WBbt:0006847; AIB WBbt:0006813; head muscle WBbt:0006761; M5 neuron WBbt:0004465; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; striated muscle WBbt:0005779; muscular system WBbt:0005737
1424	[1424] cluster sgcb-1	WBGene00006774	unc-38	289.15	0.568	True	SMD WBbt:0005353	SMD WBbt:0005353; SIB WBbt:0005359; DA6 WBbt:0004861; DA1 WBbt:0004871; I5 neuron WBbt:0004740; GLR WBbt:0005176; DA8 WBbt:0004858; AVA WBbt:0005842; AVJ WBbt:0006822; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; DA2 WBbt:0004869; muscle of the reproductive system WBbt:0005786; RMDVR WBbt:0005029; nervous system WBbt:0005735; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; DB3 WBbt:0004844; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; anal depressor muscle WBbt:0004292; DA7 WBbt:0004859; DB5 WBbt:0004842; AIY WBbt:0005413; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1424	[1424] cluster sgcb-1	WBGene00007750	syg-2	321.81	0.502	True	SMD WBbt:0005353	SMD WBbt:0005353; DA6 WBbt:0004861; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; vm1 WBbt:0006917; AS11 WBbt:0003905; GLR WBbt:0005176; DA8 WBbt:0004858; AUA WBbt:0006817; P6.p WBbt:0006894; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA1 WBbt:0004872; DA4 WBbt:0004865; body wall WBbt:0005742; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; P6.pp WBbt:0006988; RMDDR WBbt:0005038; RMDR WBbt:0005033; ventral left quadrant body wall muscle WBbt:0005818; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; P6.pa WBbt:0006987; epithelial system WBbt:0005730; ABprppaaaap WBbt:0006283; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; VA11 WBbt:0004647; DA2 WBbt:0004869; midbody WBbt:0005740; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; vm2 WBbt:0006918; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; ABplppaaaap WBbt:0006414; PVP WBbt:0006832; striated muscle WBbt:0005779; VB1 WBbt:0004643; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1424	[1424] cluster sgcb-1	WBGene00016463	C35E7.11	511.24	0.479	False	SMD WBbt:0005353	ADE WBbt:0005415; AVE WBbt:0006819; nociceptor neuron WBbt:0008434; URX WBbt:0006846; AUA WBbt:0006817; RMH WBbt:0006843; ASJ WBbt:0005667; AWC-ON WBbt:0005832; AWC-OFF WBbt:0005833; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PHB WBbt:0007808; BAG WBbt:0006825; PVD WBbt:0006831; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; OLL WBbt:0006847; AVK WBbt:0006823; AWA WBbt:0005670; RMF WBbt:0006841; oocyte WBbt:0006797; outer labial lateral sensillum WBbt:0005503; AWCR WBbt:0003826; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; VB1 WBbt:0004643; AWB WBbt:0005671; NSM WBbt:0003666; RIR WBbt:0005047; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; RMDDL WBbt:0005039
1424	[1424] cluster sgcb-1	WBGene00018219	F40A3.4	132.56	0.433	True	SMD WBbt:0005353	SMD WBbt:0005353; AIM WBbt:0006814; SIB WBbt:0005359; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; GLR WBbt:0005176; SIA WBbt:0005361; AVJ WBbt:0006822; DB2 WBbt:0004845; VB2 WBbt:0004641; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ADA WBbt:0006811; DA9 WBbt:0004857; DB6 WBbt:0004841; BAG WBbt:0006825; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; RMDL WBbt:0005037; DB7 WBbt:0004840; VB3 WBbt:0004639; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VB8 WBbt:0004629; MI neuron WBbt:0003664; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VB6 WBbt:0004633; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; VB1 WBbt:0004643; RIH WBbt:0003928; NSM WBbt:0003666; DB5 WBbt:0004842; VB11 WBbt:0004623; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
1424	[1424] cluster sgcb-1	WBGene00017931	picc-1	321.32	0.408	False	SMD WBbt:0005353	AIM WBbt:0006814; ABplpppaaa WBbt:0006025; URB WBbt:0006845; URA WBbt:0005225; IL1VR WBbt:0004547; IL1R WBbt:0004551; IL1DR WBbt:0004737; body wall WBbt:0005742; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; ventral left quadrant body wall muscle WBbt:0005818; BAG WBbt:0006825; somatic nervous system WBbt:0005760; ABprpppaaa WBbt:0006063; epithelial system WBbt:0005730; OLL WBbt:0006847; oocyte WBbt:0006797; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; IL1VL WBbt:0004549; germ line WBbt:0005784; striated muscle WBbt:0005779; RIH WBbt:0003928; IL1DL WBbt:0004738; IL1L WBbt:0004553; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
1424	[1424] cluster sgcb-1	WBGene00271414	T05A7.12	16.34	0.388	False	SMD WBbt:0005353	XXX cell WBbt:0007855; anterior ganglion WBbt:0005375; epithelial system WBbt:0005730
1424	[1424] cluster sgcb-1	WBGene00005531	sri-19	34.28	0.368	False	SMD WBbt:0005353	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; sex organ WBbt:0008422; striated muscle WBbt:0005779; muscular system WBbt:0005737
1424	[1424] cluster sgcb-1	WBGene00001490	frm-3	121.76	0.367	True	SMD WBbt:0005353	SMD WBbt:0005353; RME WBbt:0005399; DA6 WBbt:0004861; DA1 WBbt:0004871; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; DA8 WBbt:0004858; M3 neuron WBbt:0003754; DB2 WBbt:0004845; DA5 WBbt:0004863; AVL WBbt:0003843; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DVB WBbt:0004822; DA9 WBbt:0004857; DB6 WBbt:0004841; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; DA2 WBbt:0004869; SMB WBbt:0005355; oocyte WBbt:0006797; RMDVR WBbt:0005029; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; AVB WBbt:0005841; striated muscle WBbt:0005779; DA7 WBbt:0004859; DB5 WBbt:0004842; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
