node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1433	[1433] cluster jun-1	WBGene00010031	F54B11.8	312.49	0.761	True	Z4.a WBbt:0007025	Z1.p WBbt:0007023; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; muscular system WBbt:0005737; reproductive tract WBbt:0005744
1433	[1433] cluster jun-1	WBGene00016221	C29F9.6	440.75	0.6	True	Z4.a WBbt:0007025	gonad arm WBbt:0008629; XXX cell WBbt:0007855; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; spermathecal-uterine junction WBbt:0006756; pm8 WBbt:0004302; GLR WBbt:0005176; Z1.p WBbt:0007023; vulD WBbt:0006766; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; vulF WBbt:0006768; PLM WBbt:0005490; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; CEPsoVL WBbt:0004918; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; coelomic system WBbt:0005749; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; uv2 WBbt:0006792; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00017894	F28B12.1	184.36	0.597	True	Z4.a WBbt:0007025	GLR WBbt:0005176; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; male distal tip cell WBbt:0006864; ASI WBbt:0005666; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00012005	jun-1	1315.63	0.519	False	Z4.a WBbt:0007025	IL socket cell WBbt:0008418; spermathecal-uterine junction WBbt:0006756; VC5 WBbt:0004613; excretory system WBbt:0005736; AVJ WBbt:0006822; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; AVK WBbt:0006823; nervous system WBbt:0005735; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; RIG WBbt:0006836; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00016467	C36B7.4	240.23	0.518	True	Z4.a WBbt:0007025	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; vulD WBbt:0006766; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AWB WBbt:0005671; vulE WBbt:0006767; reproductive tract WBbt:0005744
1433	[1433] cluster jun-1	WBGene00016155	C27A12.4	44.57	0.46	True	Z4.a WBbt:0007025	Z1.p WBbt:0007023; corpus WBbt:0003733; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00019100	F59B1.8	99.45	0.457	False	Z4.a WBbt:0007025	ABalpapaap WBbt:0006023; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABarappaap WBbt:0006103; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OLL WBbt:0006847; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; posterior arcade cell WBbt:0005795; CEPsoDL WBbt:0004921; ASE WBbt:0005663; cephalic sheath cell WBbt:0008406
1433	[1433] cluster jun-1	WBGene00017586	F19B10.4	34.89	0.457	True	Z4.a WBbt:0007025	AVA WBbt:0005842; Z1.p WBbt:0007023; ABarapappa WBbt:0006309; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; ABalpapppa WBbt:0006701; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; PLM WBbt:0005490; Z4.a WBbt:0007025; nervous system WBbt:0005735; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00010647	K08C7.4	105.5	0.448	True	Z4.a WBbt:0007025	XXX cell WBbt:0007855; dorsal uterine cell WBbt:0006782; ASJ WBbt:0005667; Z1.p WBbt:0007023; vulD WBbt:0006766; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; male distal tip cell WBbt:0006864; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; AWA WBbt:0005670; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; vulE WBbt:0006767; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00020201	T04A6.2	39.07	0.431	True	Z4.a WBbt:0007025	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; ABalppppaa WBbt:0006526; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMG WBbt:0006842; Z4.a WBbt:0007025; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ABpraaapaa WBbt:0006114; germline precursor cell WBbt:0006849; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1433	[1433] cluster jun-1	WBGene00017711	F22E5.13	47.55	0.38	True	Z4.a WBbt:0007025	GLR WBbt:0005176; Z1.p WBbt:0007023; male distal tip cell WBbt:0006864; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; OLL WBbt:0006847; Z4.a WBbt:0007025; nervous system WBbt:0005735; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
