node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1464	[1464] cluster grl-15	WBGene00012540	Y37A1B.7	19174.03	0.812	False	tail hypodermis WBbt:0006978	dorsal uterine cell WBbt:0006782; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Y cell WBbt:0004578; BAG WBbt:0006825; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; somatic gonad WBbt:0005785; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; germ line WBbt:0005784; germline precursor cell WBbt:0006849; U cell WBbt:0004942; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1464	[1464] cluster grl-15	WBGene00010461	K01D12.1	9406.08	0.733	False	tail hypodermis WBbt:0006978	intestine WBbt:0005772; epithelial system WBbt:0005730; coelomic system WBbt:0005749
1464	[1464] cluster grl-15	WBGene00001724	grl-15	19558.54	0.73	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; vulD WBbt:0006766; hermaphrodite WBbt:0007849; vulF WBbt:0006768; vulB2 WBbt:0006764; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; vulB1 WBbt:0006763; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; vulE WBbt:0006767; reproductive system WBbt:0005747
1464	[1464] cluster grl-15	WBGene00022517	ZC123.1	2275.87	0.723	True	tail hypodermis WBbt:0006978	PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
1464	[1464] cluster grl-15	WBGene00017560	F18C5.5	2320.07	0.697	True	tail hypodermis WBbt:0006978	excretory system WBbt:0005736; PVD WBbt:0006831; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; germline precursor cell WBbt:0006849
1464	[1464] cluster grl-15	WBGene00011948	rocf-1	1188.9	0.682	False	tail hypodermis WBbt:0006978	AVL WBbt:0003843; intestine WBbt:0005772; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; dorso-rectal ganglion WBbt:0005212
1464	[1464] cluster grl-15	WBGene00006947	wrt-1	13060.99	0.675	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; pm7 WBbt:0003721; intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
1464	[1464] cluster grl-15	WBGene00017307	F09F9.2	8491.46	0.672	True	tail hypodermis WBbt:0006978	excretory system WBbt:0005736; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; intestine WBbt:0005772; Y cell WBbt:0004578; PVD WBbt:0006831; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; germline precursor cell WBbt:0006849; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747
1464	[1464] cluster grl-15	WBGene00007560	C14A4.9	2487.91	0.67	False	tail hypodermis WBbt:0006978	intestine WBbt:0005772; epithelial system WBbt:0005730; germline precursor cell WBbt:0006849
1464	[1464] cluster grl-15	WBGene00018630	F49D11.6	4043.97	0.666	False	tail hypodermis WBbt:0006978	epithelial system WBbt:0005730
