node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1471	[1471] cluster exp-2	WBGene00015419	srsx-18	325.81	0.869	True	RIS WBbt:0005045	linker cell WBbt:0005062; nociceptor neuron WBbt:0008434; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; BAG WBbt:0006825; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; coelomic system WBbt:0005749; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744
1471	[1471] cluster exp-2	WBGene00007346	frpr-2	188.18	0.649	True	RIS WBbt:0005045	VC5 WBbt:0004613; VA10 WBbt:0004649; hermaphrodite WBbt:0007849; RIC WBbt:0006834; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; VA9 WBbt:0004651; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; RIS WBbt:0005045; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; muscular system WBbt:0005737; reproductive system WBbt:0005747
1471	[1471] cluster exp-2	WBGene00009782	F46C5.7	655.99	0.597	True	RIS WBbt:0005045	SMD WBbt:0005353; MC neuron WBbt:0003638; VC6 WBbt:0004611; URB WBbt:0006845; AVE WBbt:0006819; URA WBbt:0005225; RIA WBbt:0006833; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; RMDL WBbt:0005037; VC1 WBbt:0004621; MI neuron WBbt:0003664; pharynx WBbt:0003681; AIN WBbt:0006815; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; male WBbt:0007850; PVT WBbt:0004070; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
1471	[1471] cluster exp-2	WBGene00015416	C04C3.6	86.75	0.455	True	RIS WBbt:0005045	URB WBbt:0006845; URA WBbt:0005225; RMH WBbt:0006843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; AIN WBbt:0006815; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; PVP WBbt:0006832; AIY WBbt:0005413; AWCL WBbt:0003827; reproductive tract WBbt:0005744; preanal ganglion WBbt:0005448
1471	[1471] cluster exp-2	WBGene00001374	exp-2	1010.48	0.432	True	RIS WBbt:0005045	PVN WBbt:0008275; ABalppppapa WBbt:0006705; VC6 WBbt:0004611; OLQ WBbt:0006848; VC5 WBbt:0004613; ADE WBbt:0005415; HSN WBbt:0006830; GLR WBbt:0005176; nociceptor neuron WBbt:0008434; URA WBbt:0005225; URX WBbt:0006846; I6 neuron WBbt:0004739; mc2 WBbt:0003708; VD5 WBbt:0004601; VB2 WBbt:0004641; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; VD4 WBbt:0004603; PDB WBbt:0004385; RIV WBbt:0006839; VA12 WBbt:0004645; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; AIB WBbt:0006813; PQR WBbt:0004096; VD7 WBbt:0004598; AVK WBbt:0006823; AQR WBbt:0003927; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; RIP WBbt:0006838; VC1 WBbt:0004621; VD6 WBbt:0004599; SAA WBbt:0005397; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; AIN WBbt:0006815; VD3 WBbt:0004605; VC4 WBbt:0004617; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; RIG WBbt:0006836; sex organ WBbt:0008422; SAB WBbt:0005396; ABpraaapapa WBbt:0006404; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1471	[1471] cluster exp-2	WBGene00004002	pgp-8	65.22	0.36	False	RIS WBbt:0005045	dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; AVA WBbt:0005842; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; RIV WBbt:0006839; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; SMB WBbt:0005355; nervous system WBbt:0005735; somatic gonad WBbt:0005785; SAA WBbt:0005397; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1471	[1471] cluster exp-2	WBGene00018879	F55D10.4	302.41	0.346	True	RIS WBbt:0005045	SMD WBbt:0005353; XXX cell WBbt:0007855; OLQ WBbt:0006848; AVE WBbt:0006819; AVJ WBbt:0006822; RIA WBbt:0006833; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; BAG WBbt:0006825; PVD WBbt:0006831; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; RMDL WBbt:0005037; RMDVR WBbt:0005029; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; AWCR WBbt:0003826; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; PDA WBbt:0004386; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1471	[1471] cluster exp-2	WBGene00011454	lron-14	264.33	0.336	False	RIS WBbt:0005045	AS7 WBbt:0003909; XXX cell WBbt:0007855; DA6 WBbt:0004861; ILshDR WBbt:0004531; DA1 WBbt:0004871; AS11 WBbt:0003905; I5 neuron WBbt:0004740; DA8 WBbt:0004858; URX WBbt:0006846; DD1 WBbt:0004839; AS4 WBbt:0003912; DB2 WBbt:0004845; DA5 WBbt:0004863; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AS2 WBbt:0003924; lumbar ganglion right WBbt:0005601; AS8 WBbt:0003908; DB1 WBbt:0004846; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; PQR WBbt:0004096; ILshVL WBbt:0004525; AS5 WBbt:0003911; DB7 WBbt:0004840; AQR WBbt:0003927; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; SDQ WBbt:0006844; DA7 WBbt:0004859; phasmid sheath cell WBbt:0006755; DB5 WBbt:0004842; AS6 WBbt:0003910; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; AS10 WBbt:0003906; ILshR WBbt:0004527; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1471	[1471] cluster exp-2	WBGene00021528	gbb-1	162.91	0.293	False	RIS WBbt:0005045	SMD WBbt:0005353; DA6 WBbt:0004861; VC6 WBbt:0004611; DA1 WBbt:0004871; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; GLR WBbt:0005176; DA8 WBbt:0004858; URY WBbt:0005346; AVA WBbt:0005842; DB2 WBbt:0004845; DA5 WBbt:0004863; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; PVD WBbt:0006831; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; OLL WBbt:0006847; DB7 WBbt:0004840; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; VC1 WBbt:0004621; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; DB3 WBbt:0004844; RID WBbt:0003938; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1471	[1471] cluster exp-2	WBGene00021116	ncs-6	163.53	0.284	True	RIS WBbt:0005045	MC neuron WBbt:0003638; AIM WBbt:0006814; XXX cell WBbt:0007855; VC6 WBbt:0004611; VC5 WBbt:0004613; GLR WBbt:0005176; excretory system WBbt:0005736; AVF WBbt:0003851; DD1 WBbt:0004839; AVJ WBbt:0006822; RIB WBbt:0005834; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ASI WBbt:0005666; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; excretory cell WBbt:0005812; epithelial system WBbt:0005730; AVK WBbt:0006823; VC1 WBbt:0004621; AWCR WBbt:0003826; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; AWB WBbt:0005671; PVT WBbt:0004070; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
