node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1472	[1472] cluster hil-7	WBGene00001858	hil-7	27496.37	0.719	False	DD3 WBbt:0004837	ABalppppapa WBbt:0006705; hyp6 WBbt:0004679; SMD WBbt:0005353; ABalappapa WBbt:0006412; MC neuron WBbt:0003638; RME WBbt:0005399; AIM WBbt:0006814; XXX cell WBbt:0007855; SIB WBbt:0005359; DA6 WBbt:0004861; ABalaappppa WBbt:0006560; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; pm8 WBbt:0004302; GLR WBbt:0005176; SIA WBbt:0005361; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; DA8 WBbt:0004858; URA WBbt:0005225; CEPsoVR WBbt:0004917; IL1VR WBbt:0004547; ABprapaaapa WBbt:0006633; postdeirid sensillum WBbt:0005471; IL1R WBbt:0004551; I6 neuron WBbt:0004739; ABalppapppa WBbt:0006463; M3 neuron WBbt:0003754; RIA WBbt:0006833; DA5 WBbt:0004863; IL1DR WBbt:0004737; ABprpaaappa WBbt:0006695; CEP WBbt:0005244; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; DA4 WBbt:0004865; ABalapaaaa WBbt:0006002; IL2VL WBbt:0004538; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; ut4 WBbt:0006788; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; pm1 WBbt:0003744; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; g1AL WBbt:0004532; DA9 WBbt:0004857; RIV WBbt:0006839; ABaraapppaa WBbt:0006566; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; phasmid socket cell WBbt:0008410; ABprapppapp WBbt:0006743; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; anterior arcade cell WBbt:0005794; M2 neuron WBbt:0003634; amphid socket cell WBbt:0008379; vulC WBbt:0006765; g1P WBbt:0004528; g1AR WBbt:0004530; DA3 WBbt:0004867; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; hyp12 WBbt:0004376; ABplpaaapa WBbt:0006093; g2 WBbt:0003710; ABprppaaaap WBbt:0006283; ILshVL WBbt:0004525; RMDL WBbt:0005037; AIZ WBbt:0005836; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; ABalaapppa WBbt:0006026; tail hypodermis WBbt:0006978; DA2 WBbt:0004869; ABprpaaapa WBbt:0006149; vulA WBbt:0006762; I1 neuron WBbt:0003649; midbody WBbt:0005740; SMB WBbt:0005355; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; RMDVR WBbt:0005029; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; ABarpapaaa WBbt:0006207; OL sheath cell WBbt:0008413; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; IL1VL WBbt:0004549; excretory duct cell WBbt:0004540; ABplapppapp WBbt:0005970; coelomic system WBbt:0005749; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; IL2VR WBbt:0004537; MSpppaaa WBbt:0005951; ALN WBbt:0006851; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; hyp3 WBbt:0004690; germ line WBbt:0005784; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; intestinal muscle WBbt:0005796; DA7 WBbt:0004859; IL1DL WBbt:0004738; phasmid sheath cell WBbt:0006755; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; IL2DR WBbt:0004543; ABprapapppp WBbt:0006021; CEPsoDL WBbt:0004921; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; ABpraaapapa WBbt:0006404; ABaraapapaa WBbt:0006455; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; head mesodermal cell WBbt:0004697; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
1472	[1472] cluster hil-7	WBGene00000396	cdh-4	323.21	0.687	True	DD3 WBbt:0004837	PHC WBbt:0008446; gonad arm WBbt:0008629; RME WBbt:0005399; AIM WBbt:0006814; DA6 WBbt:0004861; hermaphrodite distal tip cell WBbt:0006863; DA1 WBbt:0004871; vm1 WBbt:0006917; AVE WBbt:0006819; PVM WBbt:0004086; pm8 WBbt:0004302; excretory system WBbt:0005736; DA8 WBbt:0004858; DD1 WBbt:0004839; AVJ WBbt:0006822; DA5 WBbt:0004863; AIA WBbt:0006812; DA4 WBbt:0004865; Q cell WBbt:0008598; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; pm7 WBbt:0003721; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; ABprapppaa WBbt:0006234; excretory cell WBbt:0005812; DA3 WBbt:0004867; ABplaaaaapp WBbt:0006428; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplapppaa WBbt:0005935; DA2 WBbt:0004869; midbody WBbt:0005740; SMB WBbt:0005355; oocyte WBbt:0006797; nervous system WBbt:0005735; DD5 WBbt:0004825; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIS WBbt:0005045; excretory secretory system WBbt:0006850; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; ABalaaaala WBbt:0005966; intestinal muscle WBbt:0005796; DA7 WBbt:0004859; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; uterine muscle WBbt:0005342; ABarpapaapp WBbt:0006075; DD4 WBbt:0004826; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
1472	[1472] cluster hil-7	WBGene00003150	mbk-2	523.41	0.673	False	DD3 WBbt:0004837	DA6 WBbt:0004861; URB WBbt:0006845; DA1 WBbt:0004871; AS11 WBbt:0003905; ABplpapppa WBbt:0006225; DA8 WBbt:0004858; DA5 WBbt:0004863; ABprpaaappa WBbt:0006695; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; DA9 WBbt:0004857; PDB WBbt:0004385; VA12 WBbt:0004645; PVD WBbt:0006831; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; OLL WBbt:0006847; AVK WBbt:0006823; DA2 WBbt:0004869; I1 neuron WBbt:0003649; oocyte WBbt:0006797; nervous system WBbt:0005735; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; RIS WBbt:0005045; anal sphincter muscle WBbt:0005798; RIG WBbt:0006836; germ line WBbt:0005784; DA7 WBbt:0004859; ABalapppapa WBbt:0006339; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1472	[1472] cluster hil-7	WBGene00000478	cfz-2	138.81	0.651	False	DD3 WBbt:0004837	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; ABpraapaaa WBbt:0005888; URB WBbt:0006845; AVE WBbt:0006819; GLR WBbt:0005176; SIA WBbt:0005361; ABalaaaarr WBbt:0006500; AVA WBbt:0005842; URA WBbt:0005225; IL1VR WBbt:0004547; RMH WBbt:0006843; ABalppappa WBbt:0005975; IL1R WBbt:0004551; ABalaaaarl WBbt:0005945; M3 neuron WBbt:0003754; RIA WBbt:0006833; ABplaapaaa WBbt:0006069; IL1DR WBbt:0004737; RIB WBbt:0005834; AVL WBbt:0003843; ABarapappa WBbt:0006309; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; DVB WBbt:0004822; ABarappppa WBbt:0006687; RIV WBbt:0006839; PVD WBbt:0006831; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; OLL WBbt:0006847; I4 neuron WBbt:0004741; RMDL WBbt:0005037; ABplpaaaaa WBbt:0005893; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; ABprpaaaaa WBbt:0006027; SAA WBbt:0005397; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; ABpraaapaa WBbt:0006114; ABalaaaala WBbt:0005966; NSM WBbt:0003666; IL1DL WBbt:0004738; IL1L WBbt:0004553; AIY WBbt:0005413; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; ABalaapaaa WBbt:0006732; RMDDL WBbt:0005039
1472	[1472] cluster hil-7	WBGene00017699	flcn-1	340.26	0.643	False	DD3 WBbt:0004837	ABalpppappp WBbt:0006623; ABalappapa WBbt:0006412; ILshDR WBbt:0004531; URB WBbt:0006845; DA1 WBbt:0004871; AS11 WBbt:0003905; pm8 WBbt:0004302; excretory system WBbt:0005736; ABalaaaarr WBbt:0006500; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; ABalaaaarl WBbt:0005945; ABpraaaappp WBbt:0006247; RIB WBbt:0005834; VA1 WBbt:0004872; ABalapaaaa WBbt:0006002; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; LUA WBbt:0008031; ILshDL WBbt:0004533; RIV WBbt:0006839; AS2 WBbt:0003924; PVD WBbt:0006831; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; AS3 WBbt:0003923; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; ILshVL WBbt:0004525; AIZ WBbt:0005836; CEPsoVL WBbt:0004918; ABalaapppa WBbt:0006026; midbody WBbt:0005740; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; ABplppppaa WBbt:0006109; germ line WBbt:0005784; ABalaaaala WBbt:0005966; I3 neuron WBbt:0004742; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ILshR WBbt:0004527; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
1472	[1472] cluster hil-7	WBGene00002261	ldb-1	358.74	0.642	False	DD3 WBbt:0004837	HSN WBbt:0006830; SIA WBbt:0005361; VB2 WBbt:0004641; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; DA9 WBbt:0004857; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; ray WBbt:0006941; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PVP WBbt:0006832; AWB WBbt:0005671; AIY WBbt:0005413; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1472	[1472] cluster hil-7	WBGene00000149	apl-1	1306.21	0.64	False	DD3 WBbt:0004837	gonad arm WBbt:0008629; SIB WBbt:0005359; VC5 WBbt:0004613; PVM WBbt:0004086; SIA WBbt:0005361; excretory system WBbt:0005736; ASJ WBbt:0005667; DA5 WBbt:0004863; VA8 WBbt:0004653; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; spermatheca WBbt:0005319; intestine WBbt:0005772; g1AL WBbt:0004532; VA12 WBbt:0004645; AS2 WBbt:0003924; PVD WBbt:0006831; somatic nervous system WBbt:0005760; PLM WBbt:0005490; g1P WBbt:0004528; excretory cell WBbt:0005812; AS3 WBbt:0003923; g1AR WBbt:0004530; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; VA5 WBbt:0004864; AIZ WBbt:0005836; pm2 WBbt:0003742; tail hypodermis WBbt:0006978; DA2 WBbt:0004869; midbody WBbt:0005740; VA3 WBbt:0004868; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VA6 WBbt:0004862; mc3 WBbt:0003707; rectal valve cell WBbt:0005797; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; VC4 WBbt:0004617; RIS WBbt:0005045; VA4 WBbt:0004866; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ASG WBbt:0005664; VA7 WBbt:0004860; PVW WBbt:0008438; RIH WBbt:0003928; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; male WBbt:0007850; RIR WBbt:0005047; ASE WBbt:0005663; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
1472	[1472] cluster hil-7	WBGene00008760	F13E9.11	1180.31	0.636	False	DD3 WBbt:0004837	PVC WBbt:0005840; ABalappapa WBbt:0006412; AS7 WBbt:0003909; RME WBbt:0005399; AIM WBbt:0006814; XXX cell WBbt:0007855; SIB WBbt:0005359; DA6 WBbt:0004861; VC6 WBbt:0004611; ILshDR WBbt:0004531; VB5 WBbt:0004637; IL socket cell WBbt:0008418; IL2L WBbt:0004541; URB WBbt:0006845; ABplapaaaap WBbt:0006592; VB7 WBbt:0004631; DA1 WBbt:0004871; VC5 WBbt:0004613; ADE WBbt:0005415; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; VD8 WBbt:0004597; DA8 WBbt:0004858; ABalapppaa WBbt:0006703; AVA WBbt:0005842; URA WBbt:0005225; AUA WBbt:0006817; AVJ WBbt:0006822; MSpaapaa WBbt:0006032; AS4 WBbt:0003912; VA10 WBbt:0004649; VD10 WBbt:0004591; DA5 WBbt:0004863; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; ABalapaaaa WBbt:0006002; IL2VL WBbt:0004538; VC3 WBbt:0004618; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; ADE sheath cell WBbt:0008411; ADF WBbt:0005660; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DVB WBbt:0004822; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; AS9 WBbt:0003907; PDE socket cell WBbt:0008421; g1AL WBbt:0004532; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; AS2 WBbt:0003924; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; AS8 WBbt:0003908; CAN WBbt:0006827; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; phasmid socket cell WBbt:0008410; PLM WBbt:0005490; amphid socket cell WBbt:0008379; g1P WBbt:0004528; PVS WBbt:0007837; AS3 WBbt:0003923; g1AR WBbt:0004530; DA3 WBbt:0004867; ABplaaaaapp WBbt:0006428; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; ILshVL WBbt:0004525; AS5 WBbt:0003911; DB7 WBbt:0004840; IL2DL WBbt:0004545; DA2 WBbt:0004869; AWA WBbt:0005670; SMB WBbt:0005355; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; AS1 WBbt:0003925; VD11 WBbt:0004589; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; VA9 WBbt:0004651; VC1 WBbt:0004621; VB8 WBbt:0004629; OL sheath cell WBbt:0008413; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; VC2 WBbt:0004619; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; VB6 WBbt:0004633; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; PDA WBbt:0004386; ASG WBbt:0005664; ABplppaaaap WBbt:0006414; PVP WBbt:0006832; AWB WBbt:0005671; RIH WBbt:0003928; DA7 WBbt:0004859; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955; DB5 WBbt:0004842; AS6 WBbt:0003910; VD9 WBbt:0004593; IL2DR WBbt:0004543; male WBbt:0007850; ABarpapaapp WBbt:0006075; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; AS10 WBbt:0003906; DVC WBbt:0004821; ILshR WBbt:0004527; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1472	[1472] cluster hil-7	WBGene00018742	F53B3.3	366.36	0.634	False	DD3 WBbt:0004837	pm5 WBbt:0003737; ILshDR WBbt:0004531; pm8 WBbt:0004302; MSaapapa WBbt:0006323; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; ILshVR WBbt:0004523; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; g1AL WBbt:0004532; ILshL WBbt:0004529; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; ILshVL WBbt:0004525; pm2 WBbt:0003742; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
1472	[1472] cluster hil-7	WBGene00017184	ncam-1	888.49	0.624	True	DD3 WBbt:0004837	ABalppppapa WBbt:0006705; PVC WBbt:0005840; MC neuron WBbt:0003638; pm5 WBbt:0003737; VC6 WBbt:0004611; ABpraaapppp WBbt:0005931; VB5 WBbt:0004637; ABpraapaaa WBbt:0005888; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; VB7 WBbt:0004631; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; pm8 WBbt:0004302; ABprpaappa WBbt:0005940; GLR WBbt:0005176; SIA WBbt:0005361; excretory system WBbt:0005736; MSaapapa WBbt:0006323; mc1 WBbt:0003709; ABalppappp WBbt:0006694; URX WBbt:0006846; DD1 WBbt:0004839; AVJ WBbt:0006822; ABprpaapap WBbt:0006105; ASJ WBbt:0005667; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; mc2 WBbt:0003708; VA10 WBbt:0004649; ABplaapaaa WBbt:0006069; DA5 WBbt:0004863; VB2 WBbt:0004641; CEP WBbt:0005244; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; ABprpapppa WBbt:0005972; IL2VL WBbt:0004538; VC3 WBbt:0004618; corpus WBbt:0003733; DD6 WBbt:0004824; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; pm7 WBbt:0003721; G cell WBbt:0008599; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; ABalaapppp WBbt:0006461; Y cell WBbt:0004578; PHB WBbt:0007808; DA9 WBbt:0004857; DB6 WBbt:0004841; PHA WBbt:0007807; VA12 WBbt:0004645; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; M2 neuron WBbt:0003634; pm4 WBbt:0003739; MSpapapa WBbt:0006308; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; ABarappppp WBbt:0006094; VA5 WBbt:0004864; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; g2 WBbt:0003710; ABalppppppp WBbt:0006599; DB7 WBbt:0004840; IL2DL WBbt:0004545; AQR WBbt:0003927; pm2 WBbt:0003742; VA11 WBbt:0004647; DA2 WBbt:0004869; I1 neuron WBbt:0003649; VA3 WBbt:0004868; nervous system WBbt:0005735; DD5 WBbt:0004825; AS1 WBbt:0003925; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABplpaapap WBbt:0006556; VB3 WBbt:0004639; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; ABprpppapa WBbt:0006044; VB4 WBbt:0004638; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; excretory duct cell WBbt:0004540; VC2 WBbt:0004619; PVR WBbt:0004072; AIN WBbt:0006815; VB6 WBbt:0004633; pharyngeal epithelial cell WBbt:0005459; ABprppaapa WBbt:0006079; DB3 WBbt:0004844; VA4 WBbt:0004866; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; excretory socket cell WBbt:0004534; ABplpaaaap WBbt:0006528; IL2VR WBbt:0004537; pharyngeal-intestinal valve WBbt:0005767; ABalpppppp WBbt:0006396; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; ABalppppppa WBbt:0006166; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; pm6 WBbt:0003724; VB1 WBbt:0004643; RIH WBbt:0003928; NSM WBbt:0003666; W cell WBbt:0004583; DB5 WBbt:0004842; I3 neuron WBbt:0004742; IL2DR WBbt:0004543; I2 neuron WBbt:0003645; pm3 WBbt:0003740; DD4 WBbt:0004826; ABpraaapapa WBbt:0006404; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; ABpraaappp WBbt:0006194
