node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
15	[15] cluster atp-4	WBGene00020275	atp-4	415.56	0.392	True	germ line WBbt:0005784	Q cell WBbt:0008598; corpus WBbt:0003733; intestine WBbt:0005772; PVD WBbt:0006831; PLM WBbt:0005490; OLL WBbt:0006847; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666
15	[15] cluster atp-4	WBGene00000833	cts-1	406.37	0.391	False	germ line WBbt:0005784	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; midbody WBbt:0005740; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
15	[15] cluster atp-4	WBGene00003831	nuo-1	208.91	0.386	True	germ line WBbt:0005784	germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00016118	ndub-5	205.8	0.38	True	germ line WBbt:0005784	intestine WBbt:0005772; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00007192	nduf-11	144.88	0.377	True	germ line WBbt:0005784	PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00018361	ndub-11	191.39	0.376	True	germ line WBbt:0005784	germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00008414	ndub-7	157.14	0.369	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; germ line WBbt:0005784; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00021800	nduf-9	130.27	0.357	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00007000	tufm-1	195.24	0.356	True	germ line WBbt:0005784	intestine WBbt:0005772; germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00012700	Y39B6A.42	90.73	0.354	True	germ line WBbt:0005784	Psub1 WBbt:0006874; Z1.p WBbt:0007023; lateral ganglion right WBbt:0005101; male distal tip cell WBbt:0006864; ABalappaap WBbt:0006727; ABaraapppaa WBbt:0006566; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; g2 WBbt:0003710; AIZ WBbt:0005836; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ABaraapapaa WBbt:0006455; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00001030	dnj-12	125.48	0.331	True	germ line WBbt:0005784	spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ABarppaapp WBbt:0006393; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; PLM WBbt:0005490; excretory cell WBbt:0005812; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744
15	[15] cluster atp-4	WBGene00009266	F30A10.9	79.2	0.317	True	germ line WBbt:0005784	Q cell WBbt:0008598; intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; OLL WBbt:0006847; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00002363	let-92	106.96	0.312	True	germ line WBbt:0005784	Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; midbody WBbt:0005740; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00009740	ndua-7	179.8	0.311	True	germ line WBbt:0005784	GLR WBbt:0005176; corpus WBbt:0003733; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
15	[15] cluster atp-4	WBGene00011857	coa-4	62.99	0.308	True	germ line WBbt:0005784	lateral ganglion right WBbt:0005101; gonadal primordium WBbt:0008366; M5 neuron WBbt:0004465; pharynx WBbt:0003681; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00001233	eif-3.K	115.34	0.307	True	germ line WBbt:0005784	Q cell WBbt:0008598; corpus WBbt:0003733; intestine WBbt:0005772; PLM WBbt:0005490; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; NSM WBbt:0003666; male WBbt:0007850; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00015133	mrpl-11	65.12	0.304	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00009246	gfm-1	93.24	0.299	True	germ line WBbt:0005784	dorsal uterine cell WBbt:0006782; vulD WBbt:0006766; hermaphrodite WBbt:0007849; intestine WBbt:0005772; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; vulA WBbt:0006762; midbody WBbt:0005740; oocyte WBbt:0006797; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; sex organ WBbt:0008422; germ line WBbt:0005784; germline precursor cell WBbt:0006849; vulE WBbt:0006767; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00010094	tsfm-1	63.55	0.285	True	germ line WBbt:0005784	germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737
15	[15] cluster atp-4	WBGene00018431	F44E7.9	62.89	0.279	True	germ line WBbt:0005784	intestine WBbt:0005772; epithelial system WBbt:0005730; germ line WBbt:0005784; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00001230	eif-3.G	62.11	0.275	True	germ line WBbt:0005784	somatic cell WBbt:0008378; Q cell WBbt:0008598; gonadal primordium WBbt:0008366; PLM WBbt:0005490; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
15	[15] cluster atp-4	WBGene00007587	mma-1	53.07	0.269	True	germ line WBbt:0005784	epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; reproductive system WBbt:0005747
