node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1700	[1700] cluster C17H12.8	WBGene00008059	C41G6.13	2140.59	0.713	False	intestine WBbt:0005772	epithelial system WBbt:0005730
1700	[1700] cluster C17H12.8	WBGene00014138	clec-186	806.05	0.671	True	intestine WBbt:0005772	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; ASE WBbt:0005663
1700	[1700] cluster C17H12.8	WBGene00010746	K10D11.2	1028.8	0.652	True	intestine WBbt:0005772	intestine WBbt:0005772
1700	[1700] cluster C17H12.8	WBGene00015932	C17H12.6	138.97	0.603	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; OLL WBbt:0006847
1700	[1700] cluster C17H12.8	WBGene00015933	C17H12.8	11184.64	0.57	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1700	[1700] cluster C17H12.8	WBGene00007833	oac-6	138.97	0.414	True	intestine WBbt:0005772	GLR WBbt:0005176; intestine WBbt:0005772; muscular system WBbt:0005737
1700	[1700] cluster C17H12.8	WBGene00020760	T24C4.4	2682.39	0.4	True	intestine WBbt:0005772	intestine WBbt:0005772; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; VA11 WBbt:0004647; ABplapaaap WBbt:0006317; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal-intestinal valve WBbt:0005767; PVP WBbt:0006832; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1700	[1700] cluster C17H12.8	WBGene00008209	C49F5.5	83.38	0.394	False	intestine WBbt:0005772	hermaphrodite WBbt:0007849; ABplaapappp WBbt:0006387; coelomic system WBbt:0005749; ABpraapappp WBbt:0005862
1700	[1700] cluster C17H12.8	WBGene00010124	F55G11.4	667.07	0.355	True	intestine WBbt:0005772	intestine WBbt:0005772
1700	[1700] cluster C17H12.8	WBGene00011733	T12D8.5	139.37	0.216	True	intestine WBbt:0005772	AVF WBbt:0003851; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIS WBbt:0005045; MSaaaaapa WBbt:0006202; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; DVC WBbt:0004821
