node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1745	[1745] cluster F38B2.2	WBGene00021241	Y22D7AL.1	65.1	0.498	True	ASI WBbt:0005666	ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
1745	[1745] cluster F38B2.2	WBGene00012413	Y7A5A.7	65.1	0.463	True	ASI WBbt:0005666	ADF WBbt:0005660; ASI WBbt:0005666; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737
1745	[1745] cluster F38B2.2	WBGene00009810	srm-6	358.03	0.46	True	ASI WBbt:0005666	DA6 WBbt:0004861; DA1 WBbt:0004871; DA8 WBbt:0004858; DD1 WBbt:0004839; ASJ WBbt:0005667; DA5 WBbt:0004863; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; intestine WBbt:0005772; DA9 WBbt:0004857; ASI WBbt:0005666; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; DA2 WBbt:0004869; retrovesicular ganglion WBbt:0005656; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DA7 WBbt:0004859; ALA WBbt:0003955; preanal ganglion WBbt:0005448
1745	[1745] cluster F38B2.2	WBGene00009529	F38B2.2	1204.27	0.451	True	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; gonadal primordium WBbt:0008366; AWA WBbt:0005670; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ASE WBbt:0005663; ASK WBbt:0005668
1745	[1745] cluster F38B2.2	WBGene00016738	C47D2.1	781.15	0.407	True	ASI WBbt:0005666	PHC WBbt:0008446; VC5 WBbt:0004613; PVM WBbt:0004086; I5 neuron WBbt:0004740; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M2 neuron WBbt:0003634; OLL WBbt:0006847; AVM WBbt:0003832; I1 neuron WBbt:0003649; pharynx WBbt:0003681; ALM WBbt:0005406; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; posterior lateral ganglion WBbt:0005465; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive system WBbt:0005747; ASK WBbt:0005668; head mesodermal cell WBbt:0004697
1745	[1745] cluster F38B2.2	WBGene00007522	C11E4.8	211.56	0.401	True	ASI WBbt:0005666	AVE WBbt:0006819; HSN WBbt:0006830; Q cell WBbt:0008598; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; intestine WBbt:0005772; RIC WBbt:0006834; BDU WBbt:0006826; DVA WBbt:0004823; ASI WBbt:0005666; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AVK WBbt:0006823; M1 neuron WBbt:0004488; I1 neuron WBbt:0003649; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PVP WBbt:0006832; PVW WBbt:0008438; AWB WBbt:0005671; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1745	[1745] cluster F38B2.2	WBGene00005968	srx-77	32.55	0.397	False	ASI WBbt:0005666	nervous system WBbt:0005735
1745	[1745] cluster F38B2.2	WBGene00206366	C03H5.9	32.55	0.379	True	ASI WBbt:0005666	ASI WBbt:0005666; lateral ganglion left WBbt:0005103
1745	[1745] cluster F38B2.2	WBGene00010862	M04D8.4	16.27	0.361	True	ASI WBbt:0005666	ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737
1745	[1745] cluster F38B2.2	WBGene00015672	C10E2.1	113.92	0.345	True	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; AWA WBbt:0005670; lateral ganglion left WBbt:0005103
