node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1746	[1746] cluster C32D5.8	WBGene00007024	plin-1	4507.24	0.678	False	anal depressor muscle WBbt:0004292	ABplapaaaap WBbt:0006592; AVL WBbt:0003843; intestine WBbt:0005772; ABarppaapp WBbt:0006393; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; ABplaaaaapp WBbt:0006428; epithelial system WBbt:0005730; head muscle WBbt:0006761; ABprppaaaap WBbt:0006283; nervous system WBbt:0005735; anal sphincter muscle WBbt:0005798; ABplppaaaap WBbt:0006414; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ABarpapaapp WBbt:0006075; muscular system WBbt:0005737; reproductive system WBbt:0005747
1746	[1746] cluster C32D5.8	WBGene00012165	cutl-6	1488.44	0.671	False	anal depressor muscle WBbt:0004292	IL socket cell WBbt:0008418; ABplapaaaap WBbt:0006592; ADE WBbt:0005415; ABprapaaapa WBbt:0006633; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ABprapaaaa WBbt:0006648; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; ABprapaaaap WBbt:0006184; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; ABplapaaaa WBbt:0006221; hyp3 WBbt:0004690; ABplapaaapa WBbt:0006061
1746	[1746] cluster C32D5.8	WBGene00001188	egl-20	970.86	0.665	True	anal depressor muscle WBbt:0004292	vm1 WBbt:0006917; K' cell WBbt:0004497; P12 WBbt:0004409; P11 WBbt:0004410; hyp2 WBbt:0004692; body wall WBbt:0005742; hermaphrodite WBbt:0007849; P6.pp WBbt:0006988; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; Y cell WBbt:0004578; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; vulC WBbt:0006765; rectal gland cell WBbt:0005799; P6.pa WBbt:0006987; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; uv3 WBbt:0006793; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803; DVC WBbt:0004821
1746	[1746] cluster C32D5.8	WBGene00003563	ncs-1	878.84	0.632	True	anal depressor muscle WBbt:0004292	XXX cell WBbt:0007855; AVE WBbt:0006819; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; RMG WBbt:0006842; PLM WBbt:0005490; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; AVK WBbt:0006823; M1 neuron WBbt:0004488; AWA WBbt:0005670; nervous system WBbt:0005735; AWCR WBbt:0003826; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ALN WBbt:0006851; anal depressor muscle WBbt:0004292; ASG WBbt:0005664; AWB WBbt:0005671; NSM WBbt:0003666; AIY WBbt:0005413; PVT WBbt:0004070; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1746	[1746] cluster C32D5.8	WBGene00016316	C32D5.8	5386.09	0.587	False	anal depressor muscle WBbt:0004292	IL2L WBbt:0004541; ABplapaaaap WBbt:0006592; ADE WBbt:0005415; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABprapaaaap WBbt:0006184; PLM WBbt:0005490; IL2DL WBbt:0004545; nervous system WBbt:0005735; somatic gonad WBbt:0005785; PDE WBbt:0006747; thermosensory neuron WBbt:0005838; IL2VR WBbt:0004537; germ line WBbt:0005784; IL2DR WBbt:0004543; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1746	[1746] cluster C32D5.8	WBGene00017599	F19F10.3	2243.16	0.572	True	anal depressor muscle WBbt:0004292	vm1 WBbt:0006917; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; rectal muscle WBbt:0005803
1746	[1746] cluster C32D5.8	WBGene00021163	nhr-275	168.53	0.57	True	anal depressor muscle WBbt:0004292	anal region WBbt:0006919; SIB WBbt:0005359; I5 neuron WBbt:0004740; SIA WBbt:0005361; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; corpus WBbt:0003733; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; AWA WBbt:0005670; I1 neuron WBbt:0003649; M5 neuron WBbt:0004465; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; anal depressor muscle WBbt:0004292; I3 neuron WBbt:0004742; muscular system WBbt:0005737; cephalic sheath cell WBbt:0008406
1746	[1746] cluster C32D5.8	WBGene00022633	ZC581.3	679.45	0.569	True	anal depressor muscle WBbt:0004292	AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; OLQ WBbt:0006848; DA1 WBbt:0004871; vm1 WBbt:0006917; GLR WBbt:0005176; DA8 WBbt:0004858; URX WBbt:0006846; DB2 WBbt:0004845; DA5 WBbt:0004863; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; RIC WBbt:0006834; DA9 WBbt:0004857; DB6 WBbt:0004841; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; DA3 WBbt:0004867; OLL WBbt:0006847; AIB WBbt:0006813; DB7 WBbt:0004840; DA2 WBbt:0004869; nervous system WBbt:0005735; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; vm2 WBbt:0006918; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; DA7 WBbt:0004859; DB5 WBbt:0004842; AIY WBbt:0005413; male WBbt:0007850; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1746	[1746] cluster C32D5.8	WBGene00044477	F49F1.14	251.11	0.558	True	anal depressor muscle WBbt:0004292	PVN WBbt:0008275; vm1 WBbt:0006917; VC5 WBbt:0004613; GLR WBbt:0005176; VB2 WBbt:0004641; hermaphrodite WBbt:0007849; intestine WBbt:0005772; DA9 WBbt:0004857; PDB WBbt:0004385; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; AS1 WBbt:0003925; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; VC4 WBbt:0004617; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803; preanal ganglion WBbt:0005448
1746	[1746] cluster C32D5.8	WBGene00016039	C24A8.5	306.85	0.54	True	anal depressor muscle WBbt:0004292	lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; nervous system WBbt:0005735; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; AIY WBbt:0005413; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
