node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1747	[1747] cluster ctsa-1.1	WBGene00020869	T28A11.2	819.78	0.805	True	striated muscle WBbt:0005779	hermaphrodite WBbt:0007849; PLM WBbt:0005490; head muscle WBbt:0006761; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; anal sphincter muscle WBbt:0005798; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1747	[1747] cluster ctsa-1.1	WBGene00000822	csq-1	2108.41	0.802	True	striated muscle WBbt:0005779	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; OLL WBbt:0006847; head muscle WBbt:0006761; pharynx WBbt:0003681; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; pm6 WBbt:0003724; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1747	[1747] cluster ctsa-1.1	WBGene00020617	T20D4.11	353.78	0.795	True	striated muscle WBbt:0005779	AVG WBbt:0003850; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; head muscle WBbt:0006761; retrovesicular ganglion WBbt:0005656; striated muscle WBbt:0005779; PVT WBbt:0004070; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
1747	[1747] cluster ctsa-1.1	WBGene00017362	F10G2.1	583.2	0.784	True	striated muscle WBbt:0005779	GLR WBbt:0005176; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; head muscle WBbt:0006761; nervous system WBbt:0005735; coelomic system WBbt:0005749; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
1747	[1747] cluster ctsa-1.1	WBGene00001113	dur-1	695.88	0.774	True	striated muscle WBbt:0005779	anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; BAG WBbt:0006825; PVD WBbt:0006831; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; germ line WBbt:0005784; striated muscle WBbt:0005779; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
1747	[1747] cluster ctsa-1.1	WBGene00018056	F35F10.6	369.96	0.767	True	striated muscle WBbt:0005779	PVD WBbt:0006831; OLL WBbt:0006847; striated muscle WBbt:0005779; muscular system WBbt:0005737
1747	[1747] cluster ctsa-1.1	WBGene00018271	ctsa-1.1	3503.54	0.756	True	striated muscle WBbt:0005779	gonad arm WBbt:0008629; DA6 WBbt:0004861; ABplpppaaa WBbt:0006025; DA1 WBbt:0004871; vm1 WBbt:0006917; DA8 WBbt:0004858; ABprapaaapa WBbt:0006633; DA5 WBbt:0004863; DA4 WBbt:0004865; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; Y cell WBbt:0004578; DA9 WBbt:0004857; BDU WBbt:0006826; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; PLM WBbt:0005490; ABprpppaaa WBbt:0006063; DA3 WBbt:0004867; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; DA2 WBbt:0004869; muscle of the reproductive system WBbt:0005786; FLP WBbt:0006828; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; ALN WBbt:0006851; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; ABplapappp WBbt:0006630; DA7 WBbt:0004859; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; uterine muscle WBbt:0005342; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1747	[1747] cluster ctsa-1.1	WBGene00001794	gta-1	957.85	0.742	True	striated muscle WBbt:0005779	DA6 WBbt:0004861; VB5 WBbt:0004637; VB7 WBbt:0004631; DA8 WBbt:0004858; body wall WBbt:0005742; VB9 WBbt:0004627; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PDB WBbt:0004385; somatic nervous system WBbt:0005760; VB8 WBbt:0004629; VB4 WBbt:0004638; VB6 WBbt:0004633; striated muscle WBbt:0005779; DA7 WBbt:0004859; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1747	[1747] cluster ctsa-1.1	WBGene00008603	F09B9.4	570.8	0.735	True	striated muscle WBbt:0005779	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; striated muscle WBbt:0005779; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1747	[1747] cluster ctsa-1.1	WBGene00006863	gyg-1	675.71	0.723	True	striated muscle WBbt:0005779	VC6 WBbt:0004611; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; VC1 WBbt:0004621; pharynx WBbt:0003681; VC2 WBbt:0004619; sex organ WBbt:0008422; striated muscle WBbt:0005779; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
