node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1749	[1749] cluster tnt-3	WBGene00014089	ZK822.1	2484.01	0.882	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; OLL WBbt:0006847; striated muscle WBbt:0005779; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00005642	srp-1	641.8	0.801	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; epithelial system WBbt:0005730; head muscle WBbt:0006761; striated muscle WBbt:0005779; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00011906	hsp-12.1	1735.91	0.777	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; lateral ganglion right WBbt:0005101; ventral left quadrant body wall muscle WBbt:0005818; striated muscle WBbt:0005779; ASE WBbt:0005663; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00022123	Y71F9AR.2	1243.63	0.765	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; pharynx WBbt:0003681; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
1749	[1749] cluster tnt-3	WBGene00009029	F21H7.3	2868.7	0.762	True	ventral left quadrant body wall muscle WBbt:0005818	excretory system WBbt:0005736; body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; excretory cell WBbt:0005812; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; striated muscle WBbt:0005779; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00011692	T10G3.1	948.33	0.76	True	ventral left quadrant body wall muscle WBbt:0005818	PHC WBbt:0008446; PVM WBbt:0004086; body wall WBbt:0005742; AVG WBbt:0003850; anterior ganglion WBbt:0005375; ventral left quadrant body wall muscle WBbt:0005818; AVH WBbt:0006821; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; PVS WBbt:0007837; OLL WBbt:0006847; head muscle WBbt:0006761; AVM WBbt:0003832; RIP WBbt:0006838; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; striated muscle WBbt:0005779; PVW WBbt:0008438; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1749	[1749] cluster tnt-3	WBGene00006683	twk-31	915.12	0.757	True	ventral left quadrant body wall muscle WBbt:0005818	GLR WBbt:0005176; body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; striated muscle WBbt:0005779; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00019227	sgca-1	1731.89	0.757	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; GLR WBbt:0005176; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; OLL WBbt:0006847; head muscle WBbt:0006761; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1749	[1749] cluster tnt-3	WBGene00006588	tnt-3	12155.94	0.744	True	ventral left quadrant body wall muscle WBbt:0005818	GLR WBbt:0005176; body wall WBbt:0005742; corpus WBbt:0003733; pm7 WBbt:0003721; ventral left quadrant body wall muscle WBbt:0005818; pm4 WBbt:0003739; epithelial system WBbt:0005730; head muscle WBbt:0006761; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; striated muscle WBbt:0005779; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
1749	[1749] cluster tnt-3	WBGene00003249	mig-18	2724.78	0.742	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; PLM WBbt:0005490; nervous system WBbt:0005735; pharynx WBbt:0003681; ALM WBbt:0005406; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
