node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1750	[1750] cluster perm-4	WBGene00021368	best-20	1061.27	0.92	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; ABpraapapa WBbt:0005872; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; ABplpappaa WBbt:0006551; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ABplaapapa WBbt:0006120; germ line WBbt:0005784; pm6 WBbt:0003724; muscular system WBbt:0005737; reproductive tract WBbt:0005744
1750	[1750] cluster perm-4	WBGene00016638	perm-4	49934.08	0.911	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; vm1 WBbt:0006917; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; somatic gonad WBbt:0005785; F cell WBbt:0004799; pharynx WBbt:0003681; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; cephalic sheath cell WBbt:0008406
1750	[1750] cluster perm-4	WBGene00016534	C39D10.7	4317.66	0.908	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; cephalic sheath cell WBbt:0008406
1750	[1750] cluster perm-4	WBGene00018605	F48E3.4	4336.64	0.865	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABprapppapp WBbt:0006743; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ABplapppapp WBbt:0005970; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
1750	[1750] cluster perm-4	WBGene00012231	W04A4.2	2661.25	0.865	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; DVA WBbt:0004823; somatic nervous system WBbt:0005760; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; F cell WBbt:0004799; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; germ line WBbt:0005784; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
1750	[1750] cluster perm-4	WBGene00007649	C17G1.2	1650.01	0.858	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1750	[1750] cluster perm-4	WBGene00001164	efn-3	292.43	0.815	True	muscle of the reproductive system WBbt:0005786	hermaphrodite WBbt:0007849; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1750	[1750] cluster perm-4	WBGene00022858	ZK1193.2	538.07	0.801	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; ABplpppaaa WBbt:0006025; I5 neuron WBbt:0004740; GLR WBbt:0005176; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; ABprpppaaa WBbt:0006063; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1750	[1750] cluster perm-4	WBGene00020218	T04G9.7	12514.22	0.8	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; XXX cell WBbt:0007855; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; B cell WBbt:0003825; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
1750	[1750] cluster perm-4	WBGene00006541	tbh-1	1938.98	0.783	True	muscle of the reproductive system WBbt:0005786	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; RIC WBbt:0006834; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
