node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1751	[1751] cluster lbp-3	WBGene00017780	F25E2.2	11266.12	0.925	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; intestine WBbt:0005772; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1751	[1751] cluster lbp-3	WBGene00015633	C09D4.2	6880.3	0.903	True	uterine muscle WBbt:0005342	MC neuron WBbt:0003638; vm1 WBbt:0006917; HSN WBbt:0006830; ABprapaaapa WBbt:0006633; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVH WBbt:0006821; ABarppaapp WBbt:0006393; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; ABplpppaapa WBbt:0006503; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; MSpppaaa WBbt:0005951; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; male WBbt:0007850; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; Caapa WBbt:0006123
1751	[1751] cluster lbp-3	WBGene00002255	lbp-3	16275.28	0.845	True	uterine muscle WBbt:0005342	DA6 WBbt:0004861; ABplpppaaa WBbt:0006025; DA1 WBbt:0004871; vm1 WBbt:0006917; DA8 WBbt:0004858; DD1 WBbt:0004839; DB2 WBbt:0004845; DA5 WBbt:0004863; DA4 WBbt:0004865; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; intestine WBbt:0005772; DA9 WBbt:0004857; DB6 WBbt:0004841; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; ABprapppaa WBbt:0006234; ABprpppaaa WBbt:0006063; DA3 WBbt:0004867; ABplpppaapa WBbt:0006503; ABplapppaa WBbt:0005935; DB7 WBbt:0004840; DA2 WBbt:0004869; DD5 WBbt:0004825; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; DB3 WBbt:0004844; DD3 WBbt:0004837; DD2 WBbt:0004838; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; DA7 WBbt:0004859; DB5 WBbt:0004842; uterine muscle WBbt:0005342; DD4 WBbt:0004826; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; Caapa WBbt:0006123; preanal ganglion WBbt:0005448
1751	[1751] cluster lbp-3	WBGene00003812	nrf-5	2081.13	0.778	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PLM WBbt:0005490; nervous system WBbt:0005735; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; rectal muscle WBbt:0005803
1751	[1751] cluster lbp-3	WBGene00012364	zmp-4	624.56	0.755	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; GLR WBbt:0005176; hermaphrodite WBbt:0007849; intestine WBbt:0005772; DB6 WBbt:0004841; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; head muscle WBbt:0006761; DB7 WBbt:0004840; nervous system WBbt:0005735; DB4 WBbt:0004843; coelomic system WBbt:0005749; DB3 WBbt:0004844; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; DB5 WBbt:0004842; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
1751	[1751] cluster lbp-3	WBGene00013329	Y57G11C.40	1691.52	0.752	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; epithelial system WBbt:0005730; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1751	[1751] cluster lbp-3	WBGene00019476	timp-1	733.59	0.745	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; midbody WBbt:0005740; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; phasmid sheath cell WBbt:0006755; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
1751	[1751] cluster lbp-3	WBGene00006677	twk-24	290.91	0.654	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; nervous system WBbt:0005735; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
1751	[1751] cluster lbp-3	WBGene00020879	T28A11.17	79.36	0.613	True	uterine muscle WBbt:0005342	vm1 WBbt:0006917; RMH WBbt:0006843; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; NSM WBbt:0003666; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1751	[1751] cluster lbp-3	WBGene00001953	hlh-8	372.99	0.537	True	uterine muscle WBbt:0005342	URB WBbt:0006845; vm1 WBbt:0006917; URA WBbt:0005225; body wall WBbt:0005742; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; M cell WBbt:0004489; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; MSpppaaa WBbt:0005951; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
