node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1785	[1785] cluster T15B12.2	WBGene00018555	srt-35	3.41	0.707	False	male WBbt:0007850	corpus WBbt:0003733; pharynx WBbt:0003681; NSM WBbt:0003666
1785	[1785] cluster T15B12.2	WBGene00077622	T25E12.14	8.15	0.707	False	male WBbt:0007850	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
1785	[1785] cluster T15B12.2	WBGene00017324	F10C1.1	10.24	0.707	False	male WBbt:0007850	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666
1785	[1785] cluster T15B12.2	WBGene00022083	Y69A2AR.12	440.23	0.644	False	male WBbt:0007850	intestine WBbt:0005772; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; striated muscle WBbt:0005779; muscular system WBbt:0005737
1785	[1785] cluster T15B12.2	WBGene00006162	str-111	16.3	0.617	False	male WBbt:0007850	lateral ganglion left WBbt:0005103; ADL WBbt:0005661; muscular system WBbt:0005737
1785	[1785] cluster T15B12.2	WBGene00020531	T15B12.2	750.4	0.528	True	male WBbt:0007850	male WBbt:0007850
1785	[1785] cluster T15B12.2	WBGene00000736	col-163	8.15	0.521	False	male WBbt:0007850	SIB WBbt:0005359; URB WBbt:0006845; PVM WBbt:0004086; SIA WBbt:0005361; URA WBbt:0005225; anterior ganglion WBbt:0005375; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVM WBbt:0003832; nervous system WBbt:0005735; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; posterior lateral ganglion WBbt:0005465
1785	[1785] cluster T15B12.2	WBGene00206508	ZK262.19	233.03	0.49	False	male WBbt:0007850	nervous system WBbt:0005735; ALA WBbt:0003955
1785	[1785] cluster T15B12.2	WBGene00008272	C53B4.2	329.12	0.486	True	male WBbt:0007850	CAN WBbt:0006827; somatic nervous system WBbt:0005760; AVK WBbt:0006823; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; male WBbt:0007850
1785	[1785] cluster T15B12.2	WBGene00013475	Y69E1A.3	318.52	0.448	True	male WBbt:0007850	male WBbt:0007850
1785	[1785] cluster T15B12.2	WBGene00007571	C14A6.7	106.37	0.438	False	male WBbt:0007850	nervous system WBbt:0005735; germ line WBbt:0005784; reproductive system WBbt:0005747
1785	[1785] cluster T15B12.2	WBGene00014048	ZK666.8	210.86	0.423	True	male WBbt:0007850	BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; FLP WBbt:0006828; ALM WBbt:0005406; ALN WBbt:0006851; male WBbt:0007850
1785	[1785] cluster T15B12.2	WBGene00017050	D2024.1	250.25	0.4	True	male WBbt:0007850	RME WBbt:0005399; ABalapppaa WBbt:0006703; AVA WBbt:0005842; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; ABalappaap WBbt:0006727; CAN WBbt:0006827; somatic nervous system WBbt:0005760; FLP WBbt:0006828; RID WBbt:0003938; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; ALA WBbt:0003955; male WBbt:0007850; reproductive system WBbt:0005747
1785	[1785] cluster T15B12.2	WBGene00008854	F15D3.4	282.1	0.378	True	male WBbt:0007850	excretory system WBbt:0005736; somatic nervous system WBbt:0005760; RIS WBbt:0005045; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
1785	[1785] cluster T15B12.2	WBGene00017441	F13H8.8	302.22	0.366	True	male WBbt:0007850	ABalaaaarr WBbt:0006500; ABalppappa WBbt:0005975; ABalaaaarl WBbt:0005945; ABarappppa WBbt:0006687; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; nervous system WBbt:0005735; ABarpapaaa WBbt:0006207; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; ABplaaaaaa WBbt:0006330; MSaaaaapa WBbt:0006202; male WBbt:0007850; reproductive system WBbt:0005747
