node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1834	[1834] cluster unc-13	WBGene00016024	glb-7	524.71	0.668	True	RIS WBbt:0005045	PVC WBbt:0005840; AS7 WBbt:0003909; VC6 WBbt:0004611; VB5 WBbt:0004637; VB7 WBbt:0004631; AVE WBbt:0006819; AS11 WBbt:0003905; HSN WBbt:0006830; AVA WBbt:0005842; AUA WBbt:0006817; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; BAG WBbt:0006825; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AS5 WBbt:0003911; DB7 WBbt:0004840; VA11 WBbt:0004647; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; AWCR WBbt:0003826; VB4 WBbt:0004638; SAA WBbt:0005397; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; AIN WBbt:0006815; VB6 WBbt:0004633; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; VB1 WBbt:0004643; SDQ WBbt:0006844; DB5 WBbt:0004842; AS6 WBbt:0003910; posterior lateral ganglion WBbt:0005465; PVT WBbt:0004070; AWCL WBbt:0003827; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1834	[1834] cluster unc-13	WBGene00000069	acy-2	540.84	0.591	True	RIS WBbt:0005045	MC neuron WBbt:0003638; AIM WBbt:0006814; VC6 WBbt:0004611; M4 neuron WBbt:0004467; AVF WBbt:0003851; AVJ WBbt:0006822; DA5 WBbt:0004863; VB2 WBbt:0004641; VA1 WBbt:0004872; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ADA WBbt:0006811; VA12 WBbt:0004645; BDU WBbt:0006826; DVA WBbt:0004823; CAN WBbt:0006827; somatic nervous system WBbt:0005760; RMG WBbt:0006842; M2 neuron WBbt:0003634; DA3 WBbt:0004867; epithelial system WBbt:0005730; M1 neuron WBbt:0004488; DA2 WBbt:0004869; M5 neuron WBbt:0004465; VA3 WBbt:0004868; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; RIM WBbt:0005835; VC4 WBbt:0004617; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PVW WBbt:0008438; male WBbt:0007850; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1834	[1834] cluster unc-13	WBGene00020420	npr-38	250.26	0.515	False	RIS WBbt:0005045	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; somatic gonad WBbt:0005785; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1834	[1834] cluster unc-13	WBGene00010586	K05C4.10	66.37	0.51	False	RIS WBbt:0005045	Z1.p WBbt:0007023; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; RIC WBbt:0006834; male distal tip cell WBbt:0006864; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; Z4.a WBbt:0007025; AVK WBbt:0006823; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1834	[1834] cluster unc-13	WBGene00013970	klu-1	332.75	0.454	True	RIS WBbt:0005045	RME WBbt:0005399; M4 neuron WBbt:0004467; excretory system WBbt:0005736; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; PVD WBbt:0006831; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; OLL WBbt:0006847; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; M5 neuron WBbt:0004465; nervous system WBbt:0005735; RIP WBbt:0006838; somatic gonad WBbt:0005785; pharynx WBbt:0003681; RIS WBbt:0005045; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1834	[1834] cluster unc-13	WBGene00013782	npr-32	450.28	0.452	True	RIS WBbt:0005045	SMD WBbt:0005353; PVC WBbt:0005840; SIB WBbt:0005359; AVE WBbt:0006819; excretory system WBbt:0005736; URY WBbt:0005346; AVA WBbt:0005842; URX WBbt:0006846; DD1 WBbt:0004839; AVJ WBbt:0006822; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anterior ganglion WBbt:0005375; AVD WBbt:0006818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; AIB WBbt:0006813; RMDL WBbt:0005037; nervous system WBbt:0005735; FLP WBbt:0006828; retrovesicular ganglion WBbt:0005656; AIN WBbt:0006815; RIM WBbt:0005835; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; RIG WBbt:0006836; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; PVT WBbt:0004070; RIR WBbt:0005047; preanal ganglion WBbt:0005448
1834	[1834] cluster unc-13	WBGene00015000	AH9.4	116.6	0.439	True	RIS WBbt:0005045	VC6 WBbt:0004611; OLQ WBbt:0006848; ADE WBbt:0005415; AVE WBbt:0006819; HSN WBbt:0006830; AUA WBbt:0006817; RMH WBbt:0006843; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ADA WBbt:0006811; somatic nervous system WBbt:0005760; M1 neuron WBbt:0004488; nervous system WBbt:0005735; RIP WBbt:0006838; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; PVP WBbt:0006832; germ line WBbt:0005784; AIY WBbt:0005413; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1834	[1834] cluster unc-13	WBGene00019774	npr-37	384.84	0.415	False	RIS WBbt:0005045	PVC WBbt:0005840; AIM WBbt:0006814; VB5 WBbt:0004637; IL2L WBbt:0004541; VB7 WBbt:0004631; DA1 WBbt:0004871; HSN WBbt:0006830; RMH WBbt:0006843; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; IL2VL WBbt:0004538; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; G cell WBbt:0008599; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; OLL WBbt:0006847; DB7 WBbt:0004840; IL2DL WBbt:0004545; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; FLP WBbt:0006828; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; PDE WBbt:0006747; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PDA WBbt:0004386; VB1 WBbt:0004643; W cell WBbt:0004583; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
1834	[1834] cluster unc-13	WBGene00013833	ZC15.5	99.55	0.401	False	RIS WBbt:0005045	RME WBbt:0005399; AVE WBbt:0006819; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1834	[1834] cluster unc-13	WBGene00006752	unc-13	1005.4	0.392	True	RIS WBbt:0005045	PHC WBbt:0008446; SMD WBbt:0005353; AIM WBbt:0006814; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; PVM WBbt:0004086; DA8 WBbt:0004858; URX WBbt:0006846; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; AIA WBbt:0006812; AVL WBbt:0003843; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; AVG WBbt:0003850; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DVB WBbt:0004822; AS9 WBbt:0003907; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; M1 neuron WBbt:0004488; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; I1 neuron WBbt:0003649; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv3 WBbt:0006793; VB1 WBbt:0004643; RIH WBbt:0003928; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; AS10 WBbt:0003906; preanal ganglion WBbt:0005448
