node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1838	[1838] cluster mps-2	WBGene00001972	hmg-1.2	1160.23	0.665	True	Q cell WBbt:0008598	ABalppppapa WBbt:0006705; MSaaap WBbt:0006160; ABaraaaa WBbt:0006360; ABplaaapa WBbt:0006680; ABplaaapp WBbt:0006136; ABalpppappp WBbt:0006623; ABalappapa WBbt:0006412; MSppaa WBbt:0006531; ABalaappppa WBbt:0006560; Caaaa WBbt:0005899; ABpraapaaa WBbt:0005888; ABalppaa WBbt:0005944; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABplpaappa WBbt:0006670; ABprppppp WBbt:0005983; ABalappppaa WBbt:0006522; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABplpappp WBbt:0006390; ABprappp WBbt:0006702; ABprpaappa WBbt:0005940; GLR WBbt:0005176; ABplpapppa WBbt:0006225; Eala WBbt:0006104; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; Epla WBbt:0006661; ABprapaaapa WBbt:0006633; ABplpaapa WBbt:0006115; MSaapp WBbt:0006425; ABprpaapap WBbt:0006105; ABalaaaa WBbt:0006427; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; ABaraapp WBbt:0006153; ABplaapaaa WBbt:0006069; ABplppppa WBbt:0006352; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; ABplpppaa WBbt:0006222; ABplpppap WBbt:0006665; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; Q cell WBbt:0008598; ABprapaap WBbt:0006624; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; Capp WBbt:0006098; spermatheca WBbt:0005319; Cpaaa WBbt:0006212; MSpaaaaa WBbt:0006363; ABplaaaap WBbt:0006625; ABplaappa WBbt:0006519; Cppa WBbt:0006168; ABpraaap WBbt:0006534; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalpaaa WBbt:0006557; ABplappaa WBbt:0006371; ABalppppaa WBbt:0006526; Caap WBbt:0005921; ABalappa WBbt:0006157; PHB WBbt:0007808; Cpaap WBbt:0006594; ABpraapapa WBbt:0005872; ABarappaap WBbt:0006103; MSpaap WBbt:0005878; DB6 WBbt:0004841; ABprpappp WBbt:0005847; PHA WBbt:0007807; ABaraapppaa WBbt:0006566; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABprapapa WBbt:0006510; ABprapppapp WBbt:0006743; ABalpppppa WBbt:0006638; ABplappap WBbt:0006067; ABplpappa WBbt:0006232; ABprapppaa WBbt:0006234; ABaraaap WBbt:0005861; ABpraaappa WBbt:0006483; Epra WBbt:0006321; MSpapapa WBbt:0006308; ABplaapap WBbt:0005887; ABplaaaaapp WBbt:0006428; ABplppaa WBbt:0006170; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; ABprppaa WBbt:0005984; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; Cpapa WBbt:0005962; ABpraaapppa WBbt:0006009; ABalppap WBbt:0006112; ABplapppaa WBbt:0005935; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; Cppp WBbt:0006268; Eplp WBbt:0006496; ABaraapa WBbt:0005853; ABprpapapa WBbt:0006487; DB7 WBbt:0004840; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalaapppa WBbt:0006026; ABalpapa WBbt:0006573; ABprpaaapa WBbt:0006149; midbody WBbt:0005740; ABplpaaaaa WBbt:0005893; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; ABarapaa WBbt:0006515; ABplpapa WBbt:0006087; nervous system WBbt:0005735; ABarappa WBbt:0006005; ABplaapappp WBbt:0006387; ABplaaaaa WBbt:0006348; ABalpppa WBbt:0006649; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABpraapa WBbt:0006302; ABplpaapap WBbt:0006556; ABprpppaapa WBbt:0006549; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; ABprpppa WBbt:0005943; ABplpaaappa WBbt:0006600; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; DB4 WBbt:0004843; ABaraapapp WBbt:0005999; ABplaapaa WBbt:0005866; ABalpppapa WBbt:0005930; ABplapppapp WBbt:0005970; PVR WBbt:0004072; coelomic system WBbt:0005749; Caaap WBbt:0006267; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; DB3 WBbt:0004844; ABprapapp WBbt:0006290; ABpraapappp WBbt:0005862; ABarappp WBbt:0006524; ABprppap WBbt:0006346; ABplpaaaap WBbt:0006528; MSapp WBbt:0006036; ABprpapa WBbt:0006259; ABplppap WBbt:0006028; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; MSpapp WBbt:0006201; ABalpaap WBbt:0005934; anal depressor muscle WBbt:0004292; ABpraaapaa WBbt:0006114; Ealp WBbt:0006546; ABalaapa WBbt:0006130; ABplppaaaap WBbt:0006414; ABalppppppa WBbt:0006166; MSpppp WBbt:0006409; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABaraapppp WBbt:0006127; Cpapp WBbt:0005897; Eprp WBbt:0006507; ABarpapa WBbt:0006603; ABplaaaaaa WBbt:0006330; ABpraapp WBbt:0006335; ABprpaap WBbt:0006253; ABplappp WBbt:0006470; ABpraaaa WBbt:0006442; DB5 WBbt:0004842; ABalaaap WBbt:0005982; ABplaappp WBbt:0005948; ABplppppp WBbt:0006574; male WBbt:0007850; Earp WBbt:0006646; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; ABpraaapapa WBbt:0006404; ABarppaa WBbt:0006465; ABaraapapaa WBbt:0006455; Capa WBbt:0006444; ABalaapp WBbt:0006553; ABalapppapa WBbt:0006339; ABplapapp WBbt:0006413; muscular system WBbt:0005737; ABprpaaa WBbt:0006167; reproductive tract WBbt:0005744; ABprappa WBbt:0006269; reproductive system WBbt:0005747; MSapa WBbt:0005898; Eara WBbt:0006161; ABprpappa WBbt:0006088; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00018710	F52G3.1	378.17	0.661	True	Q cell WBbt:0008598	RME WBbt:0005399; ABalaappppa WBbt:0006560; ABalappppaa WBbt:0006522; GLR WBbt:0005176; AVA WBbt:0005842; DD1 WBbt:0004839; ABalppapppa WBbt:0006463; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; PDB WBbt:0004385; RIV WBbt:0006839; BDU WBbt:0006826; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; OLL WBbt:0006847; ABarapppppa WBbt:0006203; ABalapappaa WBbt:0006542; DD5 WBbt:0004825; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ABprapapppp WBbt:0006021; DD4 WBbt:0004826; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1838	[1838] cluster mps-2	WBGene00003111	mab-20	697.76	0.656	True	Q cell WBbt:0008598	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; SMD WBbt:0005353; ABalappapa WBbt:0006412; RME WBbt:0005399; linker cell WBbt:0005062; SIB WBbt:0005359; ABalaappppa WBbt:0006560; IL socket cell WBbt:0008418; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; VC5 WBbt:0004613; ADE WBbt:0005415; AVE WBbt:0006819; SIA WBbt:0005361; AVA WBbt:0005842; AVJ WBbt:0006822; ABalppapppa WBbt:0006463; DB2 WBbt:0004845; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; vulD WBbt:0006766; AVL WBbt:0003843; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; PHB WBbt:0007808; DB6 WBbt:0004841; RIV WBbt:0006839; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; phasmid socket cell WBbt:0008410; ABprapppapp WBbt:0006743; vulF WBbt:0006768; RMDVL WBbt:0005031; vulB2 WBbt:0006764; amphid socket cell WBbt:0008379; vulC WBbt:0006765; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; RMDL WBbt:0005037; DB7 WBbt:0004840; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalaapppa WBbt:0006026; ray WBbt:0006941; ABprpaaapa WBbt:0006149; vulA WBbt:0006762; midbody WBbt:0005740; SMB WBbt:0005355; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; RMDVR WBbt:0005029; nervous system WBbt:0005735; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABprpppaapa WBbt:0006549; ABarpapaaa WBbt:0006207; OL sheath cell WBbt:0008413; PDE WBbt:0006747; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; ABplapppapp WBbt:0005970; PVR WBbt:0004072; VC4 WBbt:0004617; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; AVB WBbt:0005841; ABplppppaa WBbt:0006109; germ line WBbt:0005784; AWB WBbt:0005671; RIH WBbt:0003928; ABalaaaala WBbt:0005966; ABplapappp WBbt:0006630; ABplaaaaaa WBbt:0006330; phasmid sheath cell WBbt:0006755; DB5 WBbt:0004842; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; male WBbt:0007850; ABarpapaapp WBbt:0006075; vulE WBbt:0006767; ABpraaapapa WBbt:0006404; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ABalaapaaa WBbt:0006732; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00020379	T09B4.5	757.94	0.645	True	Q cell WBbt:0008598	ABalppppapa WBbt:0006705; ABalaappppa WBbt:0006560; dorsal uterine cell WBbt:0006782; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; pm8 WBbt:0004302; GLR WBbt:0005176; ABalpapaap WBbt:0006023; ABprapaaapa WBbt:0006633; ABalppapppa WBbt:0006463; ABprpaaappa WBbt:0006695; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABalappaap WBbt:0006727; ABarappaap WBbt:0006103; ABalapapapa WBbt:0006575; ABprapaaaap WBbt:0006184; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; ABprppaaaap WBbt:0006283; ABarapppppa WBbt:0006203; ABalaapppa WBbt:0006026; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; ABpraaapapa WBbt:0006404; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive tract WBbt:0005744; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00022418	igcm-4	412.26	0.638	False	Q cell WBbt:0008598	SMD WBbt:0005353; ABalappapa WBbt:0006412; MC neuron WBbt:0003638; RME WBbt:0005399; XXX cell WBbt:0007855; SIB WBbt:0005359; ABalaappppa WBbt:0006560; URB WBbt:0006845; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; DA1 WBbt:0004871; ABplpapapa WBbt:0005908; ADE WBbt:0005415; AVE WBbt:0006819; I5 neuron WBbt:0004740; SIA WBbt:0005361; ABalaaaarr WBbt:0006500; ABalapppaa WBbt:0006703; URA WBbt:0005225; IL1VR WBbt:0004547; mc1 WBbt:0003709; ABprapaaapa WBbt:0006633; ABalppappp WBbt:0006694; URX WBbt:0006846; ABalppappa WBbt:0005975; IL1R WBbt:0004551; I6 neuron WBbt:0004739; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; RIA WBbt:0006833; ABplpaaapp WBbt:0005877; IL1DR WBbt:0004737; CEP WBbt:0005244; ABalapaaaa WBbt:0006002; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; G cell WBbt:0008599; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABalaapppp WBbt:0006461; ABarappppa WBbt:0006687; ABalappaap WBbt:0006727; PHB WBbt:0007808; ABpraapapa WBbt:0005872; RIV WBbt:0006839; PHA WBbt:0007807; AS2 WBbt:0003924; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; RMDVL WBbt:0005031; ABalapaapp WBbt:0006504; RMG WBbt:0006842; ABalpappaa WBbt:0006051; AS3 WBbt:0003923; ABplaaaaapp WBbt:0006428; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; I4 neuron WBbt:0004741; RMDL WBbt:0005037; ABprpapapa WBbt:0006487; AIZ WBbt:0005836; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalapapap WBbt:0005910; SMB WBbt:0005355; ABalapappaa WBbt:0006542; RMDVR WBbt:0005029; ABalappppa WBbt:0006133; RIP WBbt:0006838; FLP WBbt:0006828; ABalapaappa WBbt:0006196; SAA WBbt:0005397; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; AIN WBbt:0006815; ABplaapapa WBbt:0006120; RIM WBbt:0005835; ABprppaapa WBbt:0006079; RIS WBbt:0005045; ABarapapaa WBbt:0006001; ABalapppap WBbt:0006015; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ABpraaapaa WBbt:0006114; ABalppppppa WBbt:0006166; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABalaaaala WBbt:0005966; intestinal muscle WBbt:0005796; IL1DL WBbt:0004738; W cell WBbt:0004583; ALA WBbt:0003955; IL1L WBbt:0004553; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; ABalaapaaa WBbt:0006732; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00011434	T04D3.5	718.95	0.63	True	Q cell WBbt:0008598	ABalpppappp WBbt:0006623; ABprapaaapa WBbt:0006633; AUA WBbt:0006817; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABaraapppaa WBbt:0006566; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; AVK WBbt:0006823; oocyte WBbt:0006797; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABplpaaappa WBbt:0006600; RIS WBbt:0005045; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; striated muscle WBbt:0005779; ABplapaaapa WBbt:0006061; ABaraapapaa WBbt:0006455; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive system WBbt:0005747
1838	[1838] cluster mps-2	WBGene00219313	C17E4.20	764.49	0.624	True	Q cell WBbt:0008598	ABpraapaaa WBbt:0005888; AVE WBbt:0006819; GLR WBbt:0005176; ABalaaaarr WBbt:0006500; ABalaaaarl WBbt:0005945; ABplaapaaa WBbt:0006069; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABpraapapa WBbt:0005872; oocyte WBbt:0006797; nervous system WBbt:0005735; ABprpaaaap WBbt:0006721; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ABpraaapaa WBbt:0006114; germ line WBbt:0005784; AWB WBbt:0005671; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive system WBbt:0005747
1838	[1838] cluster mps-2	WBGene00020160	igcm-3	713.79	0.622	False	Q cell WBbt:0008598	ABalpppappp WBbt:0006623; ABplaapaap WBbt:0006518; AIM WBbt:0006814; pm5 WBbt:0003737; ABplpppaaa WBbt:0006025; ABpraaapppp WBbt:0005931; IL socket cell WBbt:0008418; dorsal uterine cell WBbt:0006782; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABplpppppp WBbt:0005960; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; mc1 WBbt:0003709; ABalppappp WBbt:0006694; ABprpaapap WBbt:0006105; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABplaapaaa WBbt:0006069; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; vulD WBbt:0006766; corpus WBbt:0003733; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; ABprpppppp WBbt:0006430; ADE sheath cell WBbt:0008411; G cell WBbt:0008599; spermatheca WBbt:0005319; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; ABalaapppp WBbt:0006461; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; PHB WBbt:0007808; ABarappaap WBbt:0006103; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; ABalapaapp WBbt:0006504; pm4 WBbt:0003739; ABprpppaaa WBbt:0006063; ABalpappaa WBbt:0006051; amphid socket cell WBbt:0008379; vulC WBbt:0006765; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; AVK WBbt:0006823; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; AIZ WBbt:0005836; AQR WBbt:0003927; vulA WBbt:0006762; midbody WBbt:0005740; ABalappppa WBbt:0006133; FLP WBbt:0006828; tail precursor cell WBbt:0008409; ABplpaapap WBbt:0006556; somatic gonad WBbt:0005785; F cell WBbt:0004799; ABprpppapa WBbt:0006044; OL sheath cell WBbt:0008413; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; K cell WBbt:0004499; vulB1 WBbt:0006763; mc3 WBbt:0003707; B cell WBbt:0003825; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ABplpaaaap WBbt:0006528; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABalaaaala WBbt:0005966; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; pm3 WBbt:0003740; vulE WBbt:0006767; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; ADE socket cell WBbt:0008416; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ABalaapaaa WBbt:0006732; ABpraaappp WBbt:0006194; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00012239	W04A8.4	3474.8	0.614	True	Q cell WBbt:0008598	ABalappapa WBbt:0006412; ABplaapaap WBbt:0006518; gonad arm WBbt:0008629; IL socket cell WBbt:0008418; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; ABpraapaaa WBbt:0005888; pm8 WBbt:0004302; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; AVA WBbt:0005842; ABalaaaarl WBbt:0005945; ABplaapaaa WBbt:0006069; vulD WBbt:0006766; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; anchor cell WBbt:0004522; MSpaaaaa WBbt:0006363; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; male distal tip cell WBbt:0006864; ABarappaap WBbt:0006103; ABaraapppaa WBbt:0006566; AVH WBbt:0006821; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; ABprapppapp WBbt:0006743; gonadal primordium WBbt:0008366; vulF WBbt:0006768; ABprapppaa WBbt:0006234; amphid socket cell WBbt:0008379; vulC WBbt:0006765; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABplapppaa WBbt:0005935; ABprppaaaap WBbt:0006283; ABalaapppa WBbt:0006026; ABprpaaapa WBbt:0006149; vulA WBbt:0006762; midbody WBbt:0005740; SMB WBbt:0005355; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; ABarpapaaa WBbt:0006207; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; vulB1 WBbt:0006763; ABplapppapp WBbt:0005970; PVR WBbt:0004072; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABplppaaaap WBbt:0006414; PVP WBbt:0006832; hyp3 WBbt:0004690; germ line WBbt:0005784; striated muscle WBbt:0005779; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; intestinal muscle WBbt:0005796; phasmid sheath cell WBbt:0006755; ABprapapppp WBbt:0006021; uterine muscle WBbt:0005342; ABarpapaapp WBbt:0006075; vulE WBbt:0006767; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; ABpraapaap WBbt:0006373; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1838	[1838] cluster mps-2	WBGene00004749	sdn-1	422.67	0.614	True	Q cell WBbt:0008598	RME WBbt:0005399; AIM WBbt:0006814; DA6 WBbt:0004861; DA1 WBbt:0004871; VC5 WBbt:0004613; HSN WBbt:0006830; SIA WBbt:0005361; DA8 WBbt:0004858; DD1 WBbt:0004839; DB2 WBbt:0004845; DA5 WBbt:0004863; DA4 WBbt:0004865; Q cell WBbt:0008598; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; intestine WBbt:0005772; C WBbt:0003810; DA9 WBbt:0004857; DB6 WBbt:0004841; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; midbody WBbt:0005740; SMB WBbt:0005355; oocyte WBbt:0006797; nervous system WBbt:0005735; DD5 WBbt:0004825; F cell WBbt:0004799; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; VC4 WBbt:0004617; DB3 WBbt:0004844; DD3 WBbt:0004837; DD2 WBbt:0004838; sex organ WBbt:0008422; germ line WBbt:0005784; DA7 WBbt:0004859; DB5 WBbt:0004842; DD4 WBbt:0004826; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; ABprppppap WBbt:0006439; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
