node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1839	[1839] cluster T03F1.11	WBGene00002128	inx-6	1207.5	0.872	True	pm2 WBbt:0003742	MC neuron WBbt:0003638; pm5 WBbt:0003737; URB WBbt:0006845; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; AVD WBbt:0006818; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; AVK WBbt:0006823; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal epithelial cell WBbt:0005459; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00018405	F44A2.5	1239.38	0.851	False	pm2 WBbt:0003742	gonad arm WBbt:0008629; vm1 WBbt:0006917; VC5 WBbt:0004613; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
1839	[1839] cluster T03F1.11	WBGene00044260	Y87G2A.19	3152.54	0.819	True	pm2 WBbt:0003742	pm5 WBbt:0003737; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00011524	plpr-1	1076.06	0.798	True	pm2 WBbt:0003742	pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; g1AL WBbt:0004532; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00006586	tni-4	2858.4	0.793	True	pm2 WBbt:0003742	pm5 WBbt:0003737; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1839	[1839] cluster T03F1.11	WBGene00017842	nep-12	812.77	0.792	False	pm2 WBbt:0003742	MC neuron WBbt:0003638; pm5 WBbt:0003737; corpus WBbt:0003733; pm7 WBbt:0003721; g1AL WBbt:0004532; PVD WBbt:0006831; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00018073	F35H10.10	719.44	0.779	True	pm2 WBbt:0003742	K' cell WBbt:0004497; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; Y cell WBbt:0004578; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; pm2 WBbt:0003742; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; posterior arcade cell WBbt:0005795; male WBbt:0007850; U cell WBbt:0004942; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00019839	R02F11.1	6482.37	0.778	True	pm2 WBbt:0003742	pm5 WBbt:0003737; pm8 WBbt:0004302; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; ALM WBbt:0005406; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00001133	eat-2	247.05	0.762	True	pm2 WBbt:0003742	pm5 WBbt:0003737; ABplpapppa WBbt:0006225; corpus WBbt:0003733; pm1 WBbt:0003744; pm4 WBbt:0003739; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
1839	[1839] cluster T03F1.11	WBGene00010330	F59D12.2	369.91	0.747	True	pm2 WBbt:0003742	excretory system WBbt:0005736; mc1 WBbt:0003709; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; F cell WBbt:0004799; pharynx WBbt:0003681; B cell WBbt:0003825; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; U cell WBbt:0004942; muscular system WBbt:0005737
