node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1897	[1897] cluster degl-1	WBGene00005105	srd-27	903.19	0.637	False	IL2VL WBbt:0004538	AWA WBbt:0005670; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
1897	[1897] cluster degl-1	WBGene00077759	irld-51	9.69	0.577	False	IL2VL WBbt:0004538	nervous system WBbt:0005735
1897	[1897] cluster degl-1	WBGene00013333	degl-1	977.26	0.521	True	IL2VL WBbt:0004538	IL2L WBbt:0004541; ABprapaaapa WBbt:0006633; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; ABplapaaapa WBbt:0006061; ABprapaaap WBbt:0005977
1897	[1897] cluster degl-1	WBGene00005599	srj-11	39.3	0.473	False	IL2VL WBbt:0004538	lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103
1897	[1897] cluster degl-1	WBGene00045398	Y71F9AM.8	39.03	0.472	False	IL2VL WBbt:0004538	intestine WBbt:0005772
1897	[1897] cluster degl-1	WBGene00013778	clec-194	666.31	0.424	True	IL2VL WBbt:0004538	hook sensillum WBbt:0006930; IL2L WBbt:0004541; excretory system WBbt:0005736; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; IL2VR WBbt:0004537; excretory gland cell WBbt:0005776; IL2DR WBbt:0004543; male WBbt:0007850
1897	[1897] cluster degl-1	WBGene00000862	cwp-4	488.63	0.402	True	IL2VL WBbt:0004538	hook sensillum WBbt:0006930; IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
1897	[1897] cluster degl-1	WBGene00015986	C18G1.8	44.42	0.392	True	IL2VL WBbt:0004538	IL2L WBbt:0004541; IL2VL WBbt:0004538; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; IL2VR WBbt:0004537; IL2DR WBbt:0004543
1897	[1897] cluster degl-1	WBGene00018906	egas-4	222.1	0.315	True	IL2VL WBbt:0004538	hook sensillum WBbt:0006930; IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; PVD WBbt:0006831; OLL WBbt:0006847; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; male WBbt:0007850
1897	[1897] cluster degl-1	WBGene00006104	str-39	22.21	0.313	False	IL2VL WBbt:0004538	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVD WBbt:0006818; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; PVP WBbt:0006832; NSM WBbt:0003666; preanal ganglion WBbt:0005448
