node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1904	[1904] cluster cgp-1	WBGene00044361	K09F6.11	61.12	0.54	False	CEPsoVL WBbt:0004918	intestine WBbt:0005772
1904	[1904] cluster cgp-1	WBGene00020469	T13A10.2	61.88	0.49	False	CEPsoVL WBbt:0004918	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; ABplapaaaap WBbt:0006592; VD8 WBbt:0004597; DD1 WBbt:0004839; VD10 WBbt:0004591; ABpraaaappp WBbt:0006247; VD5 WBbt:0004601; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; VD12 WBbt:0004587; VD13 WBbt:0004585; VD1 WBbt:0004609; VD4 WBbt:0004603; CAN WBbt:0006827; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; VD7 WBbt:0004598; AVK WBbt:0006823; ABalppppppp WBbt:0006599; DD5 WBbt:0004825; VD11 WBbt:0004589; VD6 WBbt:0004599; retrovesicular ganglion WBbt:0005656; VD3 WBbt:0004605; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; AWB WBbt:0005671; VD9 WBbt:0004593; DD4 WBbt:0004826; preanal ganglion WBbt:0005448
1904	[1904] cluster cgp-1	WBGene00194910	ZC404.15	150.92	0.485	False	CEPsoVL WBbt:0004918	URB WBbt:0006845; ADE WBbt:0005415; URA WBbt:0005225; CEP WBbt:0005244; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; ADA WBbt:0006811; BAG WBbt:0006825; somatic nervous system WBbt:0005760; RMG WBbt:0006842; AIB WBbt:0006813; AVK WBbt:0006823; somatic gonad WBbt:0005785; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; RIH WBbt:0003928; RIR WBbt:0005047; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; RMDDL WBbt:0005039
1904	[1904] cluster cgp-1	WBGene00017467	F14F9.4	914.58	0.412	True	CEPsoVL WBbt:0004918	GLR WBbt:0005176; Z1.p WBbt:0007023; VB2 WBbt:0004641; anterior ganglion WBbt:0005375; intestine WBbt:0005772; male distal tip cell WBbt:0006864; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; CEPsoVL WBbt:0004918; retrovesicular ganglion WBbt:0005656; VB1 WBbt:0004643; ALA WBbt:0003955; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1904	[1904] cluster cgp-1	WBGene00016111	C25H3.1	546.33	0.39	True	CEPsoVL WBbt:0004918	SIA WBbt:0005361; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; coelomic system WBbt:0005749; ALN WBbt:0006851; sex organ WBbt:0008422; VB1 WBbt:0004643; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1904	[1904] cluster cgp-1	WBGene00000480	cgp-1	1459.4	0.366	True	CEPsoVL WBbt:0004918	VB10 WBbt:0004625; ABplpppaaa WBbt:0006025; VB5 WBbt:0004637; VB7 WBbt:0004631; VB2 WBbt:0004641; Q cell WBbt:0008598; corpus WBbt:0003733; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; PVD WBbt:0006831; CAN WBbt:0006827; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABprpppaaa WBbt:0006063; epithelial system WBbt:0005730; OLL WBbt:0006847; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; VB3 WBbt:0004639; VB8 WBbt:0004629; MI neuron WBbt:0003664; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; germ line WBbt:0005784; VB1 WBbt:0004643; VB11 WBbt:0004623; reproductive system WBbt:0005747
1904	[1904] cluster cgp-1	WBGene00010855	M04C7.4	30.94	0.364	False	CEPsoVL WBbt:0004918	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; AVG WBbt:0003850; anterior ganglion WBbt:0005375; AVD WBbt:0006818; BAG WBbt:0006825; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; RIM WBbt:0005835; lateral ganglion left WBbt:0005103
1904	[1904] cluster cgp-1	WBGene00008476	E03H4.8	547.84	0.346	True	CEPsoVL WBbt:0004918	RME WBbt:0005399; GLR WBbt:0005176; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
1904	[1904] cluster cgp-1	WBGene00003408	mrp-2	546.33	0.314	True	CEPsoVL WBbt:0004918	OLQ WBbt:0006848; GLR WBbt:0005176; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; VB1 WBbt:0004643; RIH WBbt:0003928; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
1904	[1904] cluster cgp-1	WBGene00022345	fbxa-138	30.94	0.224	False	CEPsoVL WBbt:0004918	intestine WBbt:0005772
