node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
1913	[1913] cluster ilys-4	WBGene00019592	K09F6.9	1623.13	0.732	True	VB11 WBbt:0004623	AS7 WBbt:0003909; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; URX WBbt:0006846; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; VA5 WBbt:0004864; AS5 WBbt:0003911; DB7 WBbt:0004840; CEPsoVL WBbt:0004918; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ASE WBbt:0005663; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448
1913	[1913] cluster ilys-4	WBGene00019593	K09F6.10	6191.04	0.695	True	VB11 WBbt:0004623	AS7 WBbt:0003909; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; dorsal uterine cell WBbt:0006782; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; GLR WBbt:0005176; SIA WBbt:0005361; VD8 WBbt:0004597; DA8 WBbt:0004858; AVA WBbt:0005842; URX WBbt:0006846; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; VA5 WBbt:0004864; AS5 WBbt:0003911; DB7 WBbt:0004840; CEPsoVL WBbt:0004918; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VD11 WBbt:0004589; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; SDQ WBbt:0006844; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
1913	[1913] cluster ilys-4	WBGene00018844	F54H12.4	616.28	0.617	False	VB11 WBbt:0004623	HSN WBbt:0006830; nervous system WBbt:0005735; sex organ WBbt:0008422; reproductive system WBbt:0005747
1913	[1913] cluster ilys-4	WBGene00013315	Y57G11C.20	681.9	0.602	False	VB11 WBbt:0004623	DA1 WBbt:0004871; DB2 WBbt:0004845; VA1 WBbt:0004872; VD12 WBbt:0004587; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; ABpraaapppa WBbt:0006009; nervous system WBbt:0005735; AS1 WBbt:0003925; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; ALN WBbt:0006851; ABalppppppa WBbt:0006166; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1913	[1913] cluster ilys-4	WBGene00194905	Y53F4B.51	1212.76	0.6	True	VB11 WBbt:0004623	MC neuron WBbt:0003638; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; URB WBbt:0006845; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; DA8 WBbt:0004858; URA WBbt:0005225; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; ABplaaaaapp WBbt:0006428; AIB WBbt:0006813; VA5 WBbt:0004864; RMDL WBbt:0005037; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ABarpapaapp WBbt:0006075; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
1913	[1913] cluster ilys-4	WBGene00016958	ilys-4	15573.45	0.599	False	VB11 WBbt:0004623	SMD WBbt:0005353; RME WBbt:0005399; DA6 WBbt:0004861; VC6 WBbt:0004611; ABplpppaaa WBbt:0006025; ABalaappppa WBbt:0006560; ABalappppaa WBbt:0006522; DA1 WBbt:0004871; VC5 WBbt:0004613; ADE WBbt:0005415; I5 neuron WBbt:0004740; SIA WBbt:0005361; VD8 WBbt:0004597; DA8 WBbt:0004858; AVA WBbt:0005842; RMH WBbt:0006843; DD1 WBbt:0004839; AVJ WBbt:0006822; ABalppapppa WBbt:0006463; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VD5 WBbt:0004601; VB2 WBbt:0004641; AVL WBbt:0003843; DA4 WBbt:0004865; VC3 WBbt:0004618; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; VD13 WBbt:0004585; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; VD1 WBbt:0004609; VD4 WBbt:0004603; DA9 WBbt:0004857; DB6 WBbt:0004841; PVD WBbt:0006831; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABprpppaaa WBbt:0006063; DA3 WBbt:0004867; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; VD7 WBbt:0004598; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; ABarapppppa WBbt:0006203; DA2 WBbt:0004869; RMF WBbt:0006841; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; DD5 WBbt:0004825; VD11 WBbt:0004589; ABalapaappa WBbt:0006196; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VD6 WBbt:0004599; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; VD3 WBbt:0004605; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VB1 WBbt:0004643; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; VD9 WBbt:0004593; male WBbt:0007850; DD4 WBbt:0004826; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
1913	[1913] cluster ilys-4	WBGene00008610	nanp-1	1256.71	0.516	True	VB11 WBbt:0004623	SMD WBbt:0005353; MC neuron WBbt:0003638; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; I5 neuron WBbt:0004740; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDDR WBbt:0005038; RMDR WBbt:0005033; intestine WBbt:0005772; AS9 WBbt:0003907; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; AIB WBbt:0006813; VA5 WBbt:0004864; M1 neuron WBbt:0004488; RMDL WBbt:0005037; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; RMDVR WBbt:0005029; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; AIY WBbt:0005413; male WBbt:0007850; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1913	[1913] cluster ilys-4	WBGene00000436	ceh-12	317.71	0.498	True	VB11 WBbt:0004623	VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; AVA WBbt:0005842; AVJ WBbt:0006822; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; DA9 WBbt:0004857; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AVK WBbt:0006823; VA11 WBbt:0004647; VA3 WBbt:0004868; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PVP WBbt:0006832; germ line WBbt:0005784; VB1 WBbt:0004643; VB11 WBbt:0004623; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
1913	[1913] cluster ilys-4	WBGene00044667	ZK622.5	615.61	0.493	True	VB11 WBbt:0004623	SMD WBbt:0005353; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; DA8 WBbt:0004858; AVA WBbt:0005842; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDDR WBbt:0005038; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; VA5 WBbt:0004864; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; RMDVR WBbt:0005029; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; male WBbt:0007850; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
1913	[1913] cluster ilys-4	WBGene00006681	twk-29	1059.22	0.479	True	VB11 WBbt:0004623	PHC WBbt:0008446; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; URB WBbt:0006845; VB7 WBbt:0004631; DA1 WBbt:0004871; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; DA8 WBbt:0004858; ABalapppaa WBbt:0006703; URA WBbt:0005225; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA1 WBbt:0004872; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; BDU WBbt:0006826; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; AIB WBbt:0006813; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; VB1 WBbt:0004643; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VB11 WBbt:0004623; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
