node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
206	[206] cluster pgal-1	WBGene00010982	flp-32	3958.98	0.716	True	RIC WBbt:0006834	PHC WBbt:0008446; MC neuron WBbt:0003638; URB WBbt:0006845; I5 neuron WBbt:0004740; URY WBbt:0005346; URA WBbt:0005225; AUA WBbt:0006817; RMH WBbt:0006843; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; VA10 WBbt:0004649; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; IL2VL WBbt:0004538; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; anterior ganglion WBbt:0005375; RIC WBbt:0006834; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; VA5 WBbt:0004864; M1 neuron WBbt:0004488; IL2DL WBbt:0004545; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; SAB WBbt:0005396; VA7 WBbt:0004860; VB1 WBbt:0004643; ALA WBbt:0003955; IL2DR WBbt:0004543; preanal ganglion WBbt:0005448
206	[206] cluster pgal-1	WBGene00019750	M03D4.3	1031.49	0.694	True	RIC WBbt:0006834	PVC WBbt:0005840; AIM WBbt:0006814; AVE WBbt:0006819; AVF WBbt:0003851; AVA WBbt:0005842; URA WBbt:0005225; AUA WBbt:0006817; IL1DR WBbt:0004737; RIB WBbt:0005834; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; RIP WBbt:0006838; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; RIH WBbt:0003928; IL1DL WBbt:0004738; PVT WBbt:0004070; ASE WBbt:0005663; preanal ganglion WBbt:0005448
206	[206] cluster pgal-1	WBGene00009107	txt-10	191.29	0.679	True	RIC WBbt:0006834	lateral ganglion right WBbt:0005101; RIC WBbt:0006834; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
206	[206] cluster pgal-1	WBGene00077599	T20F5.8	320.67	0.67	True	RIC WBbt:0006834	lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; RIC WBbt:0006834; ILshDL WBbt:0004533; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OL sheath cell WBbt:0008413; lateral ganglion left WBbt:0005103; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502
206	[206] cluster pgal-1	WBGene00017661	frpr-6	241.67	0.651	True	RIC WBbt:0006834	AS11 WBbt:0003905; URX WBbt:0006846; DD1 WBbt:0004839; AVJ WBbt:0006822; AIA WBbt:0006812; corpus WBbt:0003733; DD6 WBbt:0004824; VD12 WBbt:0004587; RIC WBbt:0006834; amphid sheath cell WBbt:0006754; ADA WBbt:0006811; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMG WBbt:0006842; PLM WBbt:0005490; epithelial system WBbt:0005730; AIB WBbt:0006813; PQR WBbt:0004096; AQR WBbt:0003927; nervous system WBbt:0005735; DD5 WBbt:0004825; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; AIN WBbt:0006815; RIM WBbt:0005835; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; RIH WBbt:0003928; SDQ WBbt:0006844; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; DD4 WBbt:0004826; RIR WBbt:0005047; preanal ganglion WBbt:0005448
206	[206] cluster pgal-1	WBGene00194692	T02C12.5	2417.47	0.604	True	RIC WBbt:0006834	SIB WBbt:0005359; SIA WBbt:0005361; AVA WBbt:0005842; AVJ WBbt:0006822; AWC-ON WBbt:0005832; CEP WBbt:0005244; VA1 WBbt:0004872; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; AVD WBbt:0006818; DVB WBbt:0004822; PHA WBbt:0007807; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; BAG WBbt:0006825; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; PVS WBbt:0007837; epithelial system WBbt:0005730; M1 neuron WBbt:0004488; AWA WBbt:0005670; SMB WBbt:0005355; VA3 WBbt:0004868; AS1 WBbt:0003925; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; uv3 WBbt:0006793; AVB WBbt:0005841; PVW WBbt:0008438; RIH WBbt:0003928; male WBbt:0007850; AWCL WBbt:0003827; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
206	[206] cluster pgal-1	WBGene00022302	Y76B12C.8	357.99	0.566	True	RIC WBbt:0006834	PHC WBbt:0008446; PVM WBbt:0004086; URX WBbt:0006846; AUA WBbt:0006817; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; ABalappaap WBbt:0006727; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVK WBbt:0006823; AVM WBbt:0003832; AIZ WBbt:0005836; AQR WBbt:0003927; RIP WBbt:0006838; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; PDA WBbt:0004386; RIH WBbt:0003928; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663; preanal ganglion WBbt:0005448
206	[206] cluster pgal-1	WBGene00009315	F32B4.5	959.72	0.56	False	RIC WBbt:0006834	PHC WBbt:0008446; SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; DA1 WBbt:0004871; VC5 WBbt:0004613; ADE WBbt:0005415; PVM WBbt:0004086; SIA WBbt:0005361; VD8 WBbt:0004597; DA8 WBbt:0004858; AVA WBbt:0005842; RMH WBbt:0006843; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; RIB WBbt:0005834; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; AS2 WBbt:0003924; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; M2 neuron WBbt:0003634; PVS WBbt:0007837; AS3 WBbt:0003923; DA3 WBbt:0004867; OLL WBbt:0006847; VA5 WBbt:0004864; PQR WBbt:0004096; I4 neuron WBbt:0004741; RMDL WBbt:0005037; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; I1 neuron WBbt:0003649; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; VD11 WBbt:0004589; outer labial lateral sensillum WBbt:0005503; VA9 WBbt:0004651; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VA7 WBbt:0004860; DA7 WBbt:0004859; DB5 WBbt:0004842; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
206	[206] cluster pgal-1	WBGene00020136	nlp-45	1475.16	0.541	False	RIC WBbt:0006834	ADE WBbt:0005415; URA WBbt:0005225; AVJ WBbt:0006822; postdeirid sensillum WBbt:0005471; RIA WBbt:0006833; CEP WBbt:0005244; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anterior ganglion WBbt:0005375; intestine WBbt:0005772; LUA WBbt:0008031; PVD WBbt:0006831; DVA WBbt:0004823; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; AIZ WBbt:0005836; AWA WBbt:0005670; outer labial lateral sensillum WBbt:0005503; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ABplapppapp WBbt:0005970; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABplppppaa WBbt:0006109; VB1 WBbt:0004643; intestinal muscle WBbt:0005796; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; RMDDL WBbt:0005039
206	[206] cluster pgal-1	WBGene00017671	pgal-1	4258.2	0.536	True	RIC WBbt:0006834	SMD WBbt:0005353; hook sensillum WBbt:0006930; RME WBbt:0005399; AIM WBbt:0006814; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; IL2L WBbt:0004541; DA1 WBbt:0004871; VC5 WBbt:0004613; I5 neuron WBbt:0004740; nociceptor neuron WBbt:0008434; K' cell WBbt:0004497; AVF WBbt:0003851; DA8 WBbt:0004858; URY WBbt:0005346; AVA WBbt:0005842; IL1VR WBbt:0004547; Psub1 WBbt:0006874; URX WBbt:0006846; AUA WBbt:0006817; RMH WBbt:0006843; AVJ WBbt:0006822; IL1R WBbt:0004551; I6 neuron WBbt:0004739; AWC-ON WBbt:0005832; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; RIB WBbt:0005834; AIA WBbt:0006812; AVL WBbt:0003843; DA4 WBbt:0004865; IL2VL WBbt:0004538; VC3 WBbt:0004618; AWC-OFF WBbt:0005833; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RIF WBbt:0006835; osmosensory neuron WBbt:0008433; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; DVB WBbt:0004822; ADA WBbt:0006811; Y cell WBbt:0004578; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; AVH WBbt:0006821; BAG WBbt:0006825; PVD WBbt:0006831; DVA WBbt:0004823; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; PLM WBbt:0005490; M2 neuron WBbt:0003634; PVS WBbt:0007837; DA3 WBbt:0004867; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; IL2DL WBbt:0004545; AQR WBbt:0003927; ray WBbt:0006941; DA2 WBbt:0004869; AWA WBbt:0005670; RMF WBbt:0006841; RMDVR WBbt:0005029; nervous system WBbt:0005735; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; VC1 WBbt:0004621; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; RIG WBbt:0006836; sex organ WBbt:0008422; uv3 WBbt:0006793; ASG WBbt:0005664; PVP WBbt:0006832; AVB WBbt:0005841; AWB WBbt:0005671; RIH WBbt:0003928; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; IL1L WBbt:0004553; VB11 WBbt:0004623; IL2DR WBbt:0004543; AIY WBbt:0005413; male WBbt:0007850; U cell WBbt:0004942; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
