node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2091	[2091] cluster sfrp-1	WBGene00022242	sfrp-1	2323.84	0.754	True	head muscle WBbt:0006761	MC neuron WBbt:0003638; M4 neuron WBbt:0004467; I5 neuron WBbt:0004740; GLR WBbt:0005176; ABprpaapap WBbt:0006105; VA10 WBbt:0004649; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; corpus WBbt:0003733; VA2 WBbt:0004870; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; VA5 WBbt:0004864; head muscle WBbt:0006761; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; ABplpaapap WBbt:0006556; VB3 WBbt:0004639; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; coelomic system WBbt:0005749; VA4 WBbt:0004866; VA7 WBbt:0004860; striated muscle WBbt:0005779; VB1 WBbt:0004643; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
2091	[2091] cluster sfrp-1	WBGene00002975	lev-8	298.93	0.706	True	head muscle WBbt:0006761	SIB WBbt:0005359; IL socket cell WBbt:0008418; SIA WBbt:0005361; DD1 WBbt:0004839; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; head muscle WBbt:0006761; DD5 WBbt:0004825; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; ALA WBbt:0003955; uv2 WBbt:0006792; uv1 WBbt:0006791; DD4 WBbt:0004826; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; preanal ganglion WBbt:0005448
2091	[2091] cluster sfrp-1	WBGene00007139	mnp-1	1253.36	0.607	True	head muscle WBbt:0006761	vm1 WBbt:0006917; GLR WBbt:0005176; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; gonadal primordium WBbt:0008366; head muscle WBbt:0006761; nervous system WBbt:0005735; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
2091	[2091] cluster sfrp-1	WBGene00006761	unc-24	800.43	0.598	False	head muscle WBbt:0006761	PHC WBbt:0008446; SMD WBbt:0005353; AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; DA1 WBbt:0004871; AS11 WBbt:0003905; PVM WBbt:0004086; GLR WBbt:0005176; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; DD1 WBbt:0004839; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; DA4 WBbt:0004865; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; DA3 WBbt:0004867; AIB WBbt:0006813; AVK WBbt:0006823; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; SMB WBbt:0005355; nervous system WBbt:0005735; DD5 WBbt:0004825; RIP WBbt:0006838; FLP WBbt:0006828; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; RID WBbt:0003938; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; RIH WBbt:0003928; intestinal muscle WBbt:0005796; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; DD4 WBbt:0004826; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803; DVC WBbt:0004821; preanal ganglion WBbt:0005448
2091	[2091] cluster sfrp-1	WBGene00018728	frpr-8	86.53	0.587	False	head muscle WBbt:0006761	SIB WBbt:0005359; SIA WBbt:0005361; URX WBbt:0006846; AUA WBbt:0006817; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; PQR WBbt:0004096; AQR WBbt:0003927; RIP WBbt:0006838; lateral ganglion left WBbt:0005103; PVP WBbt:0006832; ASE WBbt:0005663; preanal ganglion WBbt:0005448
2091	[2091] cluster sfrp-1	WBGene00009116	snx-27	389.96	0.5	False	head muscle WBbt:0006761	VC6 WBbt:0004611; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; MSaapaapa WBbt:0006494; epithelial system WBbt:0005730; g2 WBbt:0003710; oocyte WBbt:0006797; nervous system WBbt:0005735; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; germ line WBbt:0005784; VB1 WBbt:0004643; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
2091	[2091] cluster sfrp-1	WBGene00001434	fkh-2	437.95	0.489	True	head muscle WBbt:0006761	ABplpapapa WBbt:0005908; GLR WBbt:0005176; body wall WBbt:0005742; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; epithelial system WBbt:0005730; head muscle WBbt:0006761; ABprpapapa WBbt:0006487; ABplpaaaaa WBbt:0005893; SMB WBbt:0005355; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; striated muscle WBbt:0005779; AWB WBbt:0005671; MSaaaaapa WBbt:0006202; muscular system WBbt:0005737
2091	[2091] cluster sfrp-1	WBGene00007901	C33D9.8	93.33	0.435	False	head muscle WBbt:0006761	AVA WBbt:0005842; body wall WBbt:0005742; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; rectal muscle WBbt:0005803
2091	[2091] cluster sfrp-1	WBGene00000035	ace-1	167.96	0.412	False	head muscle WBbt:0006761	pm5 WBbt:0003737; vm1 WBbt:0006917; ADE WBbt:0005415; postdeirid sensillum WBbt:0005471; RIA WBbt:0006833; CEP WBbt:0005244; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; M cell WBbt:0004489; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; outer labial lateral sensillum WBbt:0005503; PDE WBbt:0006747; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; MSpppaaa WBbt:0005951; vm2 WBbt:0006918; sex organ WBbt:0008422; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2091	[2091] cluster sfrp-1	WBGene00206360	T13C5.10	26.36	0.409	False	head muscle WBbt:0006761	epithelial system WBbt:0005730
