node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2124	[2124] cluster B0310.3	WBGene00015139	B0310.3	230.97	0.618	False	male distal tip cell WBbt:0006864	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; head muscle WBbt:0006761; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; striated muscle WBbt:0005779; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2124	[2124] cluster B0310.3	WBGene00010453	fozi-1	132.32	0.491	False	male distal tip cell WBbt:0006864	DD1 WBbt:0004839; AVJ WBbt:0006822; AIA WBbt:0006812; body wall WBbt:0005742; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; AVD WBbt:0006818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; DD5 WBbt:0004825; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; AWCR WBbt:0003826; retrovesicular ganglion WBbt:0005656; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; DD4 WBbt:0004826; PVT WBbt:0004070; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
2124	[2124] cluster B0310.3	WBGene00011055	arrd-14	222.5	0.464	False	male distal tip cell WBbt:0006864	ABplpapapa WBbt:0005908; VC5 WBbt:0004613; ABplpppppp WBbt:0005960; MSpaaapa WBbt:0006241; AVL WBbt:0003843; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABprpppppp WBbt:0006430; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; ABprpapapa WBbt:0006487; somatic gonad WBbt:0005785; VC4 WBbt:0004617; pharyngeal-intestinal valve WBbt:0005767; vm2 WBbt:0006918; sex organ WBbt:0008422; uv3 WBbt:0006793; intestinal muscle WBbt:0005796; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; rectal muscle WBbt:0005803
2124	[2124] cluster B0310.3	WBGene00001841	hen-1	64.63	0.452	True	male distal tip cell WBbt:0006864	I5 neuron WBbt:0004740; Z1.p WBbt:0007023; AWC-ON WBbt:0005832; AIA WBbt:0006812; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; RIC WBbt:0006834; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; Z4.a WBbt:0007025; AWA WBbt:0005670; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; AIY WBbt:0005413; RIR WBbt:0005047; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2124	[2124] cluster B0310.3	WBGene00016465	C36B7.2	47.02	0.44	True	male distal tip cell WBbt:0006864	dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; reproductive tract WBbt:0005744
2124	[2124] cluster B0310.3	WBGene00018752	F53C3.8	36.37	0.432	True	male distal tip cell WBbt:0006864	dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; vulD WBbt:0006766; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; MSpppaaa WBbt:0005951; sex organ WBbt:0008422; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2124	[2124] cluster B0310.3	WBGene00000428	ceh-1	53.64	0.417	True	male distal tip cell WBbt:0006864	ABplpapppa WBbt:0006225; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; male distal tip cell WBbt:0006864; RIV WBbt:0006839; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; Z4.a WBbt:0007025; AVK WBbt:0006823; AWA WBbt:0005670; somatic gonad WBbt:0005785; dorso-rectal ganglion WBbt:0005212; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821
2124	[2124] cluster B0310.3	WBGene00007163	fbxa-154	68.2	0.302	True	male distal tip cell WBbt:0006864	gonad arm WBbt:0008629; ABplpppaaa WBbt:0006025; hermaphrodite distal tip cell WBbt:0006863; I5 neuron WBbt:0004740; MSpaapaa WBbt:0006032; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ABalppppaa WBbt:0006526; male distal tip cell WBbt:0006864; ABprpppaaa WBbt:0006063; AIZ WBbt:0005836; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ABpraaapaa WBbt:0006114; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2124	[2124] cluster B0310.3	WBGene00002246	lag-2	82.39	0.278	True	male distal tip cell WBbt:0006864	gonad arm WBbt:0008629; hook sensillum WBbt:0006930; linker cell WBbt:0005062; hermaphrodite distal tip cell WBbt:0006863; IL2L WBbt:0004541; OLQ WBbt:0006848; ADE WBbt:0005415; ABalapppaa WBbt:0006703; AVA WBbt:0005842; IL1VR WBbt:0004547; IL1R WBbt:0004551; P6.p WBbt:0006894; IL1DR WBbt:0004737; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; P6.pp WBbt:0006988; anterior ganglion WBbt:0005375; intestine WBbt:0005772; male distal tip cell WBbt:0006864; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; MSappp WBbt:0006125; P6.pa WBbt:0006987; epithelial system WBbt:0005730; OLL WBbt:0006847; IL2DL WBbt:0004545; P8.p WBbt:0006896; ray WBbt:0006941; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; P5.p WBbt:0006893; ABplpappaa WBbt:0006551; somatic gonad WBbt:0005785; IL1VL WBbt:0004549; P4.p WBbt:0006892; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; MSapp WBbt:0006036; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; P7.p WBbt:0006895; germ line WBbt:0005784; MSappa WBbt:0006717; IL1DL WBbt:0004738; IL1L WBbt:0004553; IL2DR WBbt:0004543; male WBbt:0007850; vulE WBbt:0006767; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; MSapa WBbt:0005898; P3.p WBbt:0006891
2124	[2124] cluster B0310.3	WBGene00000072	add-1	75.38	0.227	False	male distal tip cell WBbt:0006864	PVN WBbt:0008275; SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; AIM WBbt:0006814; VC6 WBbt:0004611; M4 neuron WBbt:0004467; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; excretory system WBbt:0005736; AVA WBbt:0005842; AVJ WBbt:0006822; ASJ WBbt:0005667; DB2 WBbt:0004845; ABprppppaa WBbt:0006642; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; DB6 WBbt:0004841; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; RMDVR WBbt:0005029; outer labial lateral sensillum WBbt:0005503; tail precursor cell WBbt:0008409; VC1 WBbt:0004621; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; DB3 WBbt:0004844; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; ABplppppaa WBbt:0006109; NSM WBbt:0003666; DB5 WBbt:0004842; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; RMDDL WBbt:0005039
