node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2223	[2223] cluster R12E2.15	WBGene00020040	R12E2.15	31550.96	0.625	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; intestine WBbt:0005772; vulF WBbt:0006768; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2223	[2223] cluster R12E2.15	WBGene00044479	F15E6.10	8222.55	0.62	False	tail hypodermis WBbt:0006978	epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; pharyngeal-intestinal valve WBbt:0005767; germline precursor cell WBbt:0006849; cephalic sheath cell WBbt:0008406
2223	[2223] cluster R12E2.15	WBGene00019527	K08D9.6	539.59	0.54	True	tail hypodermis WBbt:0006978	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2223	[2223] cluster R12E2.15	WBGene00011183	R09H10.6	1477.22	0.526	True	tail hypodermis WBbt:0006978	K' cell WBbt:0004497; AVJ WBbt:0006822; hyp1 WBbt:0004694; hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; lateral ganglion left WBbt:0005103; U cell WBbt:0004942
2223	[2223] cluster R12E2.15	WBGene00017524	F16G10.9	147.45	0.514	False	tail hypodermis WBbt:0006978	epithelial system WBbt:0005730
2223	[2223] cluster R12E2.15	WBGene00020952	kel-8	696.4	0.417	False	tail hypodermis WBbt:0006978	PVC WBbt:0005840; IL socket cell WBbt:0008418; AVE WBbt:0006819; AVF WBbt:0003851; ABalaaaarr WBbt:0006500; AVA WBbt:0005842; ABalaaaarl WBbt:0005945; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; intestine WBbt:0005772; AVD WBbt:0006818; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; AS2 WBbt:0003924; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; AS3 WBbt:0003923; epithelial system WBbt:0005730; nervous system WBbt:0005735; AS1 WBbt:0003925; VC1 WBbt:0004621; OL sheath cell WBbt:0008413; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; PDA WBbt:0004386; AVB WBbt:0005841; phasmid sheath cell WBbt:0006755; muscular system WBbt:0005737; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; head mesodermal cell WBbt:0004697; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
2223	[2223] cluster R12E2.15	WBGene00018945	F56C3.8	1059.65	0.386	True	tail hypodermis WBbt:0006978	rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; g2 WBbt:0003710; tail hypodermis WBbt:0006978; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; male WBbt:0007850
2223	[2223] cluster R12E2.15	WBGene00194803	C25F9.16	118.48	0.354	False	tail hypodermis WBbt:0006978	AIM WBbt:0006814; dorsal uterine cell WBbt:0006782; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2223	[2223] cluster R12E2.15	WBGene00006187	str-138	38.01	0.278	False	tail hypodermis WBbt:0006978	K' cell WBbt:0004497; Y cell WBbt:0004578; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; U cell WBbt:0004942
2223	[2223] cluster R12E2.15	WBGene00011712	T11F9.10	54.42	0.254	False	tail hypodermis WBbt:0006978	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; PLM WBbt:0005490; thermosensory neuron WBbt:0005838
