node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2244	[2244] cluster grd-13	WBGene00001702	grd-13	3829.1	0.767	False	B cell WBbt:0003825	corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; pharynx WBbt:0003681; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive system WBbt:0005747
2244	[2244] cluster grd-13	WBGene00011400	T03F6.4	438.3	0.654	True	B cell WBbt:0003825	K' cell WBbt:0004497; hyp1 WBbt:0004694; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; Y cell WBbt:0004578; PVD WBbt:0006831; CAN WBbt:0006827; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942
2244	[2244] cluster grd-13	WBGene00001713	grl-4	1894.16	0.559	True	B cell WBbt:0003825	hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; vulB2 WBbt:0006764; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; vulB1 WBbt:0006763; B cell WBbt:0003825; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747
2244	[2244] cluster grd-13	WBGene00009978	F53E4.1	353.98	0.53	True	B cell WBbt:0003825	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; ABpraapaaa WBbt:0005888; ABplpppppp WBbt:0005960; ABplaapaaa WBbt:0006069; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; spermatheca WBbt:0005319; VD12 WBbt:0004587; ABplppppap WBbt:0005919; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; ABprpppapa WBbt:0006044; pharynx WBbt:0003681; B cell WBbt:0003825; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; germ line WBbt:0005784; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; preanal ganglion WBbt:0005448
2244	[2244] cluster grd-13	WBGene00009257	F29G6.1	95.03	0.485	True	B cell WBbt:0003825	K' cell WBbt:0004497; AVJ WBbt:0006822; AIA WBbt:0006812; lateral ganglion right WBbt:0005101; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; lateral ganglion left WBbt:0005103; AIY WBbt:0005413; U cell WBbt:0004942; ASE WBbt:0005663
2244	[2244] cluster grd-13	WBGene00305157	T24H7.9	382.09	0.416	False	B cell WBbt:0003825	intestine WBbt:0005772; muscular system WBbt:0005737
2244	[2244] cluster grd-13	WBGene00044350	Y73B6BL.44	158.87	0.415	True	B cell WBbt:0003825	dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; B cell WBbt:0003825; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2244	[2244] cluster grd-13	WBGene00019511	lido-8	487.1	0.37	False	B cell WBbt:0003825	ABalappapa WBbt:0006412; SIB WBbt:0005359; GLR WBbt:0005176; SIA WBbt:0005361; excretory system WBbt:0005736; ABalapaaaa WBbt:0006002; Q cell WBbt:0008598; MSpaaaaa WBbt:0006363; intestine WBbt:0005772; ABalappaap WBbt:0006727; CAN WBbt:0006827; somatic nervous system WBbt:0005760; PLM WBbt:0005490; excretory cell WBbt:0005812; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; striated muscle WBbt:0005779; MSaaaaapa WBbt:0006202; muscular system WBbt:0005737; reproductive system WBbt:0005747; Caapa WBbt:0006123
2244	[2244] cluster grd-13	WBGene00007321	C05B5.4	78.49	0.33	False	B cell WBbt:0003825	ABalappapa WBbt:0006412; RME WBbt:0005399; IL socket cell WBbt:0008418; IL2L WBbt:0004541; AVE WBbt:0006819; AS11 WBbt:0003905; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; ABalaaaarr WBbt:0006500; DD1 WBbt:0004839; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; VA1 WBbt:0004872; ABalapaaaa WBbt:0006002; IL2VL WBbt:0004538; ADE sheath cell WBbt:0008411; MSpaaaaa WBbt:0006363; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABalappaap WBbt:0006727; PDB WBbt:0004385; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; ABalpappaa WBbt:0006051; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; IL2DL WBbt:0004545; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; K cell WBbt:0004499; retrovesicular ganglion WBbt:0005656; ABarapapaa WBbt:0006001; ABarpaaa WBbt:0006398; SAB WBbt:0005396; ABaraappaa WBbt:0006636; phasmid sheath cell WBbt:0006755; IL2DR WBbt:0004543; ADE socket cell WBbt:0008416; ABprppppap WBbt:0006439; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
2244	[2244] cluster grd-13	WBGene00020784	tat-4	192.57	0.305	False	B cell WBbt:0003825	gonad arm WBbt:0008629; pm8 WBbt:0004302; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; spermatheca WBbt:0005319; intestine WBbt:0005772; rectal gland cell WBbt:0005799; pharynx WBbt:0003681; coelomic system WBbt:0005749; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
