node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2255	[2255] cluster T02E9.5	WBGene00001045	dnj-27	759.79	0.791	True	ABaraappaa WBbt:0006636	pm5 WBbt:0003737; pm8 WBbt:0004302; excretory system WBbt:0005736; K' cell WBbt:0004497; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; ABprpapppa WBbt:0005972; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; g1AL WBbt:0004532; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; somatic gonad WBbt:0005785; pharynx WBbt:0003681; K cell WBbt:0004499; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABarapapaa WBbt:0006001; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; germ line WBbt:0005784; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744
2255	[2255] cluster T02E9.5	WBGene00011383	T02E9.5	4446.76	0.762	True	ABaraappaa WBbt:0006636	ABalpppappp WBbt:0006623; SMD WBbt:0005353; MC neuron WBbt:0003638; RME WBbt:0005399; pm5 WBbt:0003737; VC6 WBbt:0004611; ABplpaappa WBbt:0006670; DA1 WBbt:0004871; VC5 WBbt:0004613; ABprpaappa WBbt:0005940; I5 neuron WBbt:0004740; MSpaaapa WBbt:0006241; SIA WBbt:0005361; ABplpapppa WBbt:0006225; MSaapapa WBbt:0006323; AVA WBbt:0005842; mc1 WBbt:0003709; Psub1 WBbt:0006874; AVJ WBbt:0006822; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; ABpraaaappp WBbt:0006247; VA1 WBbt:0004872; AVL WBbt:0003843; ABarapappa WBbt:0006309; ABprppppaa WBbt:0006642; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; pm7 WBbt:0003721; ADF WBbt:0005660; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; DVB WBbt:0004822; g1AL WBbt:0004532; ABpraapapa WBbt:0005872; VA12 WBbt:0004645; ABaraapppaa WBbt:0006566; AVH WBbt:0006821; PVD WBbt:0006831; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; PLM WBbt:0005490; M2 neuron WBbt:0003634; pm4 WBbt:0003739; ABprapppaa WBbt:0006234; ABalpappaa WBbt:0006051; g1P WBbt:0004528; MSaapaapa WBbt:0006494; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; ABpraaapppa WBbt:0006009; g2 WBbt:0003710; ABplapppaa WBbt:0005935; AVK WBbt:0006823; I4 neuron WBbt:0004741; AVM WBbt:0003832; ABalaapppa WBbt:0006026; AWA WBbt:0005670; I1 neuron WBbt:0003649; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; VC1 WBbt:0004621; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ABalpppapa WBbt:0005930; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; VC4 WBbt:0004617; RIS WBbt:0005045; ABarapapaa WBbt:0006001; RID WBbt:0003938; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; PVP WBbt:0006832; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; PVW WBbt:0008438; pm6 WBbt:0003724; VB1 WBbt:0004643; AWB WBbt:0005671; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; NSM WBbt:0003666; I3 neuron WBbt:0004742; pm3 WBbt:0003740; PVT WBbt:0004070; RIR WBbt:0005047; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
2255	[2255] cluster T02E9.5	WBGene00045379	C45B11.6	1334.46	0.714	True	ABaraappaa WBbt:0006636	pm5 WBbt:0003737; dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; MSaapapa WBbt:0006323; AVA WBbt:0005842; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; ABarapappa WBbt:0006309; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; ABalpapppa WBbt:0006701; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; ABarapapaa WBbt:0006001; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2255	[2255] cluster T02E9.5	WBGene00016549	C40A11.6	593.21	0.697	True	ABaraappaa WBbt:0006636	ABalpppappp WBbt:0006623; ABalappapa WBbt:0006412; RME WBbt:0005399; ABpraaapppp WBbt:0005931; ABplapaaaap WBbt:0006592; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ABprpaappa WBbt:0005940; GLR WBbt:0005176; MSpaaapa WBbt:0006241; ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; ABprapaaapa WBbt:0006633; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABpraaaappp WBbt:0006247; ABarapappa WBbt:0006309; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; Q cell WBbt:0008598; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; ABalappaap WBbt:0006727; ABpraapapa WBbt:0005872; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABalpppppa WBbt:0006638; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; ABpraaapppa WBbt:0006009; ABprppaaaap WBbt:0006283; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; ABalaapppa WBbt:0006026; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; ABplaapappp WBbt:0006387; ABprpppaapa WBbt:0006549; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; ABarapapaa WBbt:0006001; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABplppaaaap WBbt:0006414; ABalppppppa WBbt:0006166; ABaraappaa WBbt:0006636; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; MSaaaaapa WBbt:0006202; ALA WBbt:0003955; ABplapaaapa WBbt:0006061; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732; cephalic sheath cell WBbt:0008406
2255	[2255] cluster T02E9.5	WBGene00006543	tbx-2	1010.24	0.695	False	ABaraappaa WBbt:0006636	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; anal region WBbt:0006919; MC neuron WBbt:0003638; hook sensillum WBbt:0006930; RME WBbt:0005399; pm5 WBbt:0003737; IL2L WBbt:0004541; ADE WBbt:0005415; pm8 WBbt:0004302; I5 neuron WBbt:0004740; GLR WBbt:0005176; excretory system WBbt:0005736; AVA WBbt:0005842; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; mc2 WBbt:0003708; ABpraaaappp WBbt:0006247; IL2VL WBbt:0004538; Q cell WBbt:0008598; corpus WBbt:0003733; ABprapaaaa WBbt:0006648; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; intestine WBbt:0005772; LUA WBbt:0008031; AVD WBbt:0006818; PHA WBbt:0007807; AVH WBbt:0006821; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; RMG WBbt:0006842; PLM WBbt:0005490; M2 neuron WBbt:0003634; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; M1 neuron WBbt:0004488; IL2DL WBbt:0004545; ray WBbt:0006941; I1 neuron WBbt:0003649; midbody WBbt:0005740; M5 neuron WBbt:0004465; ABplapaaap WBbt:0006317; outer labial lateral sensillum WBbt:0005503; AWCR WBbt:0003826; PDE WBbt:0006747; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ABplapppapp WBbt:0005970; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ALN WBbt:0006851; sex organ WBbt:0008422; AVB WBbt:0005841; PVW WBbt:0008438; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABplapappp WBbt:0006630; MSaaaaapa WBbt:0006202; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; IL2DR WBbt:0004543; ABprapappp WBbt:0006587; pm3 WBbt:0003740; male WBbt:0007850; ABpraaapapa WBbt:0006404; AWCL WBbt:0003827; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive system WBbt:0005747
2255	[2255] cluster T02E9.5	WBGene00022236	Y73B6BL.12	127.44	0.683	False	ABaraappaa WBbt:0006636	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive system WBbt:0005747
2255	[2255] cluster T02E9.5	WBGene00019317	rabr-1	1055.47	0.672	True	ABaraappaa WBbt:0006636	SIB WBbt:0005359; DA6 WBbt:0004861; pm5 WBbt:0003737; OLQ WBbt:0006848; ADE WBbt:0005415; I5 neuron WBbt:0004740; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; AVF WBbt:0003851; ABalaaaarr WBbt:0006500; CEPsoDR WBbt:0004919; DA8 WBbt:0004858; CEPsoVR WBbt:0004917; mc1 WBbt:0003709; ABalppappp WBbt:0006694; ABalaaaarl WBbt:0005945; ABplpaaapp WBbt:0005877; CEP WBbt:0005244; ABprpapppa WBbt:0005972; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; anchor cell WBbt:0004522; G cell WBbt:0008599; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; ABalaapppp WBbt:0006461; ABalappaap WBbt:0006727; PHB WBbt:0007808; g1AL WBbt:0004532; PHA WBbt:0007807; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; g1P WBbt:0004528; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; RMDL WBbt:0005037; AQR WBbt:0003927; pm2 WBbt:0003742; ABalapapap WBbt:0005910; CEPsoVL WBbt:0004918; ABplpaaaaa WBbt:0005893; nervous system WBbt:0005735; ABalappppa WBbt:0006133; FLP WBbt:0006828; somatic gonad WBbt:0005785; ABprpaaaaa WBbt:0006027; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; K cell WBbt:0004499; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; ABarapapaa WBbt:0006001; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; DA7 WBbt:0004859; W cell WBbt:0004583; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
2255	[2255] cluster T02E9.5	WBGene00012899	Y46G5A.7	957.45	0.645	True	ABaraappaa WBbt:0006636	ABplaapaap WBbt:0006518; pm5 WBbt:0003737; dorsal uterine cell WBbt:0006782; ABpraapaaa WBbt:0005888; ABplpaappa WBbt:0006670; ABplpppppp WBbt:0005960; pm8 WBbt:0004302; ABprpaappa WBbt:0005940; ABplpapppa WBbt:0006225; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; mc1 WBbt:0003709; ABprpaapap WBbt:0006105; ABalppappa WBbt:0005975; Z1.p WBbt:0007023; ABalaaaarl WBbt:0005945; ABplaapaaa WBbt:0006069; vulD WBbt:0006766; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; pm7 WBbt:0003721; anchor cell WBbt:0004522; MSpaaaaa WBbt:0006363; intestine WBbt:0005772; ABarappppa WBbt:0006687; male distal tip cell WBbt:0006864; ABalappaap WBbt:0006727; ABarappaap WBbt:0006103; gonadal primordium WBbt:0008366; vulF WBbt:0006768; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; vulC WBbt:0006765; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; midbody WBbt:0005740; ABplpaaaaa WBbt:0005893; ABplpappaa WBbt:0006551; ABplpaapap WBbt:0006556; somatic gonad WBbt:0005785; ABprpppapa WBbt:0006044; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; vulB1 WBbt:0006763; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABalpppapa WBbt:0005930; ABarapapaa WBbt:0006001; pharyngeal-intestinal valve WBbt:0005767; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABaraappaa WBbt:0006636; germ line WBbt:0005784; striated muscle WBbt:0005779; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; pm3 WBbt:0003740; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373; head mesodermal cell WBbt:0004697; ABalaapaaa WBbt:0006732
2255	[2255] cluster T02E9.5	WBGene00018561	gadr-3	134.4	0.643	True	ABaraappaa WBbt:0006636	pm5 WBbt:0003737; ABplpppaaa WBbt:0006025; MSpaaapa WBbt:0006241; ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; mc1 WBbt:0003709; ABprpaapap WBbt:0006105; ABalppappa WBbt:0005975; ABalaaaarl WBbt:0005945; mc2 WBbt:0003708; ABarapappa WBbt:0006309; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; MSpapaapa WBbt:0006627; ABalpapppa WBbt:0006701; ABarappppa WBbt:0006687; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; pm4 WBbt:0003739; ABprpppaaa WBbt:0006063; ABalpappaa WBbt:0006051; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; oocyte WBbt:0006797; ABplpaapap WBbt:0006556; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABarapapaa WBbt:0006001; ABplpaaaap WBbt:0006528; ABaraappaa WBbt:0006636; germ line WBbt:0005784; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747
2255	[2255] cluster T02E9.5	WBGene00012900	Y46G5A.8	409.11	0.634	True	ABaraappaa WBbt:0006636	ABalappapa WBbt:0006412; ABplaapaap WBbt:0006518; pm5 WBbt:0003737; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ADE WBbt:0005415; pm8 WBbt:0004302; ABprpaappa WBbt:0005940; GLR WBbt:0005176; MSpaaapa WBbt:0006241; nociceptor neuron WBbt:0008434; ABplpapppa WBbt:0006225; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; mc1 WBbt:0003709; ABprpaapap WBbt:0006105; ASJ WBbt:0005667; Z1.p WBbt:0007023; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABplaapaaa WBbt:0006069; CEP WBbt:0005244; ABarapappa WBbt:0006309; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; ADF WBbt:0005660; MSpaaaaa WBbt:0006363; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; male distal tip cell WBbt:0006864; PHB WBbt:0007808; ABpraapapa WBbt:0005872; ABarappaap WBbt:0006103; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; Z4.a WBbt:0007025; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABalaapppa WBbt:0006026; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; FLP WBbt:0006828; ABplpaapap WBbt:0006556; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; PDE WBbt:0006747; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABalpppapa WBbt:0005930; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABarapapaa WBbt:0006001; ADL WBbt:0005661; pharyngeal-intestinal valve WBbt:0005767; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABaraappaa WBbt:0006636; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraapaap WBbt:0006373; head mesodermal cell WBbt:0004697; ABalaapaaa WBbt:0006732
