node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2256	[2256] cluster chtb-1	WBGene00008146	C47E8.9	853.92	0.815	True	pm1 WBbt:0003744	M4 neuron WBbt:0004467; I6 neuron WBbt:0004739; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00012306	W06F12.2	2079.21	0.813	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; XXX cell WBbt:0007855; pm5 WBbt:0003737; VB5 WBbt:0004637; IL2L WBbt:0004541; VB7 WBbt:0004631; vm1 WBbt:0006917; Psub1 WBbt:0006874; I6 neuron WBbt:0004739; mc2 WBbt:0003708; DB2 WBbt:0004845; DA5 WBbt:0004863; VA1 WBbt:0004872; hyp1 WBbt:0004694; hyp2 WBbt:0004692; DA4 WBbt:0004865; IL2VL WBbt:0004538; ABprppppaa WBbt:0006642; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; VB9 WBbt:0004627; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; g1AL WBbt:0004532; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; DA3 WBbt:0004867; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; g2 WBbt:0003710; IL2DL WBbt:0004545; pm2 WBbt:0003742; DA2 WBbt:0004869; nervous system WBbt:0005735; AS1 WBbt:0003925; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; VB6 WBbt:0004633; posterior arcade cell WBbt:0005795; IL2VR WBbt:0004537; pharyngeal-intestinal valve WBbt:0005767; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABplppppaa WBbt:0006109; IL2DR WBbt:0004543; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2256	[2256] cluster chtb-1	WBGene00001136	eat-5	689.86	0.803	False	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; pm8 WBbt:0004302; K' cell WBbt:0004497; mc1 WBbt:0003709; AVJ WBbt:0006822; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; ABplpappaa WBbt:0006551; SAA WBbt:0005397; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00006666	twk-11	1590.4	0.802	False	pm1 WBbt:0003744	MC neuron WBbt:0003638; RME WBbt:0005399; pm5 WBbt:0003737; AUA WBbt:0006817; AVL WBbt:0003843; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; DVB WBbt:0004822; PDE socket cell WBbt:0008421; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; pm6 WBbt:0003724; AWB WBbt:0005671; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2256	[2256] cluster chtb-1	WBGene00020378	T09B4.4	1804.09	0.787	True	pm1 WBbt:0003744	pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm1 WBbt:0003744; intestine WBbt:0005772; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00044150	VB0395L.1	228.21	0.784	False	pm1 WBbt:0003744	RME WBbt:0005399; pm5 WBbt:0003737; AVL WBbt:0003843; corpus WBbt:0003733; anterior ganglion WBbt:0005375; DVB WBbt:0004822; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; pm3 WBbt:0003740; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00004104	pqn-13	3446.81	0.777	True	pm1 WBbt:0003744	pm5 WBbt:0003737; pm8 WBbt:0004302; corpus WBbt:0003733; pm1 WBbt:0003744; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; SDQ WBbt:0006844; posterior lateral ganglion WBbt:0005465; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2256	[2256] cluster chtb-1	WBGene00002983	lgx-1	1372.15	0.775	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; RME WBbt:0005399; somatic cell WBbt:0008378; mc1 WBbt:0003709; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; CAN WBbt:0006827; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; g2 WBbt:0003710; AIZ WBbt:0005836; pm2 WBbt:0003742; I1 neuron WBbt:0003649; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; I3 neuron WBbt:0004742; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00000497	chs-2	1380.46	0.773	True	pm1 WBbt:0003744	pm5 WBbt:0003737; AIA WBbt:0006812; corpus WBbt:0003733; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pm3 WBbt:0003740; muscular system WBbt:0005737
2256	[2256] cluster chtb-1	WBGene00018215	igcm-1	650.11	0.768	False	pm1 WBbt:0003744	hyp6 WBbt:0004679; pm5 WBbt:0003737; ABalaappppa WBbt:0006560; ABpraaapppp WBbt:0005931; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; OLQ WBbt:0006848; ABalappppaa WBbt:0006522; AS11 WBbt:0003905; HSN WBbt:0006830; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; AVA WBbt:0005842; CEPsoVR WBbt:0004917; mc1 WBbt:0003709; ABalppappp WBbt:0006694; postdeirid sensillum WBbt:0005471; ABalppapppa WBbt:0006463; mc2 WBbt:0003708; RIB WBbt:0005834; vulD WBbt:0006766; VA1 WBbt:0004872; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalaapppp WBbt:0006461; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABpraapapa WBbt:0005872; PDB WBbt:0004385; VA12 WBbt:0004645; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; vulC WBbt:0006765; ABpraaappa WBbt:0006483; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; hyp12 WBbt:0004376; ABpraaapppa WBbt:0006009; ABalppppppp WBbt:0006599; ABarapppppa WBbt:0006203; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; AWA WBbt:0005670; midbody WBbt:0005740; ABplpaaaaa WBbt:0005893; VA3 WBbt:0004868; ABalapappaa WBbt:0006542; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; outer labial lateral sensillum WBbt:0005503; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; mc3 WBbt:0003707; excretory duct cell WBbt:0004540; dorso-rectal ganglion WBbt:0005212; ABalpppapa WBbt:0005930; ABplaapapa WBbt:0006120; posterior arcade cell WBbt:0005795; ABpraapappp WBbt:0005862; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; SAB WBbt:0005396; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AVB WBbt:0005841; hyp3 WBbt:0004690; AWB WBbt:0005671; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
