node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2257	[2257] cluster idpc-4	WBGene00010319	F59B10.3	10689.43	0.858	True	pm6 WBbt:0003724	pm5 WBbt:0003737; mc1 WBbt:0003709; mc2 WBbt:0003708; RIB WBbt:0005834; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ABprppppaa WBbt:0006642; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; intestine WBbt:0005772; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; I4 neuron WBbt:0004741; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; PVP WBbt:0006832; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
2257	[2257] cluster idpc-4	WBGene00000034	abu-11	10990.68	0.829	False	pm6 WBbt:0003724	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; g1AL WBbt:0004532; g1AR WBbt:0004530; somatic gonad WBbt:0005785; pharynx WBbt:0003681; muscular system WBbt:0005737; reproductive tract WBbt:0005744
2257	[2257] cluster idpc-4	WBGene00077691	idpc-4	23460.96	0.793	False	pm6 WBbt:0003724	intestine WBbt:0005772; epithelial system WBbt:0005730; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00004156	pqn-74	13213.99	0.779	True	pm6 WBbt:0003724	MC neuron WBbt:0003638; IL socket cell WBbt:0008418; mc2 WBbt:0003708; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00016915	idpp-11	2353.99	0.739	True	pm6 WBbt:0003724	corpus WBbt:0003733; pm1 WBbt:0003744; pm4 WBbt:0003739; g1P WBbt:0004528; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00022782	ZK622.4	866.29	0.703	True	pm6 WBbt:0003724	pm5 WBbt:0003737; pm8 WBbt:0004302; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; DB6 WBbt:0004841; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; DB7 WBbt:0004840; pm2 WBbt:0003742; pharynx WBbt:0003681; DB4 WBbt:0004843; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; DB3 WBbt:0004844; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; DB5 WBbt:0004842; pm3 WBbt:0003740; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00016898	clik-2	5919.74	0.685	True	pm6 WBbt:0003724	XXX cell WBbt:0007855; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00003527	nas-8	728.24	0.669	True	pm6 WBbt:0003724	I5 neuron WBbt:0004740; excretory system WBbt:0005736; hyp2 WBbt:0004692; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; epithelial system WBbt:0005730; AIZ WBbt:0005836; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; phasmid sheath cell WBbt:0006755; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737
2257	[2257] cluster idpc-4	WBGene00011536	idpc-6	5380.77	0.668	False	pm6 WBbt:0003724	corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2257	[2257] cluster idpc-4	WBGene00011081	R07B1.9	487.88	0.644	True	pm6 WBbt:0003724	excretory system WBbt:0005736; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm7 WBbt:0003721; MSpapaapa WBbt:0006627; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; muscular system WBbt:0005737
