node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2260	[2260] cluster ZK675.4	WBGene00014067	ZK675.4	98942.35	0.905	True	rectal gland cell WBbt:0005799	PHC WBbt:0008446; PVM WBbt:0004086; K' cell WBbt:0004497; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; AVM WBbt:0003832; RIP WBbt:0006838; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942
2260	[2260] cluster ZK675.4	WBGene00206462	B0391.14	1307.81	0.82	True	rectal gland cell WBbt:0005799	VA1 WBbt:0004872; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; VA3 WBbt:0004868; tail precursor cell WBbt:0008409; retrovesicular ganglion WBbt:0005656; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; SAB WBbt:0005396; preanal ganglion WBbt:0005448; ABpraaappp WBbt:0006194
2260	[2260] cluster ZK675.4	WBGene00271606	F22F4.9	3371.96	0.801	True	rectal gland cell WBbt:0005799	K' cell WBbt:0004497; mc1 WBbt:0003709; mc2 WBbt:0003708; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; pm3 WBbt:0003740; U cell WBbt:0004942; PVT WBbt:0004070; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
2260	[2260] cluster ZK675.4	WBGene00004211	ptd-2	304.55	0.741	True	rectal gland cell WBbt:0005799	Z1.p WBbt:0007023; anterior ganglion WBbt:0005375; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; Z4.a WBbt:0007025; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
2260	[2260] cluster ZK675.4	WBGene00206364	C07A12.18	1124.78	0.732	True	rectal gland cell WBbt:0005799	ABpraapaaa WBbt:0005888; ABplaapaaa WBbt:0006069; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; posterior arcade cell WBbt:0005795; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; uv1 WBbt:0006791; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2260	[2260] cluster ZK675.4	WBGene00016769	C49C8.5	2282.44	0.717	False	rectal gland cell WBbt:0005799	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ADA WBbt:0006811; somatic nervous system WBbt:0005760; AIZ WBbt:0005836; RID WBbt:0003938; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2260	[2260] cluster ZK675.4	WBGene00007414	C07E3.3	855.99	0.71	True	rectal gland cell WBbt:0005799	excretory system WBbt:0005736; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABarppaapp WBbt:0006393; ABarpppapp WBbt:0006572; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2260	[2260] cluster ZK675.4	WBGene00022216	fbxa-16	257.88	0.682	True	rectal gland cell WBbt:0005799	corpus WBbt:0003733; rectal gland cell WBbt:0005799; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; pharynx WBbt:0003681; ABalpppppp WBbt:0006396; NSM WBbt:0003666; ABpraaappp WBbt:0006194
2260	[2260] cluster ZK675.4	WBGene00012823	Y43F8B.13	629.87	0.671	False	rectal gland cell WBbt:0005799	I5 neuron WBbt:0004740; intestine WBbt:0005772; pharynx WBbt:0003681; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2260	[2260] cluster ZK675.4	WBGene00016759	C49A9.5	487.86	0.67	True	rectal gland cell WBbt:0005799	intestine WBbt:0005772; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; FLP WBbt:0006828; rectal valve cell WBbt:0005797; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
