node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
230	[230] cluster phat-5	WBGene00020242	phat-5	51708.4	0.829	True	g1AL WBbt:0004532	intestine WBbt:0005772; g1AL WBbt:0004532; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; ALM WBbt:0005406
230	[230] cluster phat-5	WBGene00044316	F41G3.21	19228.31	0.815	True	g1AL WBbt:0004532	g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707
230	[230] cluster phat-5	WBGene00017308	F09F9.3	667.55	0.767	True	g1AL WBbt:0004532	hermaphrodite WBbt:0007849; MSpapaapa WBbt:0006627; intestine WBbt:0005772; g1AL WBbt:0004532; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
230	[230] cluster phat-5	WBGene00010948	M195.2	5065.44	0.749	True	g1AL WBbt:0004532	MC neuron WBbt:0003638; DA6 WBbt:0004861; DA1 WBbt:0004871; DA8 WBbt:0004858; M3 neuron WBbt:0003754; DA5 WBbt:0004863; DA4 WBbt:0004865; corpus WBbt:0003733; g1AL WBbt:0004532; DA9 WBbt:0004857; somatic nervous system WBbt:0005760; g1AR WBbt:0004530; DA3 WBbt:0004867; RMDL WBbt:0005037; DA2 WBbt:0004869; SMB WBbt:0005355; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; RID WBbt:0003938; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; DA7 WBbt:0004859; preanal ganglion WBbt:0005448
230	[230] cluster phat-5	WBGene00010917	M110.9	3390.98	0.721	True	g1AL WBbt:0004532	ABalaappppa WBbt:0006560; IL2L WBbt:0004541; OLQ WBbt:0006848; ABalappppaa WBbt:0006522; ADE WBbt:0005415; ABalppappp WBbt:0006694; ABalppapppa WBbt:0006463; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; ABalaapppp WBbt:0006461; PHB WBbt:0007808; g1AL WBbt:0004532; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABalapaapp WBbt:0006504; g1P WBbt:0004528; g1AR WBbt:0004530; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; AQR WBbt:0003927; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABalapaappa WBbt:0006196; PDE WBbt:0006747; pharynx WBbt:0003681; PVR WBbt:0004072; coelomic system WBbt:0005749; IL2VR WBbt:0004537; MSpppaaa WBbt:0005951; IL2DR WBbt:0004543; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
230	[230] cluster phat-5	WBGene00001720	grl-11	5004.64	0.692	True	g1AL WBbt:0004532	K' cell WBbt:0004497; MSaapapa WBbt:0006323; MSpaapaa WBbt:0006032; ABarapappa WBbt:0006309; corpus WBbt:0003733; MSpapaapa WBbt:0006627; ABalpapppa WBbt:0006701; Y cell WBbt:0004578; g1AL WBbt:0004532; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; posterior arcade cell WBbt:0005795; ABarapapaa WBbt:0006001; pm6 WBbt:0003724; NSM WBbt:0003666; U cell WBbt:0004942; muscular system WBbt:0005737
230	[230] cluster phat-5	WBGene00019226	idpp-6	913.36	0.687	False	g1AL WBbt:0004532	SMD WBbt:0005353; AVA WBbt:0005842; RIB WBbt:0005834; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; epithelial system WBbt:0005730; g2 WBbt:0003710; RMDL WBbt:0005037; AIZ WBbt:0005836; RMDVR WBbt:0005029; pharynx WBbt:0003681; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; AIY WBbt:0005413; RMDDL WBbt:0005039
230	[230] cluster phat-5	WBGene00219449	Y38A10A.11	326.7	0.679	True	g1AL WBbt:0004532	MC neuron WBbt:0003638; XXX cell WBbt:0007855; ILshDR WBbt:0004531; IL socket cell WBbt:0008418; M4 neuron WBbt:0004467; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; g1AL WBbt:0004532; ILshL WBbt:0004529; amphid socket cell WBbt:0008379; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; ILshVL WBbt:0004525; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527
230	[230] cluster phat-5	WBGene00003532	nas-13	891.75	0.669	False	g1AL WBbt:0004532	hyp6 WBbt:0004679; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; IL2L WBbt:0004541; ADE WBbt:0005415; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; ILshL WBbt:0004529; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; excretory cell WBbt:0005812; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; PDE WBbt:0006747; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
230	[230] cluster phat-5	WBGene00017424	F13C5.3	1460.33	0.658	False	g1AL WBbt:0004532	ABprppppaa WBbt:0006642; anterior ganglion WBbt:0005375; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; nervous system WBbt:0005735; ABplppppaa WBbt:0006109
