node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
236	[236] cluster pat-10	WBGene00020808	clik-1	20502.55	0.871	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00003495	mup-2	3992.16	0.857	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00006754	unc-15	5196.51	0.845	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00001000	dim-1	2209.45	0.821	True	ventral left quadrant body wall muscle WBbt:0005818	gonad arm WBbt:0008629; body wall WBbt:0005742; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
236	[236] cluster pat-10	WBGene00003934	pat-10	54711.28	0.808	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
236	[236] cluster pat-10	WBGene00006452	heh-1	869.79	0.803	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; epithelial system WBbt:0005730; head muscle WBbt:0006761; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
236	[236] cluster pat-10	WBGene00000779	cpn-3	19932.86	0.787	True	ventral left quadrant body wall muscle WBbt:0005818	anal region WBbt:0006919; vm1 WBbt:0006917; excretory system WBbt:0005736; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; midbody WBbt:0005740; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; anal sphincter muscle WBbt:0005798; excretory gland cell WBbt:0005776; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00006824	unc-95	393.9	0.783	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; VC5 WBbt:0004613; body wall WBbt:0005742; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; M5 neuron WBbt:0004465; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; posterior arcade cell WBbt:0005795; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; CEPsoDL WBbt:0004921; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00006984	zig-7	567.38	0.776	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; Psub1 WBbt:0006874; AIA WBbt:0006812; body wall WBbt:0005742; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; gonadal primordium WBbt:0008366; head muscle WBbt:0006761; pharynx WBbt:0003681; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
236	[236] cluster pat-10	WBGene00002978	lev-11	18348.52	0.773	True	ventral left quadrant body wall muscle WBbt:0005818	gonad arm WBbt:0008629; pm5 WBbt:0003737; VC6 WBbt:0004611; vm1 WBbt:0006917; pm8 WBbt:0004302; VD5 WBbt:0004601; body wall WBbt:0005742; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; spermatheca WBbt:0005319; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; VD4 WBbt:0004603; somatic nervous system WBbt:0005760; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; head muscle WBbt:0006761; VD7 WBbt:0004598; pm2 WBbt:0003742; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VD6 WBbt:0004599; pharynx WBbt:0003681; ALM WBbt:0005406; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; VD3 WBbt:0004605; pharyngeal epithelial cell WBbt:0005459; anal sphincter muscle WBbt:0005798; pharyngeal-intestinal valve WBbt:0005767; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; pm6 WBbt:0003724; intestinal muscle WBbt:0005796; NSM WBbt:0003666; uterine muscle WBbt:0005342; pm3 WBbt:0003740; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
236	[236] cluster pat-10	WBGene00006794	unc-60	1200.52	0.768	False	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; Psub1 WBbt:0006874; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; intestine WBbt:0005772; somatic nervous system WBbt:0005760; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; nervous system WBbt:0005735; somatic gonad WBbt:0005785; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
236	[236] cluster pat-10	WBGene00018407	F44B9.2	238.12	0.762	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PLM WBbt:0005490; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747
236	[236] cluster pat-10	WBGene00016210	C29F5.1	2535.27	0.744	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; GLR WBbt:0005176; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; nervous system WBbt:0005735; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
