node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
237	[237] cluster rpl-12	WBGene00006924	vig-1	1138.42	0.855	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; vulD WBbt:0006766; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
237	[237] cluster rpl-12	WBGene00013766	prmt-1	933.77	0.835	True	germ line WBbt:0005784	dorsal uterine cell WBbt:0006782; vulD WBbt:0006766; ABarapappa WBbt:0006309; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABalpapppa WBbt:0006701; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; M cell WBbt:0004489; epithelial system WBbt:0005730; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; Caapa WBbt:0006123
237	[237] cluster rpl-12	WBGene00000883	cyn-7	3970.21	0.829	True	germ line WBbt:0005784	PVC WBbt:0005840; MC neuron WBbt:0003638; gonad arm WBbt:0008629; I5 neuron WBbt:0004740; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; I4 neuron WBbt:0004741; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; sex organ WBbt:0008422; SAB WBbt:0005396; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
237	[237] cluster rpl-12	WBGene00004433	rpl-21	5296.39	0.819	True	germ line WBbt:0005784	gonad arm WBbt:0008629; XXX cell WBbt:0007855; hermaphrodite distal tip cell WBbt:0006863; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
237	[237] cluster rpl-12	WBGene00004488	rps-19	4747.47	0.818	True	germ line WBbt:0005784	AS7 WBbt:0003909; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; excretory system WBbt:0005736; URX WBbt:0006846; AS4 WBbt:0003912; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; ADA WBbt:0006811; male distal tip cell WBbt:0006864; AS8 WBbt:0003908; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; AS5 WBbt:0003911; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; AS6 WBbt:0003910; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
237	[237] cluster rpl-12	WBGene00004449	rpl-35	4638.57	0.814	True	germ line WBbt:0005784	MC neuron WBbt:0003638; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; IL2L WBbt:0004541; excretory system WBbt:0005736; VB2 WBbt:0004641; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PDB WBbt:0004385; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; M2 neuron WBbt:0003634; M cell WBbt:0004489; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; I1 neuron WBbt:0003649; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; germ line WBbt:0005784; RIH WBbt:0003928; I3 neuron WBbt:0004742; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
237	[237] cluster rpl-12	WBGene00004426	rpl-14	3448.05	0.812	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; excretory system WBbt:0005736; Psub1 WBbt:0006874; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PVD WBbt:0006831; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; epithelial system WBbt:0005730; OLL WBbt:0006847; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; germ line WBbt:0005784; VB1 WBbt:0004643; RIH WBbt:0003928; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
237	[237] cluster rpl-12	WBGene00004481	rps-12	4576.2	0.812	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; ADE WBbt:0005415; excretory system WBbt:0005736; Psub1 WBbt:0006874; URX WBbt:0006846; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMG WBbt:0006842; excretory cell WBbt:0005812; M cell WBbt:0004489; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; RID WBbt:0003938; excretory gland cell WBbt:0005776; RIG WBbt:0006836; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744
237	[237] cluster rpl-12	WBGene00004432	rpl-20	4897.06	0.811	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; vulD WBbt:0006766; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; PDB WBbt:0004385; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; M2 neuron WBbt:0003634; vulC WBbt:0006765; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
237	[237] cluster rpl-12	WBGene00001168	eef-1A.1	15532.34	0.811	True	germ line WBbt:0005784	ABplaaapa WBbt:0006680; ABplaaapp WBbt:0006136; ABprappaa WBbt:0006350; gonad arm WBbt:0008629; Caaaa WBbt:0005899; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; ABprppppp WBbt:0005983; ABplpappp WBbt:0006390; ABpraappp WBbt:0006270; excretory system WBbt:0005736; Eala WBbt:0006104; Epla WBbt:0006661; ABalppappp WBbt:0006694; ABalppappa WBbt:0005975; ABalaaaa WBbt:0006427; ABprappap WBbt:0006220; vulD WBbt:0006766; ABarapappa WBbt:0006309; ABprpapppa WBbt:0005972; ABprapaap WBbt:0006624; hermaphrodite WBbt:0007849; ABpraapaa WBbt:0006108; Capp WBbt:0006098; spermatheca WBbt:0005319; Cpaaa WBbt:0006212; ABplaaaap WBbt:0006625; ABplaappa WBbt:0006519; Cppa WBbt:0006168; intestine WBbt:0005772; ABalpaaa WBbt:0006557; ABplappaa WBbt:0006371; Caap WBbt:0005921; ABalappa WBbt:0006157; male distal tip cell WBbt:0006864; Cpaap WBbt:0006594; ABarppapp WBbt:0006240; CAN WBbt:0006827; ABprapapa WBbt:0006510; gonadal primordium WBbt:0008366; vulF WBbt:0006768; ABalpppppa WBbt:0006638; ABprpapaa WBbt:0006446; ABplappap WBbt:0006067; ABplpappa WBbt:0006232; vulC WBbt:0006765; excretory cell WBbt:0005812; Epra WBbt:0006321; ABplaapap WBbt:0005887; M cell WBbt:0004489; ABplppaa WBbt:0006170; epithelial system WBbt:0005730; Cppp WBbt:0006268; Eplp WBbt:0006496; ABalpapa WBbt:0006573; ABprpppap WBbt:0006237; vulA WBbt:0006762; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; ABplaaaaa WBbt:0006348; ABarpppap WBbt:0006251; somatic gonad WBbt:0005785; ABprpaapa WBbt:0006047; pharynx WBbt:0003681; vulB1 WBbt:0006763; ABaraapapp WBbt:0005999; ABpraappa WBbt:0006035; ABplaapaa WBbt:0005866; ABalpppapa WBbt:0005930; coelomic system WBbt:0005749; Caaap WBbt:0006267; ABplpaaa WBbt:0006315; ABprapapp WBbt:0006290; ABarapapaa WBbt:0006001; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; ABplppap WBbt:0006028; ABarpaaa WBbt:0006398; ABprpppaa WBbt:0006552; ABplpppa WBbt:0006423; sex organ WBbt:0008422; ABpraapap WBbt:0006062; ABalpaap WBbt:0005934; Ealp WBbt:0006546; ABalaapa WBbt:0006130; MSpppp WBbt:0006409; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABaraapppp WBbt:0006127; Eprp WBbt:0006507; ABarpapa WBbt:0006603; ABplappp WBbt:0006470; ABalaaap WBbt:0005982; ABplaappp WBbt:0005948; ABarpppaa WBbt:0006041; male WBbt:0007850; Earp WBbt:0006646; vulE WBbt:0006767; ABplpaap WBbt:0006077; Capa WBbt:0006444; ABalaapp WBbt:0006553; ABplapapp WBbt:0006413; muscular system WBbt:0005737; ABplpppp WBbt:0006647; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; Eara WBbt:0006161
