node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
238	[238] cluster msp-59	WBGene00003435	msp-40	15153.72	0.979	True	male WBbt:0007850	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00020713	T23B3.5	3340.96	0.966	True	male WBbt:0007850	intestine WBbt:0005772; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003425	msp-10	7436.62	0.966	True	male WBbt:0007850	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00017112	E03H12.5	3530.6	0.966	True	male WBbt:0007850	AVE WBbt:0006819; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003449	msp-56	8022.68	0.965	True	male WBbt:0007850	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; oocyte WBbt:0006797; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003424	msp-3	8964.36	0.961	True	male WBbt:0007850	linker cell WBbt:0005062; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003465	msp-78	6518.76	0.959	True	male WBbt:0007850	IL socket cell WBbt:0008418; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; oocyte WBbt:0006797; nervous system WBbt:0005735; ABarpapaaa WBbt:0006207; sex organ WBbt:0008422; germ line WBbt:0005784; ABplaaaaaa WBbt:0006330; MSaaaaapa WBbt:0006202; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00015094	B0261.6	3137.78	0.958	True	male WBbt:0007850	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003450	msp-57	13996.61	0.956	True	male WBbt:0007850	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; oocyte WBbt:0006797; nervous system WBbt:0005735; FLP WBbt:0006828; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
238	[238] cluster msp-59	WBGene00003429	msp-31	16295.47	0.956	True	male WBbt:0007850	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
