node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
239	[239] cluster pcf-11	WBGene00000182	arf-1	519.45	0.511	False	PVD WBbt:0006831	gonad arm WBbt:0008629; XXX cell WBbt:0007855; hermaphrodite distal tip cell WBbt:0006863; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; AVK WBbt:0006823; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00020092	pcf-11	6984.52	0.499	False	PVD WBbt:0006831	Q cell WBbt:0008598; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; ASE WBbt:0005663; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00021512	Y41D4B.4	550.78	0.477	False	PVD WBbt:0006831	germ line WBbt:0005784; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00009732	cope-1	555.96	0.462	False	PVD WBbt:0006831	VC6 WBbt:0004611; VC5 WBbt:0004613; GLR WBbt:0005176; Q cell WBbt:0008598; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVK WBbt:0006823; VC1 WBbt:0004621; VC2 WBbt:0004619; coelomic system WBbt:0005749; VC4 WBbt:0004617; MSpppaaa WBbt:0005951; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
239	[239] cluster pcf-11	WBGene00000109	alh-3	146.4	0.451	True	PVD WBbt:0006831	hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PDE socket cell WBbt:0008421; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; tail precursor cell WBbt:0008409; thermosensory neuron WBbt:0005838; ASE WBbt:0005663
239	[239] cluster pcf-11	WBGene00020216	trap-2	379.23	0.439	False	PVD WBbt:0006831	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; ABplpppppp WBbt:0005960; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; G cell WBbt:0008599; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; epithelial system WBbt:0005730; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; ABprpppapa WBbt:0006044; pharynx WBbt:0003681; K cell WBbt:0004499; mc3 WBbt:0003707; ABplpppapa WBbt:0006488; W cell WBbt:0004583; muscular system WBbt:0005737; reproductive tract WBbt:0005744; head mesodermal cell WBbt:0004697
239	[239] cluster pcf-11	WBGene00043064	nbet-1	405.28	0.419	False	PVD WBbt:0006831	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; somatic nervous system WBbt:0005760; AVK WBbt:0006823; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00022122	trap-1	346.28	0.417	False	PVD WBbt:0006831	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; mc1 WBbt:0003709; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; male distal tip cell WBbt:0006864; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; ABprpppapa WBbt:0006044; pharynx WBbt:0003681; mc3 WBbt:0003707; ABplpppapa WBbt:0006488; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00007016	mdt-15	138.79	0.414	False	PVD WBbt:0006831	ABpraaapppp WBbt:0005931; spermathecal-uterine junction WBbt:0006756; VC5 WBbt:0004613; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; intestine WBbt:0005772; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; g1P WBbt:0004528; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABalppppppp WBbt:0006599; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
239	[239] cluster pcf-11	WBGene00007529	mgrn-1	41.77	0.41	True	PVD WBbt:0006831	Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; sex organ WBbt:0008422; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
