node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2493	[2493] cluster nlp-58	WBGene00012311	W06G6.9	6.69	0.577	False	OLQ WBbt:0006848	epithelial system WBbt:0005730; nervous system WBbt:0005735; phasmid sheath cell WBbt:0006755
2493	[2493] cluster nlp-58	WBGene00020923	W02B3.3	3.83	0.577	False	OLQ WBbt:0006848	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666
2493	[2493] cluster nlp-58	WBGene00007876	dct-19	3.83	0.577	False	OLQ WBbt:0006848	RME WBbt:0005399; AVL WBbt:0003843; anterior ganglion WBbt:0005375; DVB WBbt:0004822; somatic nervous system WBbt:0005760; dorso-rectal ganglion WBbt:0005212
2493	[2493] cluster nlp-58	WBGene00009147	F26C11.3	15.33	0.506	False	OLQ WBbt:0006848	hook sensillum WBbt:0006930; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; ray WBbt:0006941; nervous system WBbt:0005735; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2493	[2493] cluster nlp-58	WBGene00044432	W03G9.9	72.43	0.481	True	OLQ WBbt:0006848	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; OLQ WBbt:0006848; SIA WBbt:0005361; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; hyp3 WBbt:0004690; NSM WBbt:0003666; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2493	[2493] cluster nlp-58	WBGene00011136	R08A2.5	641.33	0.453	False	OLQ WBbt:0006848	hyp6 WBbt:0004679; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ILshL WBbt:0004529; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
2493	[2493] cluster nlp-58	WBGene00020775	T24E12.6	43.07	0.425	False	OLQ WBbt:0006848	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; amphid sheath cell WBbt:0006754; ASI WBbt:0005666; epithelial system WBbt:0005730; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
2493	[2493] cluster nlp-58	WBGene00019067	F58H7.1	300.13	0.413	True	OLQ WBbt:0006848	OLQ WBbt:0006848; ADE WBbt:0005415; URA WBbt:0005225; IL1VR WBbt:0004547; postdeirid sensillum WBbt:0005471; IL1R WBbt:0004551; IL1DR WBbt:0004737; CEP WBbt:0005244; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; OLL WBbt:0006847; AVK WBbt:0006823; RMDL WBbt:0005037; RMDVR WBbt:0005029; outer labial lateral sensillum WBbt:0005503; PDE WBbt:0006747; IL1VL WBbt:0004549; lateral ganglion left WBbt:0005103; IL1DL WBbt:0004738; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; RMDDL WBbt:0005039
2493	[2493] cluster nlp-58	WBGene00001616	glr-5	634.92	0.397	False	OLQ WBbt:0006848	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VC6 WBbt:0004611; URB WBbt:0006845; DA1 WBbt:0004871; AVE WBbt:0006819; HSN WBbt:0006830; I5 neuron WBbt:0004740; DA8 WBbt:0004858; URY WBbt:0005346; AVA WBbt:0005842; URA WBbt:0005225; RMH WBbt:0006843; DD1 WBbt:0004839; AVJ WBbt:0006822; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; RIF WBbt:0006835; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; LUA WBbt:0008031; RIC WBbt:0006834; AVD WBbt:0006818; DVB WBbt:0004822; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; DA3 WBbt:0004867; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; RMDVR WBbt:0005029; DD5 WBbt:0004825; AS1 WBbt:0003925; VC1 WBbt:0004621; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; VB1 WBbt:0004643; SDQ WBbt:0006844; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; DD4 WBbt:0004826; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
2493	[2493] cluster nlp-58	WBGene00008833	F14H8.2	57.47	0.382	False	OLQ WBbt:0006848	XXX cell WBbt:0007855; K' cell WBbt:0004497; corpus WBbt:0003733; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; epithelial system WBbt:0005730; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; NSM WBbt:0003666; U cell WBbt:0004942
