node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
24	[24] cluster E01G4.3	WBGene00008462	E02H4.4	835.47	0.821	True	coelomic system WBbt:0005749	GLR WBbt:0005176; hermaphrodite WBbt:0007849; intestine WBbt:0005772; coelomic system WBbt:0005749; MSpppaaa WBbt:0005951; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
24	[24] cluster E01G4.3	WBGene00015470	wdr-37	867.6	0.7	True	coelomic system WBbt:0005749	ABplpaappa WBbt:0006670; AVE WBbt:0006819; ABprpaappa WBbt:0005940; ABprapaaapa WBbt:0006633; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABalappaap WBbt:0006727; ABplpppaapa WBbt:0006503; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; coelomic system WBbt:0005749; germ line WBbt:0005784; ABalaaaala WBbt:0005966; NSM WBbt:0003666; ABprapapppp WBbt:0006021; male WBbt:0007850; ABplapaaapa WBbt:0006061; ABalaapaaa WBbt:0006732
24	[24] cluster E01G4.3	WBGene00005592	srj-4	117.99	0.681	True	coelomic system WBbt:0005749	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; g1AL WBbt:0004532; ASI WBbt:0005666; somatic nervous system WBbt:0005760; g1P WBbt:0004528; g1AR WBbt:0004530; AVK WBbt:0006823; pharynx WBbt:0003681; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; ASE WBbt:0005663
24	[24] cluster E01G4.3	WBGene00019763	galt-1	661.14	0.648	True	coelomic system WBbt:0005749	hermaphrodite WBbt:0007849; intestine WBbt:0005772; rectal gland cell WBbt:0005799; coelomic system WBbt:0005749; MSpppaaa WBbt:0005951; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
24	[24] cluster E01G4.3	WBGene00008446	E01G4.3	3916.27	0.646	True	coelomic system WBbt:0005749	body wall WBbt:0005742; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; DB6 WBbt:0004841; BDU WBbt:0006826; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; DB7 WBbt:0004840; DB4 WBbt:0004843; coelomic system WBbt:0005749; DB3 WBbt:0004844; striated muscle WBbt:0005779; AWB WBbt:0005671; RIH WBbt:0003928; DB5 WBbt:0004842; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
24	[24] cluster E01G4.3	WBGene00019149	H03E18.2	194.12	0.628	True	coelomic system WBbt:0005749	MC neuron WBbt:0003638; SIB WBbt:0005359; M4 neuron WBbt:0004467; VC5 WBbt:0004613; SIA WBbt:0005361; I6 neuron WBbt:0004739; AIA WBbt:0006812; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADA WBbt:0006811; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; AIB WBbt:0006813; AVK WBbt:0006823; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; AIZ WBbt:0005836; I1 neuron WBbt:0003649; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; AIN WBbt:0006815; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SDQ WBbt:0006844; NSM WBbt:0003666; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; ABaraapapaa WBbt:0006455; reproductive system WBbt:0005747
24	[24] cluster E01G4.3	WBGene00006639	tsp-13	369.17	0.589	False	coelomic system WBbt:0005749	MC neuron WBbt:0003638; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; MSaapapa WBbt:0006323; Z1.p WBbt:0007023; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; ABarapappa WBbt:0006309; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; ABalpapppa WBbt:0006701; male distal tip cell WBbt:0006864; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; ABalpappaa WBbt:0006051; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; Z4.a WBbt:0007025; g2 WBbt:0003710; pm2 WBbt:0003742; I1 neuron WBbt:0003649; nervous system WBbt:0005735; pharynx WBbt:0003681; K cell WBbt:0004499; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; ABarapapaa WBbt:0006001; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; NSM WBbt:0003666; I3 neuron WBbt:0004742; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
24	[24] cluster E01G4.3	WBGene00011009	cyp-14A4	89.04	0.568	True	coelomic system WBbt:0005749	intestine WBbt:0005772; ASI WBbt:0005666; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103
24	[24] cluster E01G4.3	WBGene00009382	F34H10.5	112.96	0.565	False	coelomic system WBbt:0005749	AWA WBbt:0005670
24	[24] cluster E01G4.3	WBGene00015468	madf-11	262.61	0.563	False	coelomic system WBbt:0005749	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; AVA WBbt:0005842; DB2 WBbt:0004845; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; DB6 WBbt:0004841; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; DB7 WBbt:0004840; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; ABplppaaaap WBbt:0006414; germ line WBbt:0005784; DB5 WBbt:0004842; muscular system WBbt:0005737; reproductive tract WBbt:0005744
