node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2718	[2718] cluster W01F3.2	WBGene00017806	F26A1.8	955.53	0.65	False	hyp12 WBbt:0004376	XXX cell WBbt:0007855; IL socket cell WBbt:0008418; ABplpppppp WBbt:0005960; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; ABprpppppp WBbt:0006430; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; pharynx WBbt:0003681; pharyngeal-intestinal valve WBbt:0005767; CEPsoDL WBbt:0004921; male WBbt:0007850
2718	[2718] cluster W01F3.2	WBGene00016017	C23G10.11	238.88	0.615	False	hyp12 WBbt:0004376	somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; nervous system WBbt:0005735
2718	[2718] cluster W01F3.2	WBGene00012185	W01F3.2	3715.67	0.587	True	hyp12 WBbt:0004376	SIB WBbt:0005359; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AIB WBbt:0006813; hyp12 WBbt:0004376; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; germline precursor cell WBbt:0006849
2718	[2718] cluster W01F3.2	WBGene00077673	B0563.10	196.58	0.574	False	hyp12 WBbt:0004376	germ line WBbt:0005784
2718	[2718] cluster W01F3.2	WBGene00017051	afmd-1	518.11	0.473	False	hyp12 WBbt:0004376	lateral ganglion right WBbt:0005101; lumbar ganglion right WBbt:0005601; gonadal primordium WBbt:0008366; PLM WBbt:0005490; tail precursor cell WBbt:0008409; ASE WBbt:0005663
2718	[2718] cluster W01F3.2	WBGene00016003	C18H9.5	94.2	0.402	True	hyp12 WBbt:0004376	excretory system WBbt:0005736; Z1.p WBbt:0007023; lateral ganglion right WBbt:0005101; RIC WBbt:0006834; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; excretory cell WBbt:0005812; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Z4.a WBbt:0007025; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2718	[2718] cluster W01F3.2	WBGene00011997	nlp-51	494.83	0.397	False	hyp12 WBbt:0004376	PVN WBbt:0008275; hook sensillum WBbt:0006930; AIM WBbt:0006814; OLQ WBbt:0006848; GLR WBbt:0005176; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; ray WBbt:0006941; RIP WBbt:0006838; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
2718	[2718] cluster W01F3.2	WBGene00007873	dod-21	34.13	0.379	False	hyp12 WBbt:0004376	intestine WBbt:0005772; FLP WBbt:0006828
2718	[2718] cluster W01F3.2	WBGene00022856	cth-2	3345.25	0.306	False	hyp12 WBbt:0004376	gonad arm WBbt:0008629; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; intestine WBbt:0005772; Y cell WBbt:0004578; gonadal primordium WBbt:0008366; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; pm6 WBbt:0003724; germline precursor cell WBbt:0006849; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2718	[2718] cluster W01F3.2	WBGene00011556	vglu-3	164.85	0.287	True	hyp12 WBbt:0004376	GLR WBbt:0005176; epithelial system WBbt:0005730; hyp12 WBbt:0004376; male WBbt:0007850; muscular system WBbt:0005737
