node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2732	[2732] cluster fip-5	WBGene00001927	his-53	1488.32	0.649	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
2732	[2732] cluster fip-5	WBGene00001895	his-21	1393.76	0.645	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366; thermosensory neuron WBbt:0005838
2732	[2732] cluster fip-5	WBGene00001881	his-7	1230.96	0.634	True	gonadal primordium WBbt:0008366	ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; ABalaaaarl WBbt:0005945; ABprpapppa WBbt:0005972; Q cell WBbt:0008598; corpus WBbt:0003733; gonadal primordium WBbt:0008366; ABalpappaa WBbt:0006051; MSpapapa WBbt:0006308; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ABarapapaa WBbt:0006001; ABarpaaa WBbt:0006398; germ line WBbt:0005784; striated muscle WBbt:0005779; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747; Caapa WBbt:0006123
2732	[2732] cluster fip-5	WBGene00001893	his-19	1440.01	0.627	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
2732	[2732] cluster fip-5	WBGene00001925	his-51	1423.42	0.624	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
2732	[2732] cluster fip-5	WBGene00001902	his-28	661.54	0.567	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
2732	[2732] cluster fip-5	WBGene00009620	fip-5	1947.0	0.475	False	gonadal primordium WBbt:0008366	PLM WBbt:0005490; epithelial system WBbt:0005730; dorso-rectal ganglion WBbt:0005212; PVW WBbt:0008438; germline precursor cell WBbt:0006849
2732	[2732] cluster fip-5	WBGene00001879	his-5	778.35	0.455	True	gonadal primordium WBbt:0008366	MSaapapa WBbt:0006323; gonadal primordium WBbt:0008366; MSpapapa WBbt:0006308; nervous system WBbt:0005735; FLP WBbt:0006828; ABarpaaa WBbt:0006398; ABaraappaa WBbt:0006636; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
2732	[2732] cluster fip-5	WBGene00001901	his-27	660.76	0.361	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
2732	[2732] cluster fip-5	WBGene00011255	R12H7.4	99.23	0.308	False	gonadal primordium WBbt:0008366	MC neuron WBbt:0003638; IL2L WBbt:0004541; ABplapaaaap WBbt:0006592; ABprapaaapa WBbt:0006633; IL2VL WBbt:0004538; corpus WBbt:0003733; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABprapppaa WBbt:0006234; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; ABplapppaa WBbt:0005935; IL2DL WBbt:0004545; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; ABplapppapp WBbt:0005970; IL2VR WBbt:0004537; IL2DR WBbt:0004543; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061
