node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2740	[2740] cluster enpl-1	WBGene00015752	C14B9.2	3165.38	0.826	True	pm5 WBbt:0003737	pm5 WBbt:0003737; pm8 WBbt:0004302; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; g1AL WBbt:0004532; PVD WBbt:0006831; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; pm2 WBbt:0003742; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; germ line WBbt:0005784; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2740	[2740] cluster enpl-1	WBGene00045403	K10H10.12	635.17	0.81	True	pm5 WBbt:0003737	pm5 WBbt:0003737; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; germ line WBbt:0005784; pm6 WBbt:0003724; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747
2740	[2740] cluster enpl-1	WBGene00017154	ugt-57	2607.58	0.803	True	pm5 WBbt:0003737	pm5 WBbt:0003737; pm8 WBbt:0004302; MSaapapa WBbt:0006323; mc1 WBbt:0003709; RMH WBbt:0006843; mc2 WBbt:0003708; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; VD12 WBbt:0004587; MSpapaapa WBbt:0006627; AVD WBbt:0006818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; AVK WBbt:0006823; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; RID WBbt:0003938; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; AVB WBbt:0005841; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; AIY WBbt:0005413; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
2740	[2740] cluster enpl-1	WBGene00006642	tsp-16	949.78	0.777	True	pm5 WBbt:0003737	pm5 WBbt:0003737; pm8 WBbt:0004302; MSaapapa WBbt:0006323; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; ALM WBbt:0005406; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; MSaaaaapa WBbt:0006202; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
2740	[2740] cluster enpl-1	WBGene00015168	pdi-6	12772.15	0.776	True	pm5 WBbt:0003737	SIB WBbt:0005359; VB10 WBbt:0004625; pm5 WBbt:0003737; VB5 WBbt:0004637; hermaphrodite distal tip cell WBbt:0006863; VB7 WBbt:0004631; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; SIA WBbt:0005361; excretory system WBbt:0005736; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; VB2 WBbt:0004641; RIB WBbt:0005834; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; RMDDR WBbt:0005038; intestine WBbt:0005772; male distal tip cell WBbt:0006864; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; AVK WBbt:0006823; pm2 WBbt:0003742; RMF WBbt:0006841; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; VB3 WBbt:0004639; somatic gonad WBbt:0005785; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; coelomic system WBbt:0005749; VB6 WBbt:0004633; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; AVB WBbt:0005841; pm6 WBbt:0003724; VB1 WBbt:0004643; intestinal muscle WBbt:0005796; MSaaaaapa WBbt:0006202; VB11 WBbt:0004623; pm3 WBbt:0003740; male WBbt:0007850; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; RMDDL WBbt:0005039
2740	[2740] cluster enpl-1	WBGene00011480	enpl-1	13221.64	0.759	True	pm5 WBbt:0003737	SIB WBbt:0005359; pm5 WBbt:0003737; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; SIA WBbt:0005361; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; VB2 WBbt:0004641; RIB WBbt:0005834; AIA WBbt:0006812; ABarapappa WBbt:0006309; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; ABalpapppa WBbt:0006701; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; AVK WBbt:0006823; pm2 WBbt:0003742; midbody WBbt:0005740; RMF WBbt:0006841; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; AVB WBbt:0005841; ABaraappaa WBbt:0006636; germ line WBbt:0005784; pm6 WBbt:0003724; VB1 WBbt:0004643; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; male WBbt:0007850; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747
2740	[2740] cluster enpl-1	WBGene00011739	T12G3.4	1829.22	0.743	True	pm5 WBbt:0003737	pm5 WBbt:0003737; dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; ABplpapppa WBbt:0006225; excretory system WBbt:0005736; K' cell WBbt:0004497; MSaapapa WBbt:0006323; mc1 WBbt:0003709; Psub1 WBbt:0006874; Z1.p WBbt:0007023; mc2 WBbt:0003708; vulD WBbt:0006766; ABarapappa WBbt:0006309; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; ABalpapppa WBbt:0006701; male distal tip cell WBbt:0006864; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; vulC WBbt:0006765; g1P WBbt:0004528; MSaapaapa WBbt:0006494; excretory cell WBbt:0005812; MSpapapa WBbt:0006308; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; Z4.a WBbt:0007025; g2 WBbt:0003710; pm2 WBbt:0003742; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; K cell WBbt:0004499; vulB1 WBbt:0006763; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABarapapaa WBbt:0006001; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; vulE WBbt:0006767; PVT WBbt:0004070; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
2740	[2740] cluster enpl-1	WBGene00018607	chts-1	1177.75	0.727	True	pm5 WBbt:0003737	pm5 WBbt:0003737; vm1 WBbt:0006917; somatic cell WBbt:0008378; pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; PVD WBbt:0006831; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; pm2 WBbt:0003742; pharynx WBbt:0003681; mc3 WBbt:0003707; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; pm6 WBbt:0003724; uterine muscle WBbt:0005342; AIY WBbt:0005413; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747
2740	[2740] cluster enpl-1	WBGene00008779	F14B4.1	5310.54	0.713	True	pm5 WBbt:0003737	VB10 WBbt:0004625; pm5 WBbt:0003737; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; MSpaaapa WBbt:0006241; MSaapapa WBbt:0006323; mc1 WBbt:0003709; AVJ WBbt:0006822; mc2 WBbt:0003708; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; ABarapappa WBbt:0006309; corpus WBbt:0003733; VA2 WBbt:0004870; VB9 WBbt:0004627; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; RIC WBbt:0006834; ABalpapppa WBbt:0006701; g1AL WBbt:0004532; DA9 WBbt:0004857; VA12 WBbt:0004645; ABaraapppaa WBbt:0006566; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; g1P WBbt:0004528; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; g1AR WBbt:0004530; DA3 WBbt:0004867; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; VB6 WBbt:0004633; RIM WBbt:0005835; VA4 WBbt:0004866; posterior arcade cell WBbt:0005795; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; ABaraappaa WBbt:0006636; germ line WBbt:0005784; pm6 WBbt:0003724; VB1 WBbt:0004643; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; VB11 WBbt:0004623; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
2740	[2740] cluster enpl-1	WBGene00020648	T21D12.7	1018.89	0.701	True	pm5 WBbt:0003737	pm5 WBbt:0003737; pm8 WBbt:0004302; Z1.p WBbt:0007023; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; epithelial system WBbt:0005730; Z4.a WBbt:0007025; CEPsoVL WBbt:0004918; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
