node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2743	[2743] cluster cyn-17	WBGene00044564	ZK813.6	6083.27	0.838	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; pm8 WBbt:0004302; excretory system WBbt:0005736; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; intestine WBbt:0005772; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00017937	F30H5.3	5647.26	0.77	True	pm1 WBbt:0003744	pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; intestine WBbt:0005772; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00004155	pqn-73	3726.94	0.762	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; I6 neuron WBbt:0004739; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; intestine WBbt:0005772; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; I1 neuron WBbt:0003649; pharynx WBbt:0003681; mc3 WBbt:0003707; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; pm6 WBbt:0003724; intestinal muscle WBbt:0005796; I3 neuron WBbt:0004742; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00012254	W04E12.9	2561.28	0.741	True	pm1 WBbt:0003744	pm5 WBbt:0003737; pm8 WBbt:0004302; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00019320	K02E10.6	1486.13	0.719	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; ILshDR WBbt:0004531; IL socket cell WBbt:0008418; dorsal uterine cell WBbt:0006782; spermathecal-uterine junction WBbt:0006756; pm8 WBbt:0004302; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; mc1 WBbt:0003709; postdeirid sensillum WBbt:0005471; Z1.p WBbt:0007023; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; vulD WBbt:0006766; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; pm1 WBbt:0003744; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; male distal tip cell WBbt:0006864; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; ILshL WBbt:0004529; phasmid socket cell WBbt:0008410; ABprapppapp WBbt:0006743; gonadal primordium WBbt:0008366; vulF WBbt:0006768; M2 neuron WBbt:0003634; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; vulC WBbt:0006765; g1P WBbt:0004528; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; Z4.a WBbt:0007025; g2 WBbt:0003710; ILshVL WBbt:0004525; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; vulA WBbt:0006762; I1 neuron WBbt:0003649; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; PDE WBbt:0006747; pharynx WBbt:0003681; K cell WBbt:0004499; vulB1 WBbt:0006763; mc3 WBbt:0003707; ABplapppapp WBbt:0005970; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv3 WBbt:0006793; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; NSM WBbt:0003666; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; uv2 WBbt:0006792; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; vulE WBbt:0006767; ABaraapapaa WBbt:0006455; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
2743	[2743] cluster cyn-17	WBGene00016273	C30G12.1	853.14	0.71	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; M4 neuron WBbt:0004467; mc1 WBbt:0003709; M3 neuron WBbt:0003754; corpus WBbt:0003733; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; I4 neuron WBbt:0004741; pm2 WBbt:0003742; nervous system WBbt:0005735; MI neuron WBbt:0003664; pharynx WBbt:0003681; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00219317	F31E3.12	4452.17	0.709	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00021213	Y18H1A.9	1322.82	0.704	True	pm1 WBbt:0003744	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; pm8 WBbt:0004302; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; pm2 WBbt:0003742; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; vulB1 WBbt:0006763; mc3 WBbt:0003707; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
2743	[2743] cluster cyn-17	WBGene00011175	R09E10.5	1208.71	0.703	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737
2743	[2743] cluster cyn-17	WBGene00020478	T13C2.2	391.84	0.689	True	pm1 WBbt:0003744	hyp6 WBbt:0004679; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; postdeirid sensillum WBbt:0005471; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ILshL WBbt:0004529; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; M2 neuron WBbt:0003634; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; I1 neuron WBbt:0003649; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; MI neuron WBbt:0003664; pharynx WBbt:0003681; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
