node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2744	[2744] cluster W08E12.6	WBGene00004146	pqn-63	2982.56	0.844	False	pharyngeal epithelial cell WBbt:0005459	AVJ WBbt:0006822; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; ABarpapaaa WBbt:0006207; pharynx WBbt:0003681; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; ABplaaaaaa WBbt:0006330; ASE WBbt:0005663
2744	[2744] cluster W08E12.6	WBGene00021087	W08E12.6	25974.96	0.84	False	pharyngeal epithelial cell WBbt:0005459	hermaphrodite WBbt:0007849; oocyte WBbt:0006797
2744	[2744] cluster W08E12.6	WBGene00008967	F20B10.3	1965.36	0.827	True	pharyngeal epithelial cell WBbt:0005459	MSaapapa WBbt:0006323; mc2 WBbt:0003708; corpus WBbt:0003733; intestine WBbt:0005772; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767
2744	[2744] cluster W08E12.6	WBGene00010987	R03C1.1	3250.32	0.782	False	pharyngeal epithelial cell WBbt:0005459	anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681
2744	[2744] cluster W08E12.6	WBGene00008089	C44C10.9	957.8	0.782	True	pharyngeal epithelial cell WBbt:0005459	pm8 WBbt:0004302; K' cell WBbt:0004497; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; Y cell WBbt:0004578; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; tail hypodermis WBbt:0006978; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; germline precursor cell WBbt:0006849; pm3 WBbt:0003740; U cell WBbt:0004942; muscular system WBbt:0005737
2744	[2744] cluster W08E12.6	WBGene00020421	chtb-3	1062.63	0.771	False	pharyngeal epithelial cell WBbt:0005459	IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; intestine WBbt:0005772; epithelial system WBbt:0005730; IL2DL WBbt:0004545; pharynx WBbt:0003681; IL2VR WBbt:0004537; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; IL2DR WBbt:0004543; muscular system WBbt:0005737; rectal muscle WBbt:0005803
2744	[2744] cluster W08E12.6	WBGene00009099	F25B3.2	747.81	0.77	False	pharyngeal epithelial cell WBbt:0005459	CEP WBbt:0005244; anterior ganglion WBbt:0005375; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; nervous system WBbt:0005735; posterior arcade cell WBbt:0005795
2744	[2744] cluster W08E12.6	WBGene00017073	D2096.6	11131.25	0.767	False	pharyngeal epithelial cell WBbt:0005459	IL1VR WBbt:0004547; IL1R WBbt:0004551; I6 neuron WBbt:0004739; IL1DR WBbt:0004737; corpus WBbt:0003733; anterior ganglion WBbt:0005375; anterior arcade cell WBbt:0005794; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; I1 neuron WBbt:0003649; MI neuron WBbt:0003664; pharynx WBbt:0003681; IL1VL WBbt:0004549; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; ABarpaaa WBbt:0006398; IL1DL WBbt:0004738; IL1L WBbt:0004553; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; muscular system WBbt:0005737
2744	[2744] cluster W08E12.6	WBGene00235308	C37C3.17	1211.48	0.762	False	pharyngeal epithelial cell WBbt:0005459	ABalppppapa WBbt:0006705; ABalaappppa WBbt:0006560; dorsal uterine cell WBbt:0006782; IL2L WBbt:0004541; ABalappppaa WBbt:0006522; excretory system WBbt:0005736; ABalppapppa WBbt:0006463; RIA WBbt:0006833; vulD WBbt:0006766; IL2VL WBbt:0004538; ABprppppaa WBbt:0006642; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; vulA WBbt:0006762; midbody WBbt:0005740; ABalapappaa WBbt:0006542; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; IL2DR WBbt:0004543; vulE WBbt:0006767; ABpraaapapa WBbt:0006404; PVT WBbt:0004070; reproductive tract WBbt:0005744; ABprppppap WBbt:0006439; preanal ganglion WBbt:0005448
2744	[2744] cluster W08E12.6	WBGene00021740	Y50D4B.1	629.81	0.752	False	pharyngeal epithelial cell WBbt:0005459	hook sensillum WBbt:0006930; IL2L WBbt:0004541; URB WBbt:0006845; I5 neuron WBbt:0004740; GLR WBbt:0005176; URA WBbt:0005225; URX WBbt:0006846; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; IL2VL WBbt:0004538; corpus WBbt:0003733; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; BAG WBbt:0006825; PVD WBbt:0006831; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; OLL WBbt:0006847; RMDL WBbt:0005037; IL2DL WBbt:0004545; ray WBbt:0006941; RMDVR WBbt:0005029; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; SAB WBbt:0005396; PVP WBbt:0006832; RIH WBbt:0003928; NSM WBbt:0003666; IL2DR WBbt:0004543; male WBbt:0007850; muscular system WBbt:0005737; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
2744	[2744] cluster W08E12.6	WBGene00020803	T25E4.1	21374.69	0.745	False	pharyngeal epithelial cell WBbt:0005459	hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; intestine WBbt:0005772; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; posterior arcade cell WBbt:0005795; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; DVC WBbt:0004821
2744	[2744] cluster W08E12.6	WBGene00012814	Y43F8B.3	912.98	0.737	False	pharyngeal epithelial cell WBbt:0005459	pm5 WBbt:0003737; M4 neuron WBbt:0004467; corpus WBbt:0003733; pm7 WBbt:0003721; intestine WBbt:0005772; pm4 WBbt:0003739; g1P WBbt:0004528; g2 WBbt:0003710; M1 neuron WBbt:0004488; pharynx WBbt:0003681; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; NSM WBbt:0003666; pm3 WBbt:0003740; muscular system WBbt:0005737
2744	[2744] cluster W08E12.6	WBGene00007935	C34E11.2	542.62	0.736	True	pharyngeal epithelial cell WBbt:0005459	RME WBbt:0005399; excretory system WBbt:0005736; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; ADL WBbt:0005661; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
2744	[2744] cluster W08E12.6	WBGene00017430	bcl-11	1280.0	0.713	False	pharyngeal epithelial cell WBbt:0005459	VC5 WBbt:0004613; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; NSM WBbt:0003666; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2744	[2744] cluster W08E12.6	WBGene00012942	idpc-1	25529.31	0.713	False	pharyngeal epithelial cell WBbt:0005459	hyp1 WBbt:0004694; hyp2 WBbt:0004692; PDE socket cell WBbt:0008421; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; muscular system WBbt:0005737
2744	[2744] cluster W08E12.6	WBGene00019064	myo-5	3577.96	0.7	True	pharyngeal epithelial cell WBbt:0005459	GLR WBbt:0005176; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; sex organ WBbt:0008422; germ line WBbt:0005784; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
