node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2746	[2746] cluster cnp-2	WBGene00012901	cnp-2	160872.63	0.925	True	uv2 WBbt:0006792	MC neuron WBbt:0003638; gonad arm WBbt:0008629; spermathecal-uterine junction WBbt:0006756; I5 neuron WBbt:0004740; excretory system WBbt:0005736; mc1 WBbt:0003709; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; spermatheca WBbt:0005319; intestine WBbt:0005772; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; pm2 WBbt:0003742; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2746	[2746] cluster cnp-2	WBGene00000522	clc-1	9286.79	0.879	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ut2 WBbt:0006786; ut3 WBbt:0006787; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; coelomic system WBbt:0005749; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
2746	[2746] cluster cnp-2	WBGene00017400	stg-2	2458.42	0.828	False	uv2 WBbt:0006792	SMD WBbt:0005353; PVC WBbt:0005840; XXX cell WBbt:0007855; DA6 WBbt:0004861; VC6 WBbt:0004611; DA1 WBbt:0004871; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; DA8 WBbt:0004858; AVA WBbt:0005842; AVJ WBbt:0006822; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; AVL WBbt:0003843; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; M2 neuron WBbt:0003634; DA3 WBbt:0004867; epithelial system WBbt:0005730; AIB WBbt:0006813; M1 neuron WBbt:0004488; RMDL WBbt:0005037; DB7 WBbt:0004840; DA2 WBbt:0004869; RMDVR WBbt:0005029; nervous system WBbt:0005735; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; RID WBbt:0003938; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; RIG WBbt:0006836; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; AVB WBbt:0005841; DA7 WBbt:0004859; DB5 WBbt:0004842; IL1L WBbt:0004553; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
2746	[2746] cluster cnp-2	WBGene00010421	slc-36.4	385.6	0.716	False	uv2 WBbt:0006792	excretory system WBbt:0005736; URY WBbt:0005346; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OL sheath cell WBbt:0008413; excretory secretory system WBbt:0006850; outer labial quadrant sensillum WBbt:0005502
2746	[2746] cluster cnp-2	WBGene00005397	srh-182	63.1	0.6	False	uv2 WBbt:0006792	IL1DR WBbt:0004737; anterior ganglion WBbt:0005375; nervous system WBbt:0005735; IL1VL WBbt:0004549; IL1DL WBbt:0004738
2746	[2746] cluster cnp-2	WBGene00020694	dhhc-11	1343.69	0.598	True	uv2 WBbt:0006792	OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; spermathecal-uterine junction WBbt:0006756; nociceptor neuron WBbt:0008434; IL1VR WBbt:0004547; ASJ WBbt:0005667; IL1R WBbt:0004551; IL1DR WBbt:0004737; ABprpaaappa WBbt:0006695; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ABalapapapa WBbt:0006575; ASI WBbt:0005666; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; epithelial system WBbt:0005730; OLL WBbt:0006847; AWA WBbt:0005670; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; ABplpaaappa WBbt:0006600; IL1VL WBbt:0004549; ABplapppapp WBbt:0005970; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; uv3 WBbt:0006793; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; IL1L WBbt:0004553; uv2 WBbt:0006792; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668
2746	[2746] cluster cnp-2	WBGene00016698	C46A5.1	871.72	0.592	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; hermaphrodite WBbt:0007849; CAN WBbt:0006827; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; male WBbt:0007850; reproductive tract WBbt:0005744
2746	[2746] cluster cnp-2	WBGene00077546	C01A2.9	92.34	0.584	False	uv2 WBbt:0006792	AVF WBbt:0003851; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656
2746	[2746] cluster cnp-2	WBGene00020134	T01B6.1	3621.31	0.542	True	uv2 WBbt:0006792	ABalppppapa WBbt:0006705; XXX cell WBbt:0007855; spermathecal-uterine junction WBbt:0006756; VC5 WBbt:0004613; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABaraapppaa WBbt:0006566; PVD WBbt:0006831; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; VC4 WBbt:0004617; sex organ WBbt:0008422; uv3 WBbt:0006793; ABplppppaa WBbt:0006109; intestinal muscle WBbt:0005796; uv2 WBbt:0006792; uv1 WBbt:0006791; ABpraaapapa WBbt:0006404; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2746	[2746] cluster cnp-2	WBGene00014081	ipmk-1	359.19	0.434	True	uv2 WBbt:0006792	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; mc2 WBbt:0003708; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; excretory cell WBbt:0005812; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
