node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2751	[2751] cluster Y65B4BL.6	WBGene00044373	C17F4.11	1481.21	0.755	True	rectal gland cell WBbt:0005799	RME WBbt:0005399; ABplpapppa WBbt:0006225; AVL WBbt:0003843; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; DVB WBbt:0004822; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; dorso-rectal ganglion WBbt:0005212; sex organ WBbt:0008422; uv3 WBbt:0006793; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2751	[2751] cluster Y65B4BL.6	WBGene00012778	Y42A5A.3	2514.73	0.714	True	rectal gland cell WBbt:0005799	hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; BDU WBbt:0006826; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; PVW WBbt:0008438; phasmid sheath cell WBbt:0006755
2751	[2751] cluster Y65B4BL.6	WBGene00022698	ZK353.2	483.92	0.615	True	rectal gland cell WBbt:0005799	dorsal uterine cell WBbt:0006782; hyp2 WBbt:0004692; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; B cell WBbt:0003825; coelomic system WBbt:0005749; MSpppaaa WBbt:0005951; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; uv1 WBbt:0006791; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2751	[2751] cluster Y65B4BL.6	WBGene00008773	F13H10.1	289.51	0.549	True	rectal gland cell WBbt:0005799	PHC WBbt:0008446; MC neuron WBbt:0003638; RME WBbt:0005399; PVM WBbt:0004086; I6 neuron WBbt:0004739; AVL WBbt:0003843; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; ILshVR WBbt:0004523; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; DVB WBbt:0004822; PDE socket cell WBbt:0008421; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M2 neuron WBbt:0003634; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; I1 neuron WBbt:0003649; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; pharyngeal-intestinal valve WBbt:0005767; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; preanal ganglion WBbt:0005448
2751	[2751] cluster Y65B4BL.6	WBGene00011013	srxa-8	151.77	0.537	True	rectal gland cell WBbt:0005799	hyp1 WBbt:0004694; hyp2 WBbt:0004692; anterior arcade cell WBbt:0005794; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; posterior arcade cell WBbt:0005795
2751	[2751] cluster Y65B4BL.6	WBGene00007164	fbxa-139	164.59	0.508	False	rectal gland cell WBbt:0005799	tail precursor cell WBbt:0008409; germ line WBbt:0005784; reproductive system WBbt:0005747
2751	[2751] cluster Y65B4BL.6	WBGene00020560	T19C3.2	4486.72	0.501	True	rectal gland cell WBbt:0005799	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; K' cell WBbt:0004497; corpus WBbt:0003733; hermaphrodite WBbt:0007849; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; vulF WBbt:0006768; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; NSM WBbt:0003666; U cell WBbt:0004942; reproductive system WBbt:0005747
2751	[2751] cluster Y65B4BL.6	WBGene00013173	Y53F4B.27	1968.81	0.487	True	rectal gland cell WBbt:0005799	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; germline precursor cell WBbt:0006849; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
2751	[2751] cluster Y65B4BL.6	WBGene00003033	lin-48	108.44	0.437	True	rectal gland cell WBbt:0005799	IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; hyp2 WBbt:0004692; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; phasmid socket cell WBbt:0008410; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; U cell WBbt:0004942
2751	[2751] cluster Y65B4BL.6	WBGene00022325	fbxa-5	35.85	0.37	True	rectal gland cell WBbt:0005799	excretory system WBbt:0005736; intestine WBbt:0005772; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; excretory secretory system WBbt:0006850
2751	[2751] cluster Y65B4BL.6	WBGene00022038	Y65B4BL.6	8480.08	0.366	True	rectal gland cell WBbt:0005799	K' cell WBbt:0004497; hyp1 WBbt:0004694; hyp2 WBbt:0004692; Q cell WBbt:0008598; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; U cell WBbt:0004942
2751	[2751] cluster Y65B4BL.6	WBGene00006388	taf-7.1	123.77	0.313	True	rectal gland cell WBbt:0005799	GLR WBbt:0005176; K' cell WBbt:0004497; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Y cell WBbt:0004578; VA12 WBbt:0004645; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; F cell WBbt:0004799; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; ABplpaaaap WBbt:0006528; germ line WBbt:0005784; intestinal muscle WBbt:0005796; CEPsoDL WBbt:0004921; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; rectal muscle WBbt:0005803; preanal ganglion WBbt:0005448
