node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
28	[28] cluster ZC373.2	WBGene00013867	ZC373.2	121855.83	0.852	True	spermatheca WBbt:0005319	gonad arm WBbt:0008629; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; somatic nervous system WBbt:0005760; AVK WBbt:0006823; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
28	[28] cluster ZC373.2	WBGene00015179	B0416.3	421.39	0.783	False	spermatheca WBbt:0005319	OLQ WBbt:0006848; VD8 WBbt:0004597; URX WBbt:0006846; ASJ WBbt:0005667; VD10 WBbt:0004591; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMDL WBbt:0005037; RMDVR WBbt:0005029; nervous system WBbt:0005735; VD11 WBbt:0004589; dorso-rectal ganglion WBbt:0005212; RID WBbt:0003938; lateral ganglion left WBbt:0005103; VD9 WBbt:0004593; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
28	[28] cluster ZC373.2	WBGene00016923	C54F6.5	539.22	0.763	True	spermatheca WBbt:0005319	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; head muscle WBbt:0006761; SMB WBbt:0005355; nervous system WBbt:0005735; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; sex organ WBbt:0008422; germ line WBbt:0005784; uv2 WBbt:0006792; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
28	[28] cluster ZC373.2	WBGene00235094	K08D9.9	7353.52	0.748	True	spermatheca WBbt:0005319	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; reproductive tract WBbt:0005744
28	[28] cluster ZC373.2	WBGene00007115	B0198.2	474.65	0.712	False	spermatheca WBbt:0005319	SMD WBbt:0005353; RME WBbt:0005399; OLQ WBbt:0006848; M4 neuron WBbt:0004467; I5 neuron WBbt:0004740; RIB WBbt:0005834; AIA WBbt:0006812; AVL WBbt:0003843; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DVB WBbt:0004822; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMDL WBbt:0005037; RMDVR WBbt:0005029; nervous system WBbt:0005735; FLP WBbt:0006828; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; AIN WBbt:0006815; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; NSM WBbt:0003666; ALA WBbt:0003955; IL1L WBbt:0004553; AIY WBbt:0005413; outer labial quadrant sensillum WBbt:0005502; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
28	[28] cluster ZC373.2	WBGene00018068	F35H10.2	693.84	0.687	False	spermatheca WBbt:0005319	AVE WBbt:0006819; AVJ WBbt:0006822; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; AVH WBbt:0006821; BAG WBbt:0006825; somatic nervous system WBbt:0005760; PVS WBbt:0007837; AWA WBbt:0005670; RMF WBbt:0006841; nervous system WBbt:0005735; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AVB WBbt:0005841; male WBbt:0007850; AWCL WBbt:0003827; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
28	[28] cluster ZC373.2	WBGene00010491	K02B7.3	1460.0	0.648	True	spermatheca WBbt:0005319	ABplpppaaa WBbt:0006025; ABpraapaaa WBbt:0005888; spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; K' cell WBbt:0004497; ut1 WBbt:0006785; ABplaapaaa WBbt:0006069; body wall WBbt:0005742; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; ventral left quadrant body wall muscle WBbt:0005818; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ABprpppaaa WBbt:0006063; ut3 WBbt:0006787; excretory cell WBbt:0005812; epithelial system WBbt:0005730; PQR WBbt:0004096; head muscle WBbt:0006761; AQR WBbt:0003927; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; F cell WBbt:0004799; ABprpppapa WBbt:0006044; K cell WBbt:0004499; B cell WBbt:0003825; excretory secretory system WBbt:0006850; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; striated muscle WBbt:0005779; uv2 WBbt:0006792; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
28	[28] cluster ZC373.2	WBGene00022389	pde-6	289.87	0.636	False	spermatheca WBbt:0005319	VC5 WBbt:0004613; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; AVK WBbt:0006823; pharynx WBbt:0003681; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ASG WBbt:0005664; AWB WBbt:0005671; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
28	[28] cluster ZC373.2	WBGene00044061	tbc-12	733.23	0.625	False	spermatheca WBbt:0005319	GLR WBbt:0005176; PVD WBbt:0006831; gonadal primordium WBbt:0008366; OLL WBbt:0006847; nervous system WBbt:0005735; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
28	[28] cluster ZC373.2	WBGene00044788	ttr-38	97.16	0.611	True	spermatheca WBbt:0005319	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; excretory cell WBbt:0005812; epithelial system WBbt:0005730; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory secretory system WBbt:0006850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
