node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
2	[2] cluster nspc-20	WBGene00008356	nspc-20	87934.99	0.965	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; intestine WBbt:0005772; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; reproductive system WBbt:0005747
2	[2] cluster nspc-20	WBGene00023493	nspc-12	56357.24	0.957	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00008961	F19H6.6	55469.99	0.957	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; male WBbt:0007850; ASE WBbt:0005663
2	[2] cluster nspc-20	WBGene00009638	nspc-14	51276.29	0.957	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; lateral ganglion right WBbt:0005101; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; ASE WBbt:0005663
2	[2] cluster nspc-20	WBGene00009634	nspc-9	47792.34	0.954	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; intestine WBbt:0005772; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; reproductive system WBbt:0005747
2	[2] cluster nspc-20	WBGene00008360	nspc-19	69941.87	0.954	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; reproductive system WBbt:0005747
2	[2] cluster nspc-20	WBGene00008357	nspc-16	77833.16	0.95	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00009639	nspc-15	59576.24	0.95	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00008358	nspc-18	26653.39	0.919	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00009637	nspc-13	26667.72	0.905	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00008359	nspc-17	22787.13	0.895	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; corpus WBbt:0003733; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; NSM WBbt:0003666
2	[2] cluster nspc-20	WBGene00009640	nspc-10	30058.23	0.893	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; intestine WBbt:0005772; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00219287	spex-1	1259.4	0.839	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00009536	F38C2.4	232.18	0.812	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00050931	F59B2.14	213.19	0.77	True	excretory gland cell WBbt:0005776	ILshDR WBbt:0004531; excretory system WBbt:0005736; corpus WBbt:0003733; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; ILshL WBbt:0004529; epithelial system WBbt:0005730; ILshVL WBbt:0004525; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; NSM WBbt:0003666; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527
2	[2] cluster nspc-20	WBGene00016179	srlf-2	93.03	0.689	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; NSM WBbt:0003666; male WBbt:0007850
2	[2] cluster nspc-20	WBGene00022874	nep-25	118.83	0.663	True	excretory gland cell WBbt:0005776	MSpaaapa WBbt:0006241; excretory system WBbt:0005736; intestine WBbt:0005772; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; intestinal muscle WBbt:0005796; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; rectal muscle WBbt:0005803
2	[2] cluster nspc-20	WBGene00009466	spex-2	696.2	0.65	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; intestine WBbt:0005772; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00009263	F30A10.4	42.82	0.624	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; reproductive system WBbt:0005747
2	[2] cluster nspc-20	WBGene00021066	W06H8.2	107.72	0.6	True	excretory gland cell WBbt:0005776	MC neuron WBbt:0003638; excretory system WBbt:0005736; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; g1AL WBbt:0004532; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
2	[2] cluster nspc-20	WBGene00007923	C34C12.4	375.07	0.572	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; MSpppaaa WBbt:0005951; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
2	[2] cluster nspc-20	WBGene00020939	smex-1	218.97	0.569	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; hyp1 WBbt:0004694; hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; g1AL WBbt:0004532; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; excretory gland cell WBbt:0005776; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
2	[2] cluster nspc-20	WBGene00011558	ostf-4	211.15	0.535	True	excretory gland cell WBbt:0005776	gonad arm WBbt:0008629; ABplpppaaa WBbt:0006025; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; PVD WBbt:0006831; ABprpppaaa WBbt:0006063; epithelial system WBbt:0005730; OLL WBbt:0006847; oocyte WBbt:0006797; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
2	[2] cluster nspc-20	WBGene00022161	mtig-1	390.5	0.532	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; MSpapaapa WBbt:0006627; g1AL WBbt:0004532; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
2	[2] cluster nspc-20	WBGene00012336	W07G4.2	34.47	0.524	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIH WBbt:0003928
