node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
30	[30] cluster dod-6	WBGene00016533	latd-1	2091.8	0.87	True	g1AL WBbt:0004532	excretory system WBbt:0005736; MSpapaapa WBbt:0006627; g1AL WBbt:0004532; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
30	[30] cluster dod-6	WBGene00017762	F23H11.7	1014.47	0.839	True	g1AL WBbt:0004532	I5 neuron WBbt:0004740; lateral ganglion right WBbt:0005101; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; ALM WBbt:0005406; SAB WBbt:0005396; PVT WBbt:0004070; ASE WBbt:0005663; preanal ganglion WBbt:0005448
30	[30] cluster dod-6	WBGene00012744	Y40H7A.4	1064.05	0.822	True	g1AL WBbt:0004532	g1AL WBbt:0004532; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; AWB WBbt:0005671
30	[30] cluster dod-6	WBGene00016840	C50F2.7	1588.73	0.771	True	g1AL WBbt:0004532	GLR WBbt:0005176; excretory system WBbt:0005736; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; AVK WBbt:0006823; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory secretory system WBbt:0006850; MSpppaaa WBbt:0005951; excretory gland cell WBbt:0005776; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
30	[30] cluster dod-6	WBGene00011869	dod-6	89700.01	0.769	True	g1AL WBbt:0004532	ABarapappa WBbt:0006309; ABprpapppa WBbt:0005972; intestine WBbt:0005772; ABalpapppa WBbt:0006701; g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; MSaaaaapa WBbt:0006202
30	[30] cluster dod-6	WBGene00021504	Y41D4A.1	434.48	0.754	True	g1AL WBbt:0004532	amphid sheath cell WBbt:0006754; g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; phasmid sheath cell WBbt:0006755; male WBbt:0007850
30	[30] cluster dod-6	WBGene00011960	oac-48	112.1	0.732	True	g1AL WBbt:0004532	IL2VL WBbt:0004538; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; DVA WBbt:0004823; somatic nervous system WBbt:0005760; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; dorso-rectal ganglion WBbt:0005212; IL2DR WBbt:0004543
30	[30] cluster dod-6	WBGene00012743	Y40H7A.3	234.3	0.727	True	g1AL WBbt:0004532	g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; pharynx WBbt:0003681
30	[30] cluster dod-6	WBGene00013539	Y73F8A.35	149.2	0.719	True	g1AL WBbt:0004532	GLR WBbt:0005176; g1AL WBbt:0004532; ABaraapppaa WBbt:0006566; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737
30	[30] cluster dod-6	WBGene00007868	srlf-4	4995.94	0.685	True	g1AL WBbt:0004532	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; g1AL WBbt:0004532; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; g2 WBbt:0003710; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ALM WBbt:0005406; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
30	[30] cluster dod-6	WBGene00012045	T26E4.3	74.08	0.666	True	g1AL WBbt:0004532	g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pharynx WBbt:0003681; mc3 WBbt:0003707
30	[30] cluster dod-6	WBGene00019772	M04G7.1	1443.81	0.646	True	g1AL WBbt:0004532	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; AVG WBbt:0003850; AVD WBbt:0006818; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; FLP WBbt:0006828; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; RIM WBbt:0005835
