node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
31	[31] cluster tbb-1	WBGene00002191	kin-3	168.53	0.377	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; germ line WBbt:0005784; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00006536	tbb-1	278.93	0.359	True	germ line WBbt:0005784	excretory system WBbt:0005736; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; DVB WBbt:0004822; CAN WBbt:0006827; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplapaaap WBbt:0006317; ABplaapappp WBbt:0006387; somatic gonad WBbt:0005785; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; ABpraapappp WBbt:0005862; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; germ line WBbt:0005784; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; uv1 WBbt:0006791; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00000550	clu-1	115.99	0.353	True	germ line WBbt:0005784	Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; EMS WBbt:0006876; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00014204	ccdc-47	114.48	0.344	True	germ line WBbt:0005784	excretory system WBbt:0005736; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; midbody WBbt:0005740; nervous system WBbt:0005735; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00017967	ada-2	92.37	0.334	True	germ line WBbt:0005784	AVA WBbt:0005842; Q cell WBbt:0008598; intestine WBbt:0005772; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; nervous system WBbt:0005735; ALM WBbt:0005406; germ line WBbt:0005784; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00002202	kin-19	214.62	0.328	True	germ line WBbt:0005784	excretory system WBbt:0005736; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; BDU WBbt:0006826; somatic nervous system WBbt:0005760; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ALM WBbt:0005406; RIS WBbt:0005045; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00004705	rsp-8	111.23	0.322	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00002074	ima-3	73.26	0.321	True	germ line WBbt:0005784	corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; epithelial system WBbt:0005730; oocyte WBbt:0006797; pharynx WBbt:0003681; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00001153	ech-4	71.16	0.315	False	germ line WBbt:0005784	intestine WBbt:0005772; epithelial system WBbt:0005730; pharynx WBbt:0003681; muscular system WBbt:0005737
31	[31] cluster tbb-1	WBGene00011605	sftb-1	69.39	0.313	True	germ line WBbt:0005784	Q cell WBbt:0008598; lateral ganglion right WBbt:0005101; PVD WBbt:0006831; gonadal primordium WBbt:0008366; PLM WBbt:0005490; OLL WBbt:0006847; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00012375	mecr-1	116.58	0.309	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00012999	rpoa-1	57.96	0.309	True	germ line WBbt:0005784	gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; ABplpappaa WBbt:0006551; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00018891	F55F8.3	59.11	0.304	True	germ line WBbt:0005784	MSpaaapa WBbt:0006241; intestine WBbt:0005772; germ line WBbt:0005784; reproductive system WBbt:0005747
31	[31] cluster tbb-1	WBGene00021277	ddx-10	63.17	0.299	True	germ line WBbt:0005784	AVE WBbt:0006819; ABarapappa WBbt:0006309; intestine WBbt:0005772; ABalpapppa WBbt:0006701; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737
