node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3275	[3275] cluster F57H12.6	WBGene00000251	bli-1	1868.9	0.872	True	hyp12 WBbt:0004376	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; amphid sheath cell WBbt:0006754; PVD WBbt:0006831; somatic nervous system WBbt:0005760; vulF WBbt:0006768; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; AVK WBbt:0006823; tail hypodermis WBbt:0006978; midbody WBbt:0005740; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3275	[3275] cluster F57H12.6	WBGene00019021	F57H12.6	11258.21	0.805	True	hyp12 WBbt:0004376	intestine WBbt:0005772; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; male WBbt:0007850
3275	[3275] cluster F57H12.6	WBGene00044538	T09D3.8	582.92	0.74	False	hyp12 WBbt:0004376	GLR WBbt:0005176; epithelial system WBbt:0005730; nervous system WBbt:0005735; muscular system WBbt:0005737
3275	[3275] cluster F57H12.6	WBGene00008390	D1086.3	6674.98	0.717	False	hyp12 WBbt:0004376	ABalapppaa WBbt:0006703; AVJ WBbt:0006822; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; Z4.a WBbt:0007025; ABprpaaapa WBbt:0006149; ABarpapaaa WBbt:0006207; lateral ganglion left WBbt:0005103; ABplaaaaaa WBbt:0006330; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3275	[3275] cluster F57H12.6	WBGene00012938	Y47D3A.32	571.74	0.696	False	hyp12 WBbt:0004376	rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
3275	[3275] cluster F57H12.6	WBGene00017488	dct-7	896.89	0.645	True	hyp12 WBbt:0004376	epithelial system WBbt:0005730; hyp12 WBbt:0004376
3275	[3275] cluster F57H12.6	WBGene00018039	F35D2.1	298.66	0.625	False	hyp12 WBbt:0004376	PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
3275	[3275] cluster F57H12.6	WBGene00302974	Y65B4BM.3	643.05	0.621	False	hyp12 WBbt:0004376	pm8 WBbt:0004302; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
3275	[3275] cluster F57H12.6	WBGene00015806	smrc-1	3825.69	0.6	False	hyp12 WBbt:0004376	ABplpppaaa WBbt:0006025; ABplpaappa WBbt:0006670; ABprpaappa WBbt:0005940; MSaapapa WBbt:0006323; ABprpaapap WBbt:0006105; ABarapappa WBbt:0006309; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABalpapppa WBbt:0006701; PVD WBbt:0006831; ABprpppaaa WBbt:0006063; MSpapapa WBbt:0006308; OLL WBbt:0006847; ABplpaapap WBbt:0006556; ABpraaaapa WBbt:0006376; ABalpppapa WBbt:0005930; germ line WBbt:0005784; male WBbt:0007850
3275	[3275] cluster F57H12.6	WBGene00001070	dpy-8	3711.63	0.591	False	hyp12 WBbt:0004376	lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; BAG WBbt:0006825; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; AWB WBbt:0005671; male WBbt:0007850
