node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3276	[3276] cluster lon-3	WBGene00050875	bah-1	3505.31	0.666	True	epithelial system WBbt:0005730	IL socket cell WBbt:0008418; ADE sheath cell WBbt:0008411; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; PVD WBbt:0006831; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; OLL WBbt:0006847; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; ABarpapaaa WBbt:0006207; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; ABplaaaaaa WBbt:0006330; phasmid sheath cell WBbt:0006755; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
3276	[3276] cluster lon-3	WBGene00003057	lon-3	13523.07	0.64	True	epithelial system WBbt:0005730	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; PVD WBbt:0006831; vulF WBbt:0006768; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; reproductive system WBbt:0005747
3276	[3276] cluster lon-3	WBGene00014184	ZK1025.4	475.66	0.571	True	epithelial system WBbt:0005730	epithelial system WBbt:0005730
3276	[3276] cluster lon-3	WBGene00009024	F21G4.3	189.61	0.569	True	epithelial system WBbt:0005730	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
3276	[3276] cluster lon-3	WBGene00014189	nhr-245	1007.02	0.524	True	epithelial system WBbt:0005730	anal region WBbt:0006919; body wall WBbt:0005742; PVD WBbt:0006831; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681
3276	[3276] cluster lon-3	WBGene00003663	nhr-73	995.59	0.523	True	epithelial system WBbt:0005730	PLM WBbt:0005490; epithelial system WBbt:0005730
3276	[3276] cluster lon-3	WBGene00020194	T03G6.1	4605.77	0.456	True	epithelial system WBbt:0005730	intestine WBbt:0005772; PLM WBbt:0005490; epithelial system WBbt:0005730; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
3276	[3276] cluster lon-3	WBGene00044618	bus-2	157.91	0.374	True	epithelial system WBbt:0005730	DD1 WBbt:0004839; RIB WBbt:0005834; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; CAN WBbt:0006827; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; head muscle WBbt:0006761; retrovesicular ganglion WBbt:0005656; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3276	[3276] cluster lon-3	WBGene00022845	ZK1055.4	185.41	0.321	True	epithelial system WBbt:0005730	DD1 WBbt:0004839; g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707
3276	[3276] cluster lon-3	WBGene00016724	C46H3.1	23.69	0.281	False	epithelial system WBbt:0005730	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; lateral ganglion left WBbt:0005103
3276	[3276] cluster lon-3	WBGene00012705	sre-18	71.21	0.263	True	epithelial system WBbt:0005730	intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; phasmid sheath cell WBbt:0006755
3276	[3276] cluster lon-3	WBGene00010758	vnut-1	246.75	0.245	True	epithelial system WBbt:0005730	VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; VA10 WBbt:0004649; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VA2 WBbt:0004870; VB9 WBbt:0004627; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; VA5 WBbt:0004864; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; VB6 WBbt:0004633; VA4 WBbt:0004866; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; VB11 WBbt:0004623; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
