node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3298	[3298] cluster Y65A5A.1	WBGene00003937	pax-1	1798.68	0.769	True	mc1 WBbt:0003709	pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; corpus WBbt:0003733; pm4 WBbt:0003739; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
3298	[3298] cluster Y65A5A.1	WBGene00022416	ergi-1	1425.42	0.709	True	mc1 WBbt:0003709	hook sensillum WBbt:0006930; pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; intestine WBbt:0005772; g1AL WBbt:0004532; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; g2 WBbt:0003710; M1 neuron WBbt:0004488; pm2 WBbt:0003742; ray WBbt:0006941; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; male WBbt:0007850; muscular system WBbt:0005737
3298	[3298] cluster Y65A5A.1	WBGene00019477	cest-17	3919.41	0.688	True	mc1 WBbt:0003709	pm5 WBbt:0003737; dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; vulD WBbt:0006766; ABarapappa WBbt:0006309; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalpapppa WBbt:0006701; ABarappaap WBbt:0006103; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; vulC WBbt:0006765; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; g2 WBbt:0003710; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; K cell WBbt:0004499; vulB1 WBbt:0006763; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; posterior arcade cell WBbt:0005795; ABarapapaa WBbt:0006001; ABplpaaaap WBbt:0006528; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; vulE WBbt:0006767; PVT WBbt:0004070; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
3298	[3298] cluster Y65A5A.1	WBGene00011168	R09D1.12	217.0	0.671	True	mc1 WBbt:0003709	pm5 WBbt:0003737; MSpaaapa WBbt:0006241; K' cell WBbt:0004497; MSaapapa WBbt:0006323; mc1 WBbt:0003709; mc2 WBbt:0003708; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm7 WBbt:0003721; MSpapaapa WBbt:0006627; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; pharynx WBbt:0003681; K cell WBbt:0004499; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; MSaaaaapa WBbt:0006202; pm3 WBbt:0003740; muscular system WBbt:0005737
3298	[3298] cluster Y65A5A.1	WBGene00007241	txt-12	169.94	0.666	True	mc1 WBbt:0003709	mc1 WBbt:0003709; mc2 WBbt:0003708; IL1DR WBbt:0004737; corpus WBbt:0003733; anterior ganglion WBbt:0005375; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; IL1VL WBbt:0004549; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL1DL WBbt:0004738
3298	[3298] cluster Y65A5A.1	WBGene00017893	F28B4.4	979.33	0.628	True	mc1 WBbt:0003709	pm5 WBbt:0003737; IL2L WBbt:0004541; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; ABplpapppa WBbt:0006225; K' cell WBbt:0004497; MSaapapa WBbt:0006323; AVA WBbt:0005842; mc1 WBbt:0003709; MSpaapaa WBbt:0006032; mc2 WBbt:0003708; ABarapappa WBbt:0006309; ABprpapppa WBbt:0005972; IL2VL WBbt:0004538; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; ABalpapppa WBbt:0006701; ABaraapppaa WBbt:0006566; pm4 WBbt:0003739; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; g2 WBbt:0003710; IL2DL WBbt:0004545; pm2 WBbt:0003742; somatic gonad WBbt:0005785; pharynx WBbt:0003681; K cell WBbt:0004499; ABaraapapp WBbt:0005999; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; AVB WBbt:0005841; ABplppppaa WBbt:0006109; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; ABaraapppp WBbt:0006127; MSaaaaapa WBbt:0006202; IL2DR WBbt:0004543; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3298	[3298] cluster Y65A5A.1	WBGene00013418	Y65A5A.1	4832.89	0.608	True	mc1 WBbt:0003709	hyp6 WBbt:0004679; ABplaapaap WBbt:0006518; pm5 WBbt:0003737; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; ABpraapaaa WBbt:0005888; ABplpppppp WBbt:0005960; pm8 WBbt:0004302; GLR WBbt:0005176; ABplpapppa WBbt:0006225; excretory system WBbt:0005736; K' cell WBbt:0004497; ABalpapaap WBbt:0006023; mc1 WBbt:0003709; mc2 WBbt:0003708; ABplaapaaa WBbt:0006069; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; pm7 WBbt:0003721; ADE sheath cell WBbt:0008411; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; intestine WBbt:0005772; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; ABarappaap WBbt:0006103; phasmid socket cell WBbt:0008410; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; oocyte WBbt:0006797; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; ABplpappaa WBbt:0006551; tail precursor cell WBbt:0008409; F cell WBbt:0004799; ABprpppapa WBbt:0006044; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; K cell WBbt:0004499; mc3 WBbt:0003707; B cell WBbt:0003825; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABplppppaa WBbt:0006109; hyp3 WBbt:0004690; pm6 WBbt:0003724; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; uterine muscle WBbt:0005342; pm3 WBbt:0003740; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
3298	[3298] cluster Y65A5A.1	WBGene00003245	mig-13	242.71	0.587	True	mc1 WBbt:0003709	PHC WBbt:0008446; RME WBbt:0005399; DA6 WBbt:0004861; pm5 WBbt:0003737; DA1 WBbt:0004871; AS11 WBbt:0003905; PVM WBbt:0004086; I5 neuron WBbt:0004740; MSpaaapa WBbt:0006241; ABalaaaarr WBbt:0006500; DA8 WBbt:0004858; mc1 WBbt:0003709; ABprapaaapa WBbt:0006633; ABalaaaarl WBbt:0005945; ABplpaaapp WBbt:0005877; DB2 WBbt:0004845; DA5 WBbt:0004863; VD5 WBbt:0004601; VA1 WBbt:0004872; DA4 WBbt:0004865; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; anchor cell WBbt:0004522; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; VD4 WBbt:0004603; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; MSaapaapa WBbt:0006494; DA3 WBbt:0004867; epithelial system WBbt:0005730; VD7 WBbt:0004598; ABprppaaaap WBbt:0006283; AVM WBbt:0003832; DB7 WBbt:0004840; AQR WBbt:0003927; ABalapapap WBbt:0005910; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; RIP WBbt:0006838; somatic gonad WBbt:0005785; VD6 WBbt:0004599; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; ABprpaaapp WBbt:0005868; VD3 WBbt:0004605; ABprppaapa WBbt:0006079; DB3 WBbt:0004844; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; SAB WBbt:0005396; PDA WBbt:0004386; ABplppaaaap WBbt:0006414; striated muscle WBbt:0005779; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; pm3 WBbt:0003740; male WBbt:0007850; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
3298	[3298] cluster Y65A5A.1	WBGene00206529	C04A2.15	154.97	0.562	True	mc1 WBbt:0003709	pm5 WBbt:0003737; MSpaaapa WBbt:0006241; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; MSaapaapa WBbt:0006494; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; RIG WBbt:0006836; ABaraappaa WBbt:0006636; pm6 WBbt:0003724; MSaaaaapa WBbt:0006202; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
3298	[3298] cluster Y65A5A.1	WBGene00000449	ceh-27	880.52	0.549	False	mc1 WBbt:0003709	RME WBbt:0005399; AIM WBbt:0006814; pm5 WBbt:0003737; IL socket cell WBbt:0008418; ABplpapapa WBbt:0005908; pm8 WBbt:0004302; MSpaaapa WBbt:0006241; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; AVJ WBbt:0006822; I6 neuron WBbt:0004739; ABalaaaarl WBbt:0005945; ABaraapp WBbt:0006153; AVL WBbt:0003843; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; ILshVR WBbt:0004523; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; MSpaaaaa WBbt:0006363; ABplpapp WBbt:0006420; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; PDE socket cell WBbt:0008421; ABarappaap WBbt:0006103; ABprpappp WBbt:0005847; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; ABprpapaa WBbt:0006446; pm4 WBbt:0003739; epithelial system WBbt:0005730; ABprppaaaap WBbt:0006283; ABaraapa WBbt:0005853; ABprpapapa WBbt:0006487; ABalpapa WBbt:0006573; RMF WBbt:0006841; ABplpapa WBbt:0006087; nervous system WBbt:0005735; RIP WBbt:0006838; ABplpappaa WBbt:0006551; F cell WBbt:0004799; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; mc3 WBbt:0003707; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; ABprppaapa WBbt:0006079; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ABplppaaaap WBbt:0006414; hyp3 WBbt:0004690; ABaraappaa WBbt:0006636; pm3 WBbt:0003740; U cell WBbt:0004942; muscular system WBbt:0005737; ABprpappa WBbt:0006088; preanal ganglion WBbt:0005448
